"DateTime","(deg F) Mean Temperature (CFSR) at Polygon 1, 2015-01-01 to 2019-03-12"
"2015-01-01:12 AM",23.414
"2015-01-02:12 AM",26.6722
"2015-01-03:12 AM",29.0952
"2015-01-04:12 AM",25.1841
"2015-01-05:12 AM",23.6862
"2015-01-06:12 AM",26.7535
"2015-01-07:12 AM",22.3993
"2015-01-08:12 AM",22.6861
"2015-01-09:12 AM",22.3781
"2015-01-10:12 AM",24.1101
"2015-01-11:12 AM",28.2177
"2015-01-12:12 AM",27.9126
"2015-01-13:12 AM",24.9964
"2015-01-14:12 AM",26.5284
"2015-01-15:12 AM",30.108
"2015-01-16:12 AM",32.8721
"2015-01-17:12 AM",35.7049
"2015-01-18:12 AM",38.7385
"2015-01-19:12 AM",38.782
"2015-01-20:12 AM",36.8382
"2015-01-21:12 AM",33.696
"2015-01-22:12 AM",31.343
"2015-01-23:12 AM",32.6215
"2015-01-24:12 AM",35.8556
"2015-01-25:12 AM",37.1397
"2015-01-26:12 AM",37.5802
"2015-01-27:12 AM",38.6875
"2015-01-28:12 AM",38.6546
"2015-01-29:12 AM",37.7454
"2015-01-30:12 AM",33.8124
"2015-01-31:12 AM",32.3391
"2015-02-01:12 AM",30.7551
"2015-02-02:12 AM",28.3424
"2015-02-03:12 AM",30.756
"2015-02-04:12 AM",31.7097
"2015-02-05:12 AM",30.6333
"2015-02-06:12 AM",35.3196
"2015-02-07:12 AM",41.2605
"2015-02-08:12 AM",43.7491
"2015-02-09:12 AM",41.2263
"2015-02-10:12 AM",38.4589
"2015-02-11:12 AM",35.4621
"2015-02-12:12 AM",31.82
"2015-02-13:12 AM",33.5244
"2015-02-14:12 AM",34.7567
"2015-02-15:12 AM",30.1113
"2015-02-16:12 AM",28.2254
"2015-02-17:12 AM",26.2227
"2015-02-18:12 AM",25.993
"2015-02-19:12 AM",26.7336
"2015-02-20:12 AM",30.549
"2015-02-21:12 AM",33.1317
"2015-02-22:12 AM",26.6904
"2015-02-23:12 AM",21.8019
"2015-02-24:12 AM",26.8191
"2015-02-25:12 AM",29.0829
"2015-02-26:12 AM",24.7192
"2015-02-27:12 AM",21.6082
"2015-02-28:12 AM",23.7535
"2015-03-01:12 AM",28.8122
"2015-03-02:12 AM",30.8431
"2015-03-03:12 AM",32.425
"2015-03-04:12 AM",30.173
"2015-03-05:12 AM",26.5152
"2015-03-06:12 AM",30.4993
"2015-03-07:12 AM",37.6698
