"DateTime","(deg F) Mean Temperature (CFSR) at Polygon 1, 2000-01-01 to 2009-12-31"
"2000-01-01:12 AM",43.4273
"2000-01-02:12 AM",48.9317
"2000-01-03:12 AM",47.3423
"2000-01-04:12 AM",38.6496
"2000-01-05:12 AM",30.1701
"2000-01-06:12 AM",33.7379
"2000-01-07:12 AM",34.7693
"2000-01-08:12 AM",38.48
"2000-01-09:12 AM",43.11
"2000-01-10:12 AM",45.4876
"2000-01-11:12 AM",40.5777
"2000-01-12:12 AM",39.1692
"2000-01-13:12 AM",36.7779
"2000-01-14:12 AM",28.6938
"2000-01-15:12 AM",34.0133
"2000-01-16:12 AM",36.9091
"2000-01-17:12 AM",33.0706
"2000-01-18:12 AM",33.8266
"2000-01-19:12 AM",32.8219
"2000-01-20:12 AM",27.1148
"2000-01-21:12 AM",19.8747
"2000-01-22:12 AM",26.334
"2000-01-23:12 AM",29.2341
"2000-01-24:12 AM",25.1877
"2000-01-25:12 AM",24.0643
"2000-01-26:12 AM",20.3356
"2000-01-27:12 AM",18.5788
"2000-01-28:12 AM",20.5192
"2000-01-29:12 AM",23.7434
"2000-01-30:12 AM",26.9116
"2000-01-31:12 AM",27.4579
"2000-02-01:12 AM",28.7802
"2000-02-02:12 AM",27.3105
"2000-02-03:12 AM",33.6639
"2000-02-04:12 AM",31.9818
"2000-02-05:12 AM",28.4605
"2000-02-06:12 AM",30.9934
"2000-02-07:12 AM",34.8892
"2000-02-08:12 AM",34.3623
"2000-02-09:12 AM",40.9489
"2000-02-10:12 AM",42.2751
"2000-02-11:12 AM",37.6968
"2000-02-12:12 AM",33.3718
"2000-02-13:12 AM",37.4842
"2000-02-14:12 AM",38.5862
"2000-02-15:12 AM",39.3251
"2000-02-16:12 AM",40.1952
"2000-02-17:12 AM",37.0575
"2000-02-18:12 AM",40.8922
"2000-02-19:12 AM",37.5181
"2000-02-20:12 AM",35.321
"2000-02-21:12 AM",39.5568
"2000-02-22:12 AM",45.5443
"2000-02-23:12 AM",49.8852
"2000-02-24:12 AM",53.4034
"2000-02-25:12 AM",55.4175
"2000-02-26:12 AM",53.7562
"2000-02-27:12 AM",48.0502
"2000-02-28:12 AM",46.3914
"2000-02-29:12 AM",49.7269
"2000-03-01:12 AM",49.4285
"2000-03-02:12 AM",45.5644
"2000-03-03:12 AM",44.2188
"2000-03-04:12 AM",44.5957
"2000-03-05:12 AM",47.8638
"2000-03-06:12 AM",52.1524
"2000-03-07:12 AM",57.7027
"2000-03-08:12 AM",59.8289
"2000-03-09:12 AM",52.873
"2000-03-10:12 AM",45.75
"2000-03-11:12 AM",42.0474
"2000-03-12:12 AM",37.9137
"2000-03-13:12 AM",39.5485
"2000-03-14:12 AM",44.9037
"2000-03-15:12 AM",49.4341
"2000-03-16:12 AM",46.5087
"2000-03-17:12 AM",39.9742
"2000-03-18:12 AM",40.6112
"2000-03-19:12 AM",43.0243
"2000-03-20:12 AM",44.7019
"2000-03-21:12 AM",47.6019
"2000-03-22:12 AM",50.9524
"2000-03-23:12 AM",54.1839
"2000-03-24:12 AM",56.9957
"2000-03-25:12 AM",57.0663
"2000-03-26:12 AM",55.3462
"2000-03-27:12 AM",52.4964
"2000-03-28:12 AM",48.893
"2000-03-29:12 AM",48.1951
"2000-03-30:12 AM",49.87
"2000-03-31:12 AM",50.4889
"2000-04-01:12 AM",53.4681
"2000-04-02:12 AM",55.548
"2000-04-03:12 AM",54.0739
"2000-04-04:12 AM",47.0752
"2000-04-05:12 AM",48.1336
"2000-04-06:12 AM",53.5681
"2000-04-07:12 AM",53.1196
"2000-04-08:12 AM",46.4992
"2000-04-09:12 AM",43.9507
"2000-04-10:12 AM",46.9195
"2000-04-11:12 AM",49.8061
"2000-04-12:12 AM",47.289
"2000-04-13:12 AM",48.951
"2000-04-14:12 AM",52.6613
"2000-04-15:12 AM",55.0621
"2000-04-16:12 AM",54.8168
"2000-04-17:12 AM",52.6948
"2000-04-18:12 AM",54.441
"2000-04-19:12 AM",58.1691
"2000-04-20:12 AM",58.2555
"2000-04-21:12 AM",53.9481
"2000-04-22:12 AM",53.8837
"2000-04-23:12 AM",56.2082
"2000-04-24:12 AM",56.1312
"2000-04-25:12 AM",55.2857
"2000-04-26:12 AM",55.188
"2000-04-27:12 AM",56.0714
"2000-04-28:12 AM",56.5916
"2000-04-29:12 AM",56.9727
"2000-04-30:12 AM",58.8362
"2000-05-01:12 AM",60.6693
"2000-05-02:12 AM",61.133
"2000-05-03:12 AM",63.5772
"2000-05-04:12 AM",66.904
"2000-05-05:12 AM",69.5183
"2000-05-06:12 AM",70.8841
"2000-05-07:12 AM",71.6427
"2000-05-08:12 AM",70.9387
"2000-05-09:12 AM",67.6231
"2000-05-10:12 AM",63.6566
"2000-05-11:12 AM",67.0552
"2000-05-12:12 AM",70.1314
"2000-05-13:12 AM",63.4264
"2000-05-14:12 AM",58.8031
"2000-05-15:12 AM",59.565
"2000-05-16:12 AM",63.2386
"2000-05-17:12 AM",67.1374
"2000-05-18:12 AM",68.2588
"2000-05-19:12 AM",62.9839
"2000-05-20:12 AM",61.7175
"2000-05-21:12 AM",64.0164
"2000-05-22:12 AM",67.3781
"2000-05-23:12 AM",70.7356
"2000-05-24:12 AM",72.1963
"2000-05-25:12 AM",69.5905
"2000-05-26:12 AM",67.9971
"2000-05-27:12 AM",68.1161
"2000-05-28:12 AM",66.4005
"2000-05-29:12 AM",66.5229
"2000-05-30:12 AM",68.5209
"2000-05-31:12 AM",71.1108
"2000-06-01:12 AM",72.6571
"2000-06-02:12 AM",71.1183
"2000-06-03:12 AM",67.7709
"2000-06-04:12 AM",66.0067
"2000-06-05:12 AM",63.6955
"2000-06-06:12 AM",63.1596
"2000-06-07:12 AM",65.9853
"2000-06-08:12 AM",71.3611
"2000-06-09:12 AM",74.0251
"2000-06-10:12 AM",75
"2000-06-11:12 AM",72.8382
"2000-06-12:12 AM",72.2599
"2000-06-13:12 AM",74.0192
"2000-06-14:12 AM",72.6539
"2000-06-15:12 AM",71.4898
"2000-06-16:12 AM",71.9112
"2000-06-17:12 AM",69.4933
"2000-06-18:12 AM",69.0363
"2000-06-19:12 AM",70.8555
"2000-06-20:12 AM",73.949
"2000-06-21:12 AM",74.3083
"2000-06-22:12 AM",74.7329
"2000-06-23:12 AM",75.3042
"2000-06-24:12 AM",76.0035
"2000-06-25:12 AM",76.1763
"2000-06-26:12 AM",74.9131
"2000-06-27:12 AM",71.9461
"2000-06-28:12 AM",70.3845
"2000-06-29:12 AM",70.0828
"2000-06-30:12 AM",71.3014
"2000-07-01:12 AM",74.5628
"2000-07-02:12 AM",75.7819
"2000-07-03:12 AM",76.1691
"2000-07-04:12 AM",76.869
"2000-07-05:12 AM",77.4662
"2000-07-06:12 AM",76.7469
"2000-07-07:12 AM",76.3885
"2000-07-08:12 AM",77.2662
"2000-07-09:12 AM",79.383
"2000-07-10:12 AM",80.1093
"2000-07-11:12 AM",78.6346
"2000-07-12:12 AM",77.7015
"2000-07-13:12 AM",78.4974
"2000-07-14:12 AM",78.9712
"2000-07-15:12 AM",77.9823
"2000-07-16:12 AM",77.6424
"2000-07-17:12 AM",76.1859
"2000-07-18:12 AM",74.5556
"2000-07-19:12 AM",74.032
"2000-07-20:12 AM",73.6295
"2000-07-21:12 AM",72.3173
"2000-07-22:12 AM",71.6421
"2000-07-23:12 AM",71.7328
"2000-07-24:12 AM",72.0066
"2000-07-25:12 AM",73.8214
"2000-07-26:12 AM",74.9093
"2000-07-27:12 AM",76.2116
"2000-07-28:12 AM",76.2571
"2000-07-29:12 AM",74.7946
"2000-07-30:12 AM",74.7043
"2000-07-31:12 AM",75.6628
"2000-08-01:12 AM",76.3918
"2000-08-02:12 AM",76.5583
"2000-08-03:12 AM",75.7441
"2000-08-04:12 AM",76.0519
"2000-08-05:12 AM",76.7196
"2000-08-06:12 AM",79.0486
"2000-08-07:12 AM",80.7269
"2000-08-08:12 AM",80.4744
"2000-08-09:12 AM",81.2448
"2000-08-10:12 AM",79.342
"2000-08-11:12 AM",77.9884
"2000-08-12:12 AM",76.7214
"2000-08-13:12 AM",75.148
"2000-08-14:12 AM",76.4438
"2000-08-15:12 AM",78.823
"2000-08-16:12 AM",77.1021
"2000-08-17:12 AM",75.5416
"2000-08-18:12 AM",74.3812
"2000-08-19:12 AM",72.032
"2000-08-20:12 AM",72.0226
"2000-08-21:12 AM",73.2463
"2000-08-22:12 AM",75.1442
"2000-08-23:12 AM",76.456
"2000-08-24:12 AM",76.9527
"2000-08-25:12 AM",76.8018
"2000-08-26:12 AM",77.6874
"2000-08-27:12 AM",77.205
"2000-08-28:12 AM",77.8426
"2000-08-29:12 AM",77.41
"2000-08-30:12 AM",78.314
"2000-08-31:12 AM",79.3632
"2000-09-01:12 AM",77.6052
"2000-09-02:12 AM",77.4126
"2000-09-03:12 AM",77.0058
"2000-09-04:12 AM",74.0354
"2000-09-05:12 AM",68.727
"2000-09-06:12 AM",67.5322
"2000-09-07:12 AM",69.3343
"2000-09-08:12 AM",70.8462
"2000-09-09:12 AM",74.6647
"2000-09-10:12 AM",74.8256
"2000-09-11:12 AM",75.4619
"2000-09-12:12 AM",71.7289
"2000-09-13:12 AM",70.7927
"2000-09-14:12 AM",69.8295
"2000-09-15:12 AM",64.8856
"2000-09-16:12 AM",60.9111
"2000-09-17:12 AM",63.3484
"2000-09-18:12 AM",68.5121
"2000-09-19:12 AM",70.8163
"2000-09-20:12 AM",69.17
"2000-09-21:12 AM",63.0147
"2000-09-22:12 AM",64.0544
"2000-09-23:12 AM",66.2812
"2000-09-24:12 AM",62.1619
"2000-09-25:12 AM",55.8388
"2000-09-26:12 AM",54.7392
"2000-09-27:12 AM",56.0887
"2000-09-28:12 AM",57.515
"2000-09-29:12 AM",60.7951
"2000-09-30:12 AM",63.6984
"2000-10-01:12 AM",66.2697
"2000-10-02:12 AM",66.4063
"2000-10-03:12 AM",66.6221
"2000-10-04:12 AM",63.7047
"2000-10-05:12 AM",61.6914
"2000-10-06:12 AM",54.8445
"2000-10-07:12 AM",46.4472
"2000-10-08:12 AM",41.5384
"2000-10-09:12 AM",42.4292
"2000-10-10:12 AM",46.4171
"2000-10-11:12 AM",52.1629
"2000-10-12:12 AM",57.5065
"2000-10-13:12 AM",61.7778
"2000-10-14:12 AM",62.4627
"2000-10-15:12 AM",59.7042
"2000-10-16:12 AM",57.8161
"2000-10-17:12 AM",58.0267
"2000-10-18:12 AM",58.8106
"2000-10-19:12 AM",59.7418
"2000-10-20:12 AM",60.8979
"2000-10-21:12 AM",60.5266
"2000-10-22:12 AM",60.9139
"2000-10-23:12 AM",61.2063
"2000-10-24:12 AM",62.2621
"2000-10-25:12 AM",63.5828
"2000-10-26:12 AM",63.8407
"2000-10-27:12 AM",61.0921
"2000-10-28:12 AM",57.2346
"2000-10-29:12 AM",54.2237
"2000-10-30:12 AM",55.7627
"2000-10-31:12 AM",58.2652
"2000-11-01:12 AM",60.0436
"2000-11-02:12 AM",58.3038
"2000-11-03:12 AM",55.7884
"2000-11-04:12 AM",53.593
"2000-11-05:12 AM",52.2736
"2000-11-06:12 AM",52.1249
"2000-11-07:12 AM",50.4779
"2000-11-08:12 AM",48.7459
"2000-11-09:12 AM",47.5542
"2000-11-10:12 AM",42.6015
"2000-11-11:12 AM",41.5783
"2000-11-12:12 AM",43.5702
"2000-11-13:12 AM",41.4889
"2000-11-14:12 AM",38.5266
"2000-11-15:12 AM",37.5881
"2000-11-16:12 AM",40.7035
"2000-11-17:12 AM",36.5041
"2000-11-18:12 AM",32.5488
"2000-11-19:12 AM",34.5486
"2000-11-20:12 AM",32.0666
"2000-11-21:12 AM",28.8354
"2000-11-22:12 AM",30.7114
"2000-11-23:12 AM",34.9705
"2000-11-24:12 AM",37.8885
"2000-11-25:12 AM",41.1919
"2000-11-26:12 AM",42.3039
