Month,U.S. Natural Gas Gross Withdrawals  Million Cubic Feet
Jan 2019,3352124
Dec 2018,3351564
Nov 2018,3233430
Oct 2018,3272022
Sep 2018,3134786
Aug 2018,3180213
Jul 2018,3108098
Jun 2018,2954943
May 2018,3081754
Apr 2018,2959887
Mar 2018,3048056
Feb 2018,2723563
Jan 2018,2959321
Dec 2017,3006062
Nov 2017,2884127
Oct 2017,2906765
Sep 2017,2767345
Aug 2017,2780821
Jul 2017,2763649
Jun 2017,2693285
May 2017,2787032
Apr 2017,2703018
Mar 2017,2811662
Feb 2017,2504926
Jan 2017,2748684
Dec 2016,2746543
Nov 2016,2678247
Oct 2016,2720187
Sep 2016,2626213
Aug 2016,2722631
Jul 2016,2721210
Jun 2016,2628164
May 2016,2767844
Apr 2016,2678610
Mar 2016,2824983
Feb 2016,2653842
Jan 2016,2823104
Dec 2015,2812110
Nov 2015,2726220
Oct 2015,2806078
Sep 2015,2721449
Aug 2015,2744748
Jul 2015,2756222
Jun 2015,2660158
May 2015,2790849
Apr 2015,2758730
Mar 2015,2827524
Feb 2015,2520509
Jan 2015,2790052
Dec 2014,2770080
Nov 2014,2661917
Oct 2014,2735719
Sep 2014,2625503
Aug 2014,2644937
Jul 2014,2629156
Jun 2014,2560033
May 2014,2633253
Apr 2014,2583873
Mar 2014,2623914
Feb 2014,2356978
Jan 2014,2580019
Dec 2013,2525967
Nov 2013,2455169
Oct 2013,2513172
Sep 2013,2414405
Aug 2013,2495089
Jul 2013,2512441
Jun 2013,2385386
May 2013,2488677
Apr 2013,2446307
Mar 2013,2504000
Feb 2013,2269907
Jan 2013,2512031
Dec 2012,2523763
Nov 2012,2471365
Oct 2012,2557140
Sep 2012,2410375
Aug 2012,2373954
Jul 2012,2465064
Jun 2012,2376776
May 2012,2490707
Apr 2012,2417498
Mar 2012,2524260
Feb 2012,2360061
Jan 2012,2571350
Dec 2011,2543747
Nov 2011,2475947
Oct 2011,2502387
Sep 2011,2358169
Aug 2011,2370440
Jul 2011,2340293
Jun 2011,2312943
May 2011,2410866
Apr 2011,2349720
Mar 2011,2410884
Feb 2011,2104330
Jan 2011,2299298
Dec 2010,2400418
Nov 2010,2276710
Oct 2010,2356947
Sep 2010,2238147
Aug 2010,2235038
Jul 2010,2208753
Jun 2010,2138770
May 2010,2236507
Apr 2010,2190270
Mar 2010,2276546
Feb 2010,2047815
Jan 2010,2210163
Dec 2009,2196325
Nov 2009,2144157
Oct 2009,2197157
Sep 2009,2089220
Aug 2009,2192597
Jul 2009,2170032
Jun 2009,2140519
May 2009,2190437
Apr 2009,2147856
Mar 2009,2262488
Feb 2009,2074167
