Lower 48 States Natural Gas Working Underground Storage
https://www.eia.gov/dnav/ng/hist/nw2_epg0_swo_r48_bcfw.htm
21:47:49 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Week of,Lower 48 States Natural Gas Working Underground Storage Billion Cubic Feet
03/8/2019,1186
03/1/2019,1390
02/22/2019,1539
02/15/2019,1705
02/8/2019,1882
02/1/2019,1960
01/25/2019,2197
01/18/2019,2370
01/11/2019,2533
01/4/2019,2614
12/28/2018,2705
12/21/2018,2725
12/14/2018,2773
12/7/2018,2914
11/30/2018,2991
11/23/2018,3054
11/16/2018,3113
11/9/2018,3247
11/2/2018,3208
10/26/2018,3143
10/19/2018,3095
10/12/2018,3037
10/5/2018,2956
09/28/2018,2866
09/21/2018,2768
09/14/2018,2722
09/7/2018,2636
08/31/2018,2567
08/24/2018,2504
08/17/2018,2435
08/10/2018,2386
08/3/2018,2353
07/27/2018,2305
07/20/2018,2272
07/13/2018,2248
07/6/2018,2203
06/29/2018,2152
06/22/2018,2074
06/15/2018,2008
06/8/2018,1913
06/1/2018,1817
05/25/2018,1725
05/18/2018,1629
05/11/2018,1538
05/4/2018,1432
04/27/2018,1343
04/20/2018,1281
04/13/2018,1299
04/6/2018,1335
03/30/2018,1354
03/23/2018,1383
03/16/2018,1446
03/9/2018,1532
03/2/2018,1625
02/23/2018,1682
02/16/2018,1760
02/9/2018,1884
02/2/2018,2078
01/26/2018,2197
01/19/2018,2296
01/12/2018,2584
01/5/2018,2767
12/29/2017,3126
12/22/2017,3332
12/15/2017,3444
12/8/2017,3626
12/1/2017,3695
11/24/2017,3693
11/17/2017,3726
11/10/2017,3772
11/3/2017,3790
10/27/2017,3775
10/20/2017,3710
10/13/2017,3645
10/6/2017,3595
09/29/2017,3508
09/22/2017,3466
09/15/2017,3408
09/8/2017,3311
09/1/2017,3220
08/25/2017,3155
08/18/2017,3125
08/11/2017,3082
08/4/2017,3029
07/28/2017,2999
07/21/2017,2980
07/14/2017,2963
07/7/2017,2936
06/30/2017,2878
06/23/2017,2816
06/16/2017,2770
06/9/2017,2709
06/2/2017,2631
05/26/2017,2525
05/19/2017,2444
05/12/2017,2369
05/5/2017,2301
04/28/2017,2256
04/21/2017,2189
04/14/2017,2115
04/7/2017,2061
03/31/2017,2051
03/24/2017,2049
03/17/2017,2092
03/10/2017,2242
03/3/2017,2295
02/24/2017,2363
02/17/2017,2356
02/10/2017,2445
02/3/2017,2559
01/27/2017,2711
01/20/2017,2798
01/13/2017,2917
01/6/2017,3160
12/30/2016,3311
12/23/2016,3360
12/16/2016,3597
