Month,U.S. Natural Gas Underground Storage Volume  Million Cubic Feet
Dec 2018,7071528
Nov 2018,7387367
Oct 2018,7594058
Sep 2018,7306335
Aug 2018,6972792
Jul 2018,6736539
Jun 2018,6550088
May 2018,6199894
Apr 2018,5777947
Mar 2018,5744063
Feb 2018,6030422
Jan 2018,6497833
Dec 2017,7392391
Nov 2017,8062349
Oct 2017,8170238
Sep 2017,7922712
Aug 2017,7605198
Jul 2017,7409892
Jun 2017,7260702
May 2017,7011244
Apr 2017,6670165
Mar 2017,6440293
Feb 2017,6714640
Jan 2017,7000061
Dec 2016,7676680
Nov 2016,8349053
Oct 2016,8384087
Sep 2016,8073906
Aug 2016,7810783
Jul 2016,7686988
Jun 2016,7554670
May 2016,7332475
Apr 2016,7009450
Mar 2016,6846761
Feb 2016,6903611
Jan 2016,7307245
Dec 2015,8038172
Nov 2015,8303177
Oct 2015,8316026
Sep 2015,7987290
Aug 2015,7614026
Jul 2015,7304710
Jun 2015,7021808
May 2015,6658247
Apr 2015,6162227
Mar 2015,5840840
Feb 2015,6033940
Jan 2015,6775582
Dec 2014,7506012
Nov 2014,7794338
Oct 2014,7954588
Sep 2014,7556106
Aug 2014,7134689
Jul 2014,6761254
Jun 2014,6363623
May 2014,5900837
Apr 2014,5423037
Mar 2014,5207298
Feb 2014,5560214
Jan 2014,6288361
Dec 2013,7255027
Nov 2013,7970919
Oct 2013,8181397
Sep 2013,7927601
Aug 2013,7574293
Jul 2013,7302175
Jun 2013,7027246
May 2013,6654641
Apr 2013,6236406
Mar 2013,6102195
Feb 2013,6483370
Jan 2013,7076700
Dec 2012,7785322
Nov 2012,8171574
Oct 2012,8294299
Sep 2012,8044851
Aug 2012,7753994
Jul 2012,7588106
Jun 2012,7453546
May 2012,7219444
Apr 2012,6936421
Mar 2012,6794584
Feb 2012,6758315
Jan 2012,7219136
Dec 2011,7763772
Nov 2011,8142609
Oct 2011,8105566
Sep 2011,7716989
Aug 2011,7319424
Jul 2011,7075486
Jun 2011,6831426
May 2011,6491219
Apr 2011,6092050
Mar 2011,5879115
Feb 2011,6024215
Jan 2011,6608635
Dec 2010,7412447
Nov 2010,8078136
Oct 2010,8155699
Sep 2010,7801450
Aug 2010,7442861
Jul 2010,7253018
Jun 2010,7026700
May 2010,6698983
Apr 2010,6289473
Mar 2010,5929914
Feb 2010,5960953
Jan 2010,6579900
Dec 2009,7406742
Nov 2009,8124989
Oct 2009,8091168
Sep 2009,7921596
Aug 2009,7626392
Jul 2009,7353504
Jun 2009,7028031
May 2009,6632164
Apr 2009,6165074
Mar 2009,5907540
Feb 2009,6000888
Jan 2009,6370028
Dec 2008,7072657
Nov 2008,7577456
Oct 2008,7634355
Sep 2008,7390883
Aug 2008,7093832
Jul 2008,6745390
Jun 2008,6407107
May 2008,6064975
Apr 2008,5658650
Mar 2008,5486589
Feb 2008,5686255
Jan 2008,6288037
Dec 2007,7113475
Nov 2007,7680213
Oct 2007,7803634
Sep 2007,7548786
Aug 2007,7250170
Jul 2007,7123259
Jun 2007,6813786
May 2007,6431710
Apr 2007,5968611
Mar 2007,5849891
Feb 2007,5867298
Jan 2007,6599227
Dec 2006,7280906
Nov 2006,7622511
Oct 2006,7669209
Sep 2006,7538548
Aug 2006,7181966
Jul 2006,6993053
Jun 2006,6831985
May 2006,6511653
Apr 2006,6143320
Mar 2006,5888675
Feb 2006,6088735
Jan 2006,6573119
Dec 2005,6835374
Nov 2005,7398295
Oct 2005,7400321
Sep 2005,7136424
Aug 2005,6865103
Jul 2005,6653209
Jun 2005,6398738
May 2005,6075521
Apr 2005,5699060
Mar 2005,5484332
Feb 2005,5768939
Jan 2005,6199291
Dec 2004,6897200
Nov 2004,7479367
Oct 2004,7548214
Sep 2004,7310455
Aug 2004,7004573
Jul 2004,6681153
Jun 2004,6307379
May 2004,5910982
Apr 2004,5535291
Mar 2004,5341885
Feb 2004,5452307
Jan 2004,6051839
Dec 2003,6865772
Nov 2003,7341444
Oct 2003,7456712
Sep 2003,7173311
Aug 2003,6762507
Jul 2003,6450716
Jun 2003,6090298
May 2003,5621675
Apr 2003,5210476
Mar 2003,5055702
Feb 2003,5187077
Jan 2003,5865966
Dec 2002,6715467
Nov 2002,7272705
Oct 2002,7457920
Sep 2002,7384108
Aug 2002,7130055
Jul 2002,6896201
Jun 2002,6663387
May 2002,6329453
Apr 2002,6013613
Mar 2002,5872829
Feb 2002,6193791
Jan 2002,6657016
Dec 2001,7204251
Nov 2001,7554750
Oct 2001,7453778
Sep 2001,7261934
Aug 2001,6888848
Jul 2001,6576075
Jun 2001,6192512
May 2001,5749464
Apr 2001,5252851
Mar 2001,5041971
Feb 2001,5240820
Jan 2001,5609446
Dec 2000,6071016
Nov 2000,6803053
Oct 2000,7091843
Sep 2000,6854681
Aug 2000,6560205
Jul 2000,6364523
Jun 2000,6078632
May 2000,5795357
Apr 2000,5564588
Mar 2000,5516786
Feb 2000,5681255
Jan 2000,6139305
Dec 1999,6906222
Nov 1999,7444913
Oct 1999,7443251
Sep 1999,7292291
Aug 1999,6978115
Jul 1999,6749210
Jun 1999,6519178
May 1999,6206150
Apr 1999,5876197
Mar 1999,5788960
Feb 1999,6074901
Jan 1999,6404470
Dec 1998,7055564
Nov 1998,7498618
Oct 1998,7533283
Sep 1998,7268592
Aug 1998,7037836
Jul 1998,6806057
Jun 1998,6448734
May 1998,6114204
Apr 1998,5725086
Mar 1998,5524413
Feb 1998,5768168
Jan 1998,6059533
Dec 1997,6524603
Nov 1997,7058164
Oct 1997,7244192
Sep 1997,7032532
Aug 1997,6694744
Jul 1997,6372309
Jun 1997,6087891
May 1997,5704423
Apr 1997,5393231
Mar 1997,5335550
Feb 1997,5481074
Jan 1997,5843054
Dec 1996,6513261
Nov 1996,6888617
Oct 1996,7145456
Sep 1996,6942603
Aug 1996,6576643
Jul 1996,6233501
Jun 1996,5869891
May 1996,5492714
Apr 1996,5166341
Mar 1996,5048352
Feb 1996,5369325
Jan 1996,5816718
Dec 1995,6502507
Nov 1995,7070062
Oct 1995,7333726
Sep 1995,7142992
Aug 1995,6834120
Jul 1995,6641015
Jun 1995,6419695
May 1995,6061254
Apr 1995,5739734
Mar 1995,5693720
Feb 1995,5909701
Jan 1995,6410498
Dec 1994,6966148
Nov 1994,7331015
Oct 1994,7429148
Sep 1994,7265525
Aug 1994,6961419
Jul 1994,6628655
Jun 1994,6248132
May 1994,5906027
Apr 1994,5516706
Mar 1994,5300726
Feb 1994,5427691
Jan 1994,5927088
Dec 1993,6649086
Nov 1993,7088220
Oct 1993,7292479
Sep 1993,7139510
Aug 1993,6817410
Jul 1993,6496755
Jun 1993,6151310
May 1993,5764643
Apr 1993,5339555
Mar 1993,5232728
Feb 1993,5533344
Jan 1993,6085037
Dec 1992,6640542
Nov 1992,7114518
Oct 1992,7288033
Sep 1992,7104964
Aug 1992,6822936
Jul 1992,6524180
Jun 1992,6202810
May 1992,5892327
Apr 1992,5610974
Mar 1992,5591063
Feb 1992,5894426
Jan 1992,6276887
Dec 1991,6777679
Nov 1991,7099578
Oct 1991,7330028
Sep 1991,7150883
Aug 1991,6927078
Jul 1991,6713498
Jun 1991,6492087
May 1991,6203826
Apr 1991,5934568
Mar 1991,5806287
Feb 1991,5971677
Jan 1991,6272921
Dec 1990,6936000
Nov 1990,7340000
Oct 1990,7319000
Sep 1990,7173000
Aug 1990,6922000
Jul 1990,6641000
Jun 1990,6329000
May 1990,6003000
Apr 1990,5785000
Mar 1990,5693000
Feb 1990,5818000
Jan 1990,6088000
Dec 1989,6325000
Nov 1989,7008000
Oct 1989,7060000
Sep 1989,6989000
Aug 1989,6740000
Jul 1989,6446000
Jun 1989,6176000
May 1989,5864000
Apr 1989,5624000
Mar 1989,5577000
Feb 1989,5795000
Jan 1989,6307000
Dec 1988,6650000
Nov 1988,6974000
Oct 1988,7035000
Sep 1988,6911000
Aug 1988,6626000
Jul 1988,6360000
Jun 1988,6085000
May 1988,5817000
Apr 1988,5559000
Mar 1988,5472000
Feb 1988,5618000
Jan 1988,6020000
Dec 1987,6548000
Nov 1987,6851000
Oct 1987,6919000
Sep 1987,6862000
Aug 1987,6649000
Jul 1987,6449000
Jun 1987,6247000
May 1987,6017000
Apr 1987,5750000
Mar 1987,5692000
Feb 1987,5803000
Jan 1987,6098000
Dec 1986,6567000
Nov 1986,6897000
Oct 1986,7048000
Sep 1986,6906000
Aug 1986,6682000
Jul 1986,6411000
Jun 1986,6152000
May 1986,5906000
Apr 1986,5675000
Mar 1986,5602000
Feb 1986,5714000
Jan 1986,6055000
Dec 1985,6448000
Nov 1985,6933000
Oct 1985,7055000
Sep 1985,6930000
Aug 1985,6681000
Jul 1985,6454000
Jun 1985,6190000
May 1985,5966000
Apr 1985,5690000
Mar 1985,5578000
Feb 1985,5694000
Jan 1985,6083000
Dec 1984,6706000
Nov 1984,6915000
Oct 1984,7012000
Sep 1984,6825000
Aug 1984,6569000
Jul 1984,6285000
Jun 1984,5969000
May 1984,5670000
Apr 1984,5442000
Mar 1984,5396000
Feb 1984,5704000
Jan 1984,5938000
Dec 1983,6442000
Nov 1983,7016000
Oct 1983,7095000
Sep 1983,6964000
Aug 1983,6731000
Jul 1983,6522000
Jun 1983,6273000
May 1983,6040000
Apr 1983,5892000
Mar 1983,5960000
Feb 1983,6167000
Jan 1983,6457000
Dec 1982,6879000
Nov 1982,7081000
Oct 1982,7149000
Sep 1982,7033000
Aug 1982,6779000
Jul 1982,6484000
Jun 1982,6147000
May 1982,5814000
Apr 1982,5454000
Mar 1982,5370000
Feb 1982,5537000
Jan 1982,5933000
Dec 1981,6569000
Nov 1981,6932000
Oct 1981,6974000
Sep 1981,6872000
Aug 1981,6595000
Jul 1981,6257000
Jun 1981,5933000
May 1981,5661000
Apr 1981,5434000
Mar 1981,5285000
Feb 1981,5472000
Jan 1981,5794000
Dec 1980,6297000
Nov 1980,6663000
Oct 1980,6806000
Sep 1980,6712000
Aug 1980,6462000
Jul 1980,6187000
Jun 1980,5895000
May 1980,5588000
Apr 1980,5275000
Mar 1980,5150000
Feb 1980,5402000
Jan 1980,5873000
Dec 1979,6306000
Nov 1979,6541000
Oct 1979,6563000
Sep 1979,6401000
Aug 1979,6095000
Jul 1979,5743000
Jun 1979,5399000
May 1979,5057000
Apr 1979,4762000
Mar 1979,4695000
Feb 1979,4806000
Jan 1979,5348000
Dec 1978,6020000
Nov 1978,6352000
Oct 1978,6402000
Sep 1978,6224000
Aug 1978,5904000
Jul 1978,5550000
Jun 1978,5217000
May 1978,4870000
Apr 1978,4608000
Mar 1978,4497000
Feb 1978,4683000
Jan 1978,5193000
Dec 1977,5866000
Nov 1977,6224000
Oct 1977,6302000
Sep 1977,6188000
Aug 1977,5945000
Jul 1977,5665000
Jun 1977,5330000
May 1977,5024000
Apr 1977,4713000
Mar 1977,4501000
Feb 1977,4446000
Jan 1977,4580000
Dec 1976,5250000
Nov 1976,5713000
Oct 1976,5966000
Sep 1976,5946000
Aug 1976,5698000
Jul 1976,5412000
Jun 1976,5116000
May 1976,4827000
Apr 1976,4607000
Mar 1976,4496000
Feb 1976,4617000
Jan 1976,4817000
Dec 1975,5374000
Nov 1975,5691000
Oct 1975,5706000
Sep 1975,5553000
Aug 1975,
Jul 1975,
Jun 1975,
May 1975,
Apr 1975,
Mar 1975,
Feb 1975,
Jan 1975,
Dec 1974,4962000
Nov 1974,
Oct 1974,5445000
Sep 1974,
Aug 1974,
Jul 1974,
Jun 1974,
May 1974,
Apr 1974,
Mar 1974,
Feb 1974,
Jan 1974,
Dec 1973,4898000
