"DateTime","(deg F) Mean Temperature (CFSR) at Polygon 1, 2010-01-01 to 2019-03-13"
"2010-01-01:12 AM",27.6832
"2010-01-02:12 AM",30.7627
"2010-01-03:12 AM",29.554
"2010-01-04:12 AM",28.5618
"2010-01-05:12 AM",30.5569
"2010-01-06:12 AM",28.6599
"2010-01-07:12 AM",20.7441
"2010-01-08:12 AM",21.0889
"2010-01-09:12 AM",27.0799
"2010-01-10:12 AM",32.0164
"2010-01-11:12 AM",34.239
"2010-01-12:12 AM",36.4264
"2010-01-13:12 AM",37.7947
"2010-01-14:12 AM",36.6535
"2010-01-15:12 AM",36.0568
"2010-01-16:12 AM",37.0416
"2010-01-17:12 AM",36.2872
"2010-01-18:12 AM",36.6555
"2010-01-19:12 AM",36.8289
"2010-01-20:12 AM",35.1709
"2010-01-21:12 AM",34.6426
"2010-01-22:12 AM",35.7305
"2010-01-23:12 AM",32.9245
"2010-01-24:12 AM",29.5597
"2010-01-25:12 AM",29.298
"2010-01-26:12 AM",30.3408
"2010-01-27:12 AM",31.1729
"2010-01-28:12 AM",29.3319
"2010-01-29:12 AM",28.9056
"2010-01-30:12 AM",29.6686
"2010-01-31:12 AM",29.6303
"2010-02-01:12 AM",30.4453
"2010-02-02:12 AM",31.7309
"2010-02-03:12 AM",32.9032
"2010-02-04:12 AM",33.562
"2010-02-05:12 AM",34.4525
"2010-02-06:12 AM",34.2858
"2010-02-07:12 AM",32.3881
"2010-02-08:12 AM",27.6978
"2010-02-09:12 AM",26.301
"2010-02-10:12 AM",28.2641
"2010-02-11:12 AM",31.5185
"2010-02-12:12 AM",34.2392
"2010-02-13:12 AM",35.8637
"2010-02-14:12 AM",32.1469
"2010-02-15:12 AM",31.8452
"2010-02-16:12 AM",33.5197
"2010-02-17:12 AM",35.8286
"2010-02-18:12 AM",35.874
"2010-02-19:12 AM",34.295
"2010-02-20:12 AM",31.9426
"2010-02-21:12 AM",29.9876
"2010-02-22:12 AM",28.2796
"2010-02-23:12 AM",28.4607
"2010-02-24:12 AM",32.313
"2010-02-25:12 AM",36.0025
"2010-02-26:12 AM",36.1875
"2010-02-27:12 AM",37.1716
"2010-02-28:12 AM",37.2979
"2010-03-01:12 AM",37.3609
"2010-03-02:12 AM",38.3976
"2010-03-03:12 AM",39.5555
"2010-03-04:12 AM",39.7116
"2010-03-05:12 AM",39.6075
"2010-03-06:12 AM",40.6058
"2010-03-07:12 AM",40.7017
"2010-03-08:12 AM",40.3425
"2010-03-09:12 AM",37.2231
"2010-03-10:12 AM",34.5058
"2010-03-11:12 AM",34.7128
"2010-03-12:12 AM",38.1324
"2010-03-13:12 AM",38.9779
"2010-03-14:12 AM",38.4391
"2010-03-15:12 AM",40.0384
"2010-03-16:12 AM",43.5483
"2010-03-17:12 AM",46.3363
"2010-03-18:12 AM",44.9067
"2010-03-19:12 AM",39.7395
"2010-03-20:12 AM",37.2367
"2010-03-21:12 AM",41.4801
"2010-03-22:12 AM",44.5881
