"DateTime","(deg F) Mean Temperature (CFSR) at Arizona, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",55.3755
"2010-01-02:12 AM",59.7187
"2010-01-03:12 AM",57.6563
"2010-01-04:12 AM",58.0939
"2010-01-05:12 AM",60.1993
"2010-01-06:12 AM",59.8698
"2010-01-07:12 AM",57.1622
"2010-01-08:12 AM",54.3484
"2010-01-09:12 AM",58.2769
"2010-01-10:12 AM",58.1005
"2010-01-11:12 AM",59.3217
"2010-01-12:12 AM",61.8089
"2010-01-13:12 AM",59.405
"2010-01-14:12 AM",55.4007
"2010-01-15:12 AM",58.5678
"2010-01-16:12 AM",59.5087
"2010-01-17:12 AM",57.5955
"2010-01-18:12 AM",52.3697
"2010-01-19:12 AM",51.764
"2010-01-20:12 AM",48.9016
"2010-01-21:12 AM",47.2759
"2010-01-22:12 AM",47.4787
"2010-01-23:12 AM",42.5302
"2010-01-24:12 AM",46.2146
"2010-01-25:12 AM",50.8399
"2010-01-26:12 AM",54.7513
"2010-01-27:12 AM",52.7805
"2010-01-28:12 AM",50.349
"2010-01-29:12 AM",51.9906
"2010-01-30:12 AM",53.9764
"2010-01-31:12 AM",54.5472
"2010-02-01:12 AM",54.0259
"2010-02-02:12 AM",56.541
"2010-02-03:12 AM",56.07
"2010-02-04:12 AM",54.8065
"2010-02-05:12 AM",54.7792
"2010-02-06:12 AM",55.0386
"2010-02-07:12 AM",50.5051
"2010-02-08:12 AM",49.1788
"2010-02-09:12 AM",51.1057
"2010-02-10:12 AM",50.7268
"2010-02-11:12 AM",51.2346
"2010-02-12:12 AM",55.9789
"2010-02-13:12 AM",60.5037
"2010-02-14:12 AM",60.19
"2010-02-15:12 AM",61.3225
"2010-02-16:12 AM",60.8299
"2010-02-17:12 AM",62.9782
"2010-02-18:12 AM",62.2729
"2010-02-19:12 AM",60.3934
"2010-02-20:12 AM",57.5443
"2010-02-21:12 AM",48.688
"2010-02-22:12 AM",47.5545
"2010-02-23:12 AM",50.8575
"2010-02-24:12 AM",55.4855
"2010-02-25:12 AM",55.8259
"2010-02-26:12 AM",58.7646
"2010-02-27:12 AM",59.691
"2010-02-28:12 AM",56.6119
"2010-03-01:12 AM",58.6085
"2010-03-02:12 AM",61.4556
"2010-03-03:12 AM",61.752
"2010-03-04:12 AM",59.7578
"2010-03-05:12 AM",60.1128
"2010-03-06:12 AM",64.3946
"2010-03-07:12 AM",59.6156
"2010-03-08:12 AM",48.965
"2010-03-09:12 AM",50.1512
"2010-03-10:12 AM",48.2601
"2010-03-11:12 AM",52.0732
"2010-03-12:12 AM",61.3971
"2010-03-13:12 AM",62.6266
"2010-03-14:12 AM",59.0189
"2010-03-15:12 AM",62.445
"2010-03-16:12 AM",68.1708
"2010-03-17:12 AM",73.9431
"2010-03-18:12 AM",72.3529
"2010-03-19:12 AM",67.6359
"2010-03-20:12 AM",61.8417
"2010-03-21:12 AM",70.0072
"2010-03-22:12 AM",71.8108
"2010-03-23:12 AM",68.7303
"2010-03-24:12 AM",62.8552
"2010-03-25:12 AM",69.0127
"2010-03-26:12 AM",66.2846
"2010-03-27:12 AM",60.9112
"2010-03-28:12 AM",70.1591
"2010-03-29:12 AM",76.7809
"2010-03-30:12 AM",76.7064
"2010-03-31:12 AM",73.4704
"2010-04-01:12 AM",65.403
"2010-04-02:12 AM",60.2445
"2010-04-03:12 AM",68.8762
"2010-04-04:12 AM",70.774
"2010-04-05:12 AM",69.559
"2010-04-06:12 AM",64.5906
"2010-04-07:12 AM",64.0359
"2010-04-08:12 AM",74.0772
"2010-04-09:12 AM",75.2972
"2010-04-10:12 AM",75.6286
"2010-04-11:12 AM",76.4397
"2010-04-12:12 AM",74.4759
"2010-04-13:12 AM",66.8464
"2010-04-14:12 AM",72.2408
"2010-04-15:12 AM",79.704
"2010-04-16:12 AM",78.3635
"2010-04-17:12 AM",80.6918
"2010-04-18:12 AM",81.5614
"2010-04-19:12 AM",78.7516
"2010-04-20:12 AM",76.5754
"2010-04-21:12 AM",73.9578
"2010-04-22:12 AM",55.2
"2010-04-23:12 AM",60.2749
"2010-04-24:12 AM",71.0872
"2010-04-25:12 AM",77.2961
"2010-04-26:12 AM",80.1997
"2010-04-27:12 AM",81.5927
"2010-04-28:12 AM",78.9026
"2010-04-29:12 AM",74.2219
"2010-04-30:12 AM",59.7027
"2010-05-01:12 AM",64.8581
"2010-05-02:12 AM",64.4445
"2010-05-03:12 AM",74.8791
"2010-05-04:12 AM",82.8046
"2010-05-05:12 AM",84.4464
"2010-05-06:12 AM",82.2475
"2010-05-07:12 AM",82.5611
"2010-05-08:12 AM",84.6585
"2010-05-09:12 AM",82.9362
"2010-05-10:12 AM",77.7807
"2010-05-11:12 AM",71.7202
"2010-05-12:12 AM",69.2746
"2010-05-13:12 AM",74.9647
"2010-05-14:12 AM",76.8765
"2010-05-15:12 AM",81.0201
"2010-05-16:12 AM",85.5442
"2010-05-17:12 AM",83.7646
"2010-05-18:12 AM",79.3481
"2010-05-19:12 AM",80.85
"2010-05-20:12 AM",86.8973
"2010-05-21:12 AM",86.8413
"2010-05-22:12 AM",84.7897
"2010-05-23:12 AM",76.3306
"2010-05-24:12 AM",71.3014
"2010-05-25:12 AM",79.3971
"2010-05-26:12 AM",84.0837
"2010-05-27:12 AM",86.7398
"2010-05-28:12 AM",86.4493
"2010-05-29:12 AM",84.6565
"2010-05-30:12 AM",87.2731
"2010-05-31:12 AM",88.4619
"2010-06-01:12 AM",86.2817
"2010-06-02:12 AM",86.8014
"2010-06-03:12 AM",89.7523
"2010-06-04:12 AM",93.6241
"2010-06-05:12 AM",97.8775
"2010-06-06:12 AM",101.6118
"2010-06-07:12 AM",98.9881
"2010-06-08:12 AM",96.5698
"2010-06-09:12 AM",95.0976
"2010-06-10:12 AM",92.1931
"2010-06-11:12 AM",87.9541
"2010-06-12:12 AM",79.594
"2010-06-13:12 AM",80.6878
"2010-06-14:12 AM",86.6192
"2010-06-15:12 AM",91.9978
"2010-06-16:12 AM",90.7916
"2010-06-17:12 AM",92.4044
"2010-06-18:12 AM",93.5501
"2010-06-19:12 AM",92.6667
"2010-06-20:12 AM",92.1891
"2010-06-21:12 AM",91.8392
"2010-06-22:12 AM",93.2371
"2010-06-23:12 AM",98.7231
"2010-06-24:12 AM",99.0786
"2010-06-25:12 AM",97.3557
"2010-06-26:12 AM",94.971
"2010-06-27:12 AM",97.0495
"2010-06-28:12 AM",98.9546
"2010-06-29:12 AM",97.0731
"2010-06-30:12 AM",97.0003
"2010-07-01:12 AM",97.5456
"2010-07-02:12 AM",97.183
"2010-07-03:12 AM",95.72
"2010-07-04:12 AM",90.7396
"2010-07-05:12 AM",93.479
"2010-07-06:12 AM",95.0499
"2010-07-07:12 AM",95.2624
"2010-07-08:12 AM",95.8129
"2010-07-09:12 AM",96.177
"2010-07-10:12 AM",97.7556
"2010-07-11:12 AM",96.1149
"2010-07-12:12 AM",96.3338
"2010-07-13:12 AM",98.0078
"2010-07-14:12 AM",97.9502
"2010-07-15:12 AM",103.1803
"2010-07-16:12 AM",102.2765
"2010-07-17:12 AM",100.7823
"2010-07-18:12 AM",100.823
"2010-07-19:12 AM",100.576
"2010-07-20:12 AM",99.3735
"2010-07-21:12 AM",96.0141
"2010-07-22:12 AM",91.4592
"2010-07-23:12 AM",90.8418
"2010-07-24:12 AM",93.0898
"2010-07-25:12 AM",95.4068
"2010-07-26:12 AM",92.1252
"2010-07-27:12 AM",91.4675
"2010-07-28:12 AM",90.4653
"2010-07-29:12 AM",91.7564
"2010-07-30:12 AM",87.0795
"2010-07-31:12 AM",84.8563
"2010-08-01:12 AM",80.9368
"2010-08-02:12 AM",86.6815
"2010-08-03:12 AM",92.4354
"2010-08-04:12 AM",95.758
"2010-08-05:12 AM",97.0716
"2010-08-06:12 AM",95.8402
"2010-08-07:12 AM",91.5309
"2010-08-08:12 AM",87.3509
"2010-08-09:12 AM",89.362
"2010-08-10:12 AM",92.8933
"2010-08-11:12 AM",95.4595
"2010-08-12:12 AM",95.9095
"2010-08-13:12 AM",96.697
"2010-08-14:12 AM",97.4489
"2010-08-15:12 AM",99.2979
"2010-08-16:12 AM",94.7683
"2010-08-17:12 AM",96.1417
"2010-08-18:12 AM",92.9314
"2010-08-19:12 AM",94.8726
"2010-08-20:12 AM",97.3684
"2010-08-21:12 AM",95.8066
"2010-08-22:12 AM",93.1953
"2010-08-23:12 AM",96.984
"2010-08-24:12 AM",97.5708
"2010-08-25:12 AM",94.4537
"2010-08-26:12 AM",92.5164
"2010-08-27:12 AM",90.4114
"2010-08-28:12 AM",87.3525
"2010-08-29:12 AM",85.6765
"2010-08-30:12 AM",82.7881
"2010-08-31:12 AM",87.0906
"2010-09-01:12 AM",92.2473
"2010-09-02:12 AM",96.7361
"2010-09-03:12 AM",97.2387
"2010-09-04:12 AM",96.6306
"2010-09-05:12 AM",94.2728
"2010-09-06:12 AM",92.0606
"2010-09-07:12 AM",89.4774
"2010-09-08:12 AM",84.9659
"2010-09-09:12 AM",82.3431
"2010-09-10:12 AM",82.8898
"2010-09-11:12 AM",88.2257
"2010-09-12:12 AM",90.8276
"2010-09-13:12 AM",92.086
"2010-09-14:12 AM",92.7333
"2010-09-15:12 AM",92.1171
"2010-09-16:12 AM",94.2483
"2010-09-17:12 AM",94.26
"2010-09-18:12 AM",95.3308
"2010-09-19:12 AM",95.4401
"2010-09-20:12 AM",92.8375
"2010-09-21:12 AM",90.3535
"2010-09-22:12 AM",85.0136
"2010-09-23:12 AM",83.7201
"2010-09-24:12 AM",87.9433
"2010-09-25:12 AM",91.2625
"2010-09-26:12 AM",92.395
"2010-09-27:12 AM",93.3544
"2010-09-28:12 AM",93.7733
"2010-09-29:12 AM",94.0307
"2010-09-30:12 AM",95.2862
"2010-10-01:12 AM",92.7221
"2010-10-02:12 AM",91.872
"2010-10-03:12 AM",85.8385
"2010-10-04:12 AM",81.7889
"2010-10-05:12 AM",74.4705
"2010-10-06:12 AM",72.882
"2010-10-07:12 AM",75.1609
"2010-10-08:12 AM",76.1986
"2010-10-09:12 AM",78.354
"2010-10-10:12 AM",77.7218
"2010-10-11:12 AM",80.3129
"2010-10-12:12 AM",82.328
"2010-10-13:12 AM",84.4012
"2010-10-14:12 AM",84.857
"2010-10-15:12 AM",82.6603
"2010-10-16:12 AM",81.6665
"2010-10-17:12 AM",78.2447
"2010-10-18:12 AM",74.0647
"2010-10-19:12 AM",74.6082
"2010-10-20:12 AM",69.9584
"2010-10-21:12 AM",62.8376
"2010-10-22:12 AM",61.6984
"2010-10-23:12 AM",64.6011
"2010-10-24:12 AM",68.7261
"2010-10-25:12 AM",66.2239
"2010-10-26:12 AM",66.011
"2010-10-27:12 AM",65.264
"2010-10-28:12 AM",74.181
"2010-10-29:12 AM",78.5124
"2010-10-30:12 AM",72.9811
"2010-10-31:12 AM",69.4404
"2010-11-01:12 AM",71.8639
"2010-11-02:12 AM",75.7418
"2010-11-03:12 AM",79.6271
"2010-11-04:12 AM",77.2304
"2010-11-05:12 AM",77.5735
"2010-11-06:12 AM",76.3745
"2010-11-07:12 AM",71.9643
"2010-11-08:12 AM",67.1938
"2010-11-09:12 AM",59.7409
"2010-11-10:12 AM",58.6254
"2010-11-11:12 AM",56.5752
"2010-11-12:12 AM",59.3319
"2010-11-13:12 AM",62.373
"2010-11-14:12 AM",61.0275
"2010-11-15:12 AM",62.2922
"2010-11-16:12 AM",65.1864
"2010-11-17:12 AM",65.2842
"2010-11-18:12 AM",68.8487
"2010-11-19:12 AM",67.5347
"2010-11-20:12 AM",63.1231
"2010-11-21:12 AM",56.6865
"2010-11-22:12 AM",50.9418
"2010-11-23:12 AM",53.6027
"2010-11-24:12 AM",49.6409
"2010-11-25:12 AM",46.1568
"2010-11-26:12 AM",54.1276
"2010-11-27:12 AM",59.0779
"2010-11-28:12 AM",47.6616
"2010-11-29:12 AM",42.2364
"2010-11-30:12 AM",50.0445
"2010-12-01:12 AM",62.4546
"2010-12-02:12 AM",66.2733
"2010-12-03:12 AM",67.6677
"2010-12-04:12 AM",66.2896
"2010-12-05:12 AM",67.2184
"2010-12-06:12 AM",66.6014
"2010-12-07:12 AM",62.4227
"2010-12-08:12 AM",64.9864
"2010-12-09:12 AM",65.8222
"2010-12-10:12 AM",65.0271
"2010-12-11:12 AM",64.0569
"2010-12-12:12 AM",67.4695
"2010-12-13:12 AM",70.3958
"2010-12-14:12 AM",69.1196
"2010-12-15:12 AM",61.407
"2010-12-16:12 AM",54.4743
"2010-12-17:12 AM",50.8914
"2010-12-18:12 AM",54.0898
"2010-12-19:12 AM",58.2433
"2010-12-20:12 AM",59.1235
"2010-12-21:12 AM",57.7414
"2010-12-22:12 AM",58.1598
"2010-12-23:12 AM",52.1955
"2010-12-24:12 AM",54.6676
"2010-12-25:12 AM",57.9931
"2010-12-26:12 AM",54.0648
"2010-12-27:12 AM",52.0943
"2010-12-28:12 AM",52.8737
"2010-12-29:12 AM",46.8955
"2010-12-30:12 AM",42.0319
"2010-12-31:12 AM",32.4894
"2011-01-01:12 AM",34.3936
"2011-01-02:12 AM",42.0021
"2011-01-03:12 AM",43.6338
"2011-01-04:12 AM",43.9749
"2011-01-05:12 AM",47.3794
"2011-01-06:12 AM",50.108
"2011-01-07:12 AM",51.2929
"2011-01-08:12 AM",48.3579
"2011-01-09:12 AM",49.2816
"2011-01-10:12 AM",45.9849
"2011-01-11:12 AM",46.4695
"2011-01-12:12 AM",50.6572
"2011-01-13:12 AM",54.8114
"2011-01-14:12 AM",55.1174
"2011-01-15:12 AM",57.5139
"2011-01-16:12 AM",59.8534
"2011-01-17:12 AM",63.8697
"2011-01-18:12 AM",62.578
"2011-01-19:12 AM",60.4296
"2011-01-20:12 AM",55.0479
"2011-01-21:12 AM",57.3827
"2011-01-22:12 AM",59.2257
"2011-01-23:12 AM",54.1256
"2011-01-24:12 AM",55.1683
"2011-01-25:12 AM",55.8361
"2011-01-26:12 AM",54.9037
"2011-01-27:12 AM",57.6435
"2011-01-28:12 AM",60.4198
"2011-01-29:12 AM",59.1228
"2011-01-30:12 AM",56.8459
"2011-01-31:12 AM",52.1436
"2011-02-01:12 AM",46.7805
"2011-02-02:12 AM",38.8713
"2011-02-03:12 AM",35.1741
"2011-02-04:12 AM",48.1318
"2011-02-05:12 AM",55.3527
"2011-02-06:12 AM",55.5636
"2011-02-07:12 AM",60.2184
"2011-02-08:12 AM",56.4573
"2011-02-09:12 AM",49.5864
"2011-02-10:12 AM",50.2551
"2011-02-11:12 AM",57.0148
"2011-02-12:12 AM",62.8752
"2011-02-13:12 AM",67.5055
"2011-02-14:12 AM",66.61
"2011-02-15:12 AM",66.5681
"2011-02-16:12 AM",64.0596
"2011-02-17:12 AM",60.0967
"2011-02-18:12 AM",59.9545
"2011-02-19:12 AM",57.4795
"2011-02-20:12 AM",46.9096
"2011-02-21:12 AM",49.8166
"2011-02-22:12 AM",53.0593
"2011-02-23:12 AM",53.4191
"2011-02-24:12 AM",51.6385
"2011-02-25:12 AM",56.118
"2011-02-26:12 AM",55.2081
"2011-02-27:12 AM",50.38
"2011-02-28:12 AM",55.4945
"2011-03-01:12 AM",63.1324
"2011-03-02:12 AM",65.2591
"2011-03-03:12 AM",65.5192
"2011-03-04:12 AM",63.0383
"2011-03-05:12 AM",65.3112
"2011-03-06:12 AM",67.9006
"2011-03-07:12 AM",63.5517
"2011-03-08:12 AM",56.8954
"2011-03-09:12 AM",67.3108
"2011-03-10:12 AM",73.193
"2011-03-11:12 AM",73.0438
"2011-03-12:12 AM",71.2483
"2011-03-13:12 AM",72.1661
"2011-03-14:12 AM",73.1975
"2011-03-15:12 AM",74.8805
"2011-03-16:12 AM",75.9276
"2011-03-17:12 AM",74.8857
"2011-03-18:12 AM",72.5058
"2011-03-19:12 AM",69.4904
"2011-03-20:12 AM",67.91
"2011-03-21:12 AM",64.2902
"2011-03-22:12 AM",55.5523
"2011-03-23:12 AM",63.8785
"2011-03-24:12 AM",61.8877
"2011-03-25:12 AM",61.1208
"2011-03-26:12 AM",62.8473
"2011-03-27:12 AM",66.3876
"2011-03-28:12 AM",69.6295
"2011-03-29:12 AM",71.9416
"2011-03-30:12 AM",72.5709
"2011-03-31:12 AM",80.1669
"2011-04-01:12 AM",86.6683
"2011-04-02:12 AM",84.2751
"2011-04-03:12 AM",79.0741
"2011-04-04:12 AM",72.1787
"2011-04-05:12 AM",79.516
"2011-04-06:12 AM",76.1988
"2011-04-07:12 AM",68.1863
"2011-04-08:12 AM",65.6352
"2011-04-09:12 AM",55.5586
"2011-04-10:12 AM",53.8021
"2011-04-11:12 AM",68.4788
"2011-04-12:12 AM",71.4312
"2011-04-13:12 AM",69.9771
"2011-04-14:12 AM",67.6276
"2011-04-15:12 AM",74.5554
"2011-04-16:12 AM",81.0538
"2011-04-17:12 AM",82.04
"2011-04-18:12 AM",79.921
"2011-04-19:12 AM",77.3992
"2011-04-20:12 AM",78.0301
"2011-04-21:12 AM",77.6941
"2011-04-22:12 AM",76.6654
"2011-04-23:12 AM",74.7
"2011-04-24:12 AM",71.9258
"2011-04-25:12 AM",74.3734
"2011-04-26:12 AM",73.5163
"2011-04-27:12 AM",72.7695
"2011-04-28:12 AM",81.1036
"2011-04-29:12 AM",79.0848
"2011-04-30:12 AM",73.0753
"2011-05-01:12 AM",64.4067
"2011-05-02:12 AM",69.9766
"2011-05-03:12 AM",80.2389
"2011-05-04:12 AM",84.7312
"2011-05-05:12 AM",87.0604
"2011-05-06:12 AM",86.6862
"2011-05-07:12 AM",85.8578
"2011-05-08:12 AM",83.6146
"2011-05-09:12 AM",77.2117
"2011-05-10:12 AM",65.4793
"2011-05-11:12 AM",69.7473
"2011-05-12:12 AM",80.2839
"2011-05-13:12 AM",86.952
"2011-05-14:12 AM",84.6379
"2011-05-15:12 AM",81.2296
"2011-05-16:12 AM",76.4811
"2011-05-17:12 AM",72.4588
"2011-05-18:12 AM",68.1642
"2011-05-19:12 AM",64.7591
"2011-05-20:12 AM",71.7242
"2011-05-21:12 AM",79.9567
"2011-05-22:12 AM",81.5747
"2011-05-23:12 AM",79.2228
"2011-05-24:12 AM",76.9878
"2011-05-25:12 AM",85.5664
"2011-05-26:12 AM",86.3906
"2011-05-27:12 AM",89.5786
"2011-05-28:12 AM",87.996
"2011-05-29:12 AM",84.3669
"2011-05-30:12 AM",76.219
"2011-05-31:12 AM",87.2746
"2011-06-01:12 AM",88.7828
"2011-06-02:12 AM",84.5857
"2011-06-03:12 AM",85.3569
"2011-06-04:12 AM",89.3527
"2011-06-05:12 AM",93.1696
"2011-06-06:12 AM",90.5745
"2011-06-07:12 AM",86.22
"2011-06-08:12 AM",85.2888
"2011-06-09:12 AM",88.3386
"2011-06-10:12 AM",90.6526
"2011-06-11:12 AM",89.0877
"2011-06-12:12 AM",89.2686
"2011-06-13:12 AM",89.7161
"2011-06-14:12 AM",94.3104
"2011-06-15:12 AM",96.8412
"2011-06-16:12 AM",94.2521
"2011-06-17:12 AM",91.5136
"2011-06-18:12 AM",92.0835
"2011-06-19:12 AM",90.3389
"2011-06-20:12 AM",89.4292
"2011-06-21:12 AM",96.6736
"2011-06-22:12 AM",101.1205
"2011-06-23:12 AM",98.7364
"2011-06-24:12 AM",97.8249
"2011-06-25:12 AM",97.8976
"2011-06-26:12 AM",98.9638
"2011-06-27:12 AM",101.7806
"2011-06-28:12 AM",100.9814
"2011-06-29:12 AM",98.4096
"2011-06-30:12 AM",95.4984
"2011-07-01:12 AM",100.9333
"2011-07-02:12 AM",103.2795
"2011-07-03:12 AM",100.9778
"2011-07-04:12 AM",95.9104
"2011-07-05:12 AM",95.9905
"2011-07-06:12 AM",94.3882
"2011-07-07:12 AM",94.9753
"2011-07-08:12 AM",94.6537
"2011-07-09:12 AM",94.3608
"2011-07-10:12 AM",92.1445
"2011-07-11:12 AM",88.6933
"2011-07-12:12 AM",88.8696
"2011-07-13:12 AM",90.2394
"2011-07-14:12 AM",89.8959
"2011-07-15:12 AM",91.1143
"2011-07-16:12 AM",93.9502
"2011-07-17:12 AM",96.386
"2011-07-18:12 AM",95.8113
"2011-07-19:12 AM",94.3866
"2011-07-20:12 AM",95.473
"2011-07-21:12 AM",95.3069
"2011-07-22:12 AM",95.0576
"2011-07-23:12 AM",94.1797
"2011-07-24:12 AM",94.4089
"2011-07-25:12 AM",92.2951
"2011-07-26:12 AM",90.1234
"2011-07-27:12 AM",91.5215
"2011-07-28:12 AM",93.5854
"2011-07-29:12 AM",92.6375
"2011-07-30:12 AM",92.2699
"2011-07-31:12 AM",91.1464
"2011-08-01:12 AM",89.634
"2011-08-02:12 AM",96.6108
"2011-08-03:12 AM",97.1121
"2011-08-04:12 AM",95.4226
"2011-08-05:12 AM",95.8165
"2011-08-06:12 AM",94.9091
"2011-08-07:12 AM",93.889
"2011-08-08:12 AM",93.4596
"2011-08-09:12 AM",93.4371
"2011-08-10:12 AM",91.0573
"2011-08-11:12 AM",90.6188
"2011-08-12:12 AM",91.1845
"2011-08-13:12 AM",93.198
"2011-08-14:12 AM",91.508
"2011-08-15:12 AM",93.7063
"2011-08-16:12 AM",93.1597
"2011-08-17:12 AM",95.7646
"2011-08-18:12 AM",95.7668
"2011-08-19:12 AM",92.5245
"2011-08-20:12 AM",92.1506
"2011-08-21:12 AM",94.3374
"2011-08-22:12 AM",97.0282
"2011-08-23:12 AM",100.0177
"2011-08-24:12 AM",99.7977
"2011-08-25:12 AM",97.2536
"2011-08-26:12 AM",97.8319
"2011-08-27:12 AM",99.2422
"2011-08-28:12 AM",97.9894
"2011-08-29:12 AM",97.3683
"2011-08-30:12 AM",98.1932
"2011-08-31:12 AM",97.4163
"2011-09-01:12 AM",96.1525
"2011-09-02:12 AM",94.764
"2011-09-03:12 AM",95.6736
"2011-09-04:12 AM",96.4794
"2011-09-05:12 AM",93.5317
"2011-09-06:12 AM",89.0767
