"DateTime","(deg F) Mean Temperature (CFSR) at California, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",46.3552
"2010-01-02:12 AM",48.1811
"2010-01-03:12 AM",47.9973
"2010-01-04:12 AM",48.2947
"2010-01-05:12 AM",48.5458
"2010-01-06:12 AM",50.1415
"2010-01-07:12 AM",50.403
"2010-01-08:12 AM",49.5351
"2010-01-09:12 AM",49.1837
"2010-01-10:12 AM",50.6354
"2010-01-11:12 AM",51.6688
"2010-01-12:12 AM",50.8595
"2010-01-13:12 AM",49.0035
"2010-01-14:12 AM",46.5404
"2010-01-15:12 AM",48.9427
"2010-01-16:12 AM",49.5889
"2010-01-17:12 AM",45.37
"2010-01-18:12 AM",45.8326
"2010-01-19:12 AM",42.8277
"2010-01-20:12 AM",41.7454
"2010-01-21:12 AM",40.6533
"2010-01-22:12 AM",39.2349
"2010-01-23:12 AM",38.7847
"2010-01-24:12 AM",39.9184
"2010-01-25:12 AM",42.888
"2010-01-26:12 AM",44.47
"2010-01-27:12 AM",43.8001
"2010-01-28:12 AM",44.3703
"2010-01-29:12 AM",45.3592
"2010-01-30:12 AM",44.4787
"2010-01-31:12 AM",43.8845
"2010-02-01:12 AM",44.3403
"2010-02-02:12 AM",45.0824
"2010-02-03:12 AM",45.7419
"2010-02-04:12 AM",45.009
"2010-02-05:12 AM",46.229
"2010-02-06:12 AM",45.3859
"2010-02-07:12 AM",43.2516
"2010-02-08:12 AM",42.5361
"2010-02-09:12 AM",42.6902
"2010-02-10:12 AM",42.0125
"2010-02-11:12 AM",44.3273
"2010-02-12:12 AM",46.6855
"2010-02-13:12 AM",49.3277
"2010-02-14:12 AM",50.9943
"2010-02-15:12 AM",51.6852
"2010-02-16:12 AM",53.1579
"2010-02-17:12 AM",53.6761
"2010-02-18:12 AM",51.6245
"2010-02-19:12 AM",48.4079
"2010-02-20:12 AM",45.597
"2010-02-21:12 AM",43.7243
"2010-02-22:12 AM",43.7994
"2010-02-23:12 AM",42.6058
"2010-02-24:12 AM",46.0269
"2010-02-25:12 AM",48.0184
"2010-02-26:12 AM",49.2242
"2010-02-27:12 AM",46.7508
"2010-02-28:12 AM",47.6575
"2010-03-01:12 AM",49.2006
"2010-03-02:12 AM",47.5225
"2010-03-03:12 AM",44.2886
"2010-03-04:12 AM",42.6097
"2010-03-05:12 AM",43.2797
"2010-03-06:12 AM",46.7451
"2010-03-07:12 AM",46.5298
"2010-03-08:12 AM",44.3143
"2010-03-09:12 AM",40.0638
"2010-03-10:12 AM",40.6456
"2010-03-11:12 AM",43.4926
"2010-03-12:12 AM",45.531
"2010-03-13:12 AM",44.6826
"2010-03-14:12 AM",45.685
"2010-03-15:12 AM",51.3579
"2010-03-16:12 AM",55.4335
"2010-03-17:12 AM",57.915
"2010-03-18:12 AM",56.6028
"2010-03-19:12 AM",56.2631
"2010-03-20:12 AM",55.4326
"2010-03-21:12 AM",53.7566
"2010-03-22:12 AM",53.6171
"2010-03-23:12 AM",53.7829
"2010-03-24:12 AM",52.9581
"2010-03-25:12 AM",48.9587
"2010-03-26:12 AM",48.1269
"2010-03-27:12 AM",51.4386
"2010-03-28:12 AM",53.8948
"2010-03-29:12 AM",54.4845
"2010-03-30:12 AM",50.9283
"2010-03-31:12 AM",44.8286
"2010-04-01:12 AM",42.7462
"2010-04-02:12 AM",44.1747
"2010-04-03:12 AM",46.2403
"2010-04-04:12 AM",43.6908
"2010-04-05:12 AM",43.5216
"2010-04-06:12 AM",46.1174
"2010-04-07:12 AM",52.25
"2010-04-08:12 AM",53.5404
"2010-04-09:12 AM",53.7834
"2010-04-10:12 AM",51.4315
"2010-04-11:12 AM",48.2018
"2010-04-12:12 AM",45.5686
"2010-04-13:12 AM",46.8041
"2010-04-14:12 AM",48.9189
"2010-04-15:12 AM",52.6163
"2010-04-16:12 AM",54.4683
"2010-04-17:12 AM",56.971
"2010-04-18:12 AM",58.9343
"2010-04-19:12 AM",57.3152
"2010-04-20:12 AM",51.0996
"2010-04-21:12 AM",42.9359
"2010-04-22:12 AM",46.186
"2010-04-23:12 AM",52.0453
"2010-04-24:12 AM",56.0788
"2010-04-25:12 AM",59.4185
"2010-04-26:12 AM",60.2465
"2010-04-27:12 AM",55.7047
"2010-04-28:12 AM",48.8232
"2010-04-29:12 AM",44.6949
"2010-04-30:12 AM",48.2562
"2010-05-01:12 AM",53.1298
"2010-05-02:12 AM",56.2395
"2010-05-03:12 AM",59.6575
"2010-05-04:12 AM",59.8923
"2010-05-05:12 AM",56.9782
"2010-05-06:12 AM",54.936
"2010-05-07:12 AM",57.3712
"2010-05-08:12 AM",57.5296
"2010-05-09:12 AM",52.8665
"2010-05-10:12 AM",49.0129
"2010-05-11:12 AM",49.1059
"2010-05-12:12 AM",54.8242
"2010-05-13:12 AM",59.1555
"2010-05-14:12 AM",60.9678
"2010-05-15:12 AM",62.1729
"2010-05-16:12 AM",62.6108
"2010-05-17:12 AM",55.4112
"2010-05-18:12 AM",54.648
"2010-05-19:12 AM",57.5638
"2010-05-20:12 AM",59.2534
"2010-05-21:12 AM",54.4707
"2010-05-22:12 AM",48.6118
"2010-05-23:12 AM",47.6076
"2010-05-24:12 AM",49.3345
"2010-05-25:12 AM",52.315
"2010-05-26:12 AM",54.16
"2010-05-27:12 AM",52.3306
"2010-05-28:12 AM",52.3558
"2010-05-29:12 AM",58.5718
"2010-05-30:12 AM",64.0609
"2010-05-31:12 AM",64.1412
"2010-06-01:12 AM",62.8698
"2010-06-02:12 AM",64.0159
"2010-06-03:12 AM",65.6013
"2010-06-04:12 AM",67.1193
"2010-06-05:12 AM",70.5465
"2010-06-06:12 AM",71.9114
"2010-06-07:12 AM",70.246
"2010-06-08:12 AM",68.1573
"2010-06-09:12 AM",65.3868
"2010-06-10:12 AM",60.5412
"2010-06-11:12 AM",60.8036
"2010-06-12:12 AM",64.9915
"2010-06-13:12 AM",68.0326
"2010-06-14:12 AM",70.164
"2010-06-15:12 AM",67.8546
"2010-06-16:12 AM",62.3457
"2010-06-17:12 AM",64.1412
"2010-06-18:12 AM",63.9183
"2010-06-19:12 AM",61.6779
"2010-06-20:12 AM",62.254
"2010-06-21:12 AM",64.7785
"2010-06-22:12 AM",67.8556
"2010-06-23:12 AM",70.0871
"2010-06-24:12 AM",69.4078
"2010-06-25:12 AM",68.8762
"2010-06-26:12 AM",70.1863
"2010-06-27:12 AM",75.3724
"2010-06-28:12 AM",76.3104
"2010-06-29:12 AM",73.4761
"2010-06-30:12 AM",70.9387
"2010-07-01:12 AM",68.7502
"2010-07-02:12 AM",68.0761
"2010-07-03:12 AM",68.7938
"2010-07-04:12 AM",70.4867
"2010-07-05:12 AM",71.584
"2010-07-06:12 AM",70.4521
"2010-07-07:12 AM",70.6159
"2010-07-08:12 AM",72.2403
"2010-07-09:12 AM",74.3482
"2010-07-10:12 AM",75.4399
"2010-07-11:12 AM",74.746
"2010-07-12:12 AM",74.174
"2010-07-13:12 AM",73.4149
"2010-07-14:12 AM",75.4086
"2010-07-15:12 AM",79.5834
"2010-07-16:12 AM",81.2277
"2010-07-17:12 AM",79.92
"2010-07-18:12 AM",79.3733
"2010-07-19:12 AM",77.6948
"2010-07-20:12 AM",75.3787
"2010-07-21:12 AM",72.5419
"2010-07-22:12 AM",73.0287
"2010-07-23:12 AM",75.0198
"2010-07-24:12 AM",77.0826
"2010-07-25:12 AM",76.7572
"2010-07-26:12 AM",73.8583
"2010-07-27:12 AM",71.1052
"2010-07-28:12 AM",70.5862
"2010-07-29:12 AM",71.7211
"2010-07-30:12 AM",72.9743
"2010-07-31:12 AM",71.6016
"2010-08-01:12 AM",70.5673
"2010-08-02:12 AM",71.3584
"2010-08-03:12 AM",73.6074
"2010-08-04:12 AM",73.4499
"2010-08-05:12 AM",71.9082
"2010-08-06:12 AM",71.1939
"2010-08-07:12 AM",70.4226
"2010-08-08:12 AM",68.6239
"2010-08-09:12 AM",68.1933
"2010-08-10:12 AM",68.6055
"2010-08-11:12 AM",67.3367
"2010-08-12:12 AM",69.3149
"2010-08-13:12 AM",71.6167
"2010-08-14:12 AM",71.4889
"2010-08-15:12 AM",72.3211
"2010-08-16:12 AM",75.0166
"2010-08-17:12 AM",75.2682
"2010-08-18:12 AM",73.9407
"2010-08-19:12 AM",74.3169
"2010-08-20:12 AM",73.8932
"2010-08-21:12 AM",71.5374
"2010-08-22:12 AM",70.1305
"2010-08-23:12 AM",74.7903
"2010-08-24:12 AM",80.5984
"2010-08-25:12 AM",81.9495
"2010-08-26:12 AM",78.991
"2010-08-27:12 AM",73.7094
"2010-08-28:12 AM",63.4217
"2010-08-29:12 AM",60.048
"2010-08-30:12 AM",60.6034
"2010-08-31:12 AM",65.8872
"2010-09-01:12 AM",71.9922
"2010-09-02:12 AM",76.343
"2010-09-03:12 AM",76.3061
"2010-09-04:12 AM",75.5092
"2010-09-05:12 AM",72.1596
"2010-09-06:12 AM",71.4605
"2010-09-07:12 AM",68.2797
"2010-09-08:12 AM",61.7446
"2010-09-09:12 AM",59.5285
"2010-09-10:12 AM",63.4383
