"DateTime","(deg F) Mean Temperature (CFSR) at Colorado, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",21.6736
"2010-01-02:12 AM",24.9217
"2010-01-03:12 AM",22.6881
"2010-01-04:12 AM",19.6948
"2010-01-05:12 AM",24.1542
"2010-01-06:12 AM",24.9679
"2010-01-07:12 AM",11.5952
"2010-01-08:12 AM",9.5891
"2010-01-09:12 AM",18.2563
"2010-01-10:12 AM",22.6501
"2010-01-11:12 AM",25.3666
"2010-01-12:12 AM",28.8777
"2010-01-13:12 AM",29.367
"2010-01-14:12 AM",28.9945
"2010-01-15:12 AM",26.8768
"2010-01-16:12 AM",28.2457
"2010-01-17:12 AM",32.0515
"2010-01-18:12 AM",30.5409
"2010-01-19:12 AM",29.9716
"2010-01-20:12 AM",27.208
"2010-01-21:12 AM",27.1378
"2010-01-22:12 AM",34.3638
"2010-01-23:12 AM",27.2822
"2010-01-24:12 AM",22.7034
"2010-01-25:12 AM",21.5811
"2010-01-26:12 AM",23.7754
"2010-01-27:12 AM",27.3898
"2010-01-28:12 AM",26.0913
"2010-01-29:12 AM",23.4995
"2010-01-30:12 AM",26.0181
"2010-01-31:12 AM",27.0237
"2010-02-01:12 AM",25.3315
"2010-02-02:12 AM",24.1428
"2010-02-03:12 AM",27.3526
"2010-02-04:12 AM",28.1457
"2010-02-05:12 AM",27.4523
"2010-02-06:12 AM",28.2468
"2010-02-07:12 AM",26.6056
"2010-02-08:12 AM",21.7791
"2010-02-09:12 AM",17.4783
"2010-02-10:12 AM",21.718
"2010-02-11:12 AM",24.0611
"2010-02-12:12 AM",26.1657
"2010-02-13:12 AM",29.0251
"2010-02-14:12 AM",22.7313
"2010-02-15:12 AM",19.6468
"2010-02-16:12 AM",23.0963
"2010-02-17:12 AM",26.9332
"2010-02-18:12 AM",29.0658
"2010-02-19:12 AM",26.0958
"2010-02-20:12 AM",26.0029
"2010-02-21:12 AM",22.6557
"2010-02-22:12 AM",18.3733
"2010-02-23:12 AM",18.9541
"2010-02-24:12 AM",25.848
