"DateTime","(deg F) Mean Temperature (CFSR) at District of Columbia, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",32.4793
"2010-01-02:12 AM",23.8793
"2010-01-03:12 AM",18.4253
"2010-01-04:12 AM",24.089
"2010-01-05:12 AM",26.82
"2010-01-06:12 AM",29.165
"2010-01-07:12 AM",28.2461
"2010-01-08:12 AM",27.4586
"2010-01-09:12 AM",26.2656
"2010-01-10:12 AM",22.2562
"2010-01-11:12 AM",24.4814
"2010-01-12:12 AM",27.8704
"2010-01-13:12 AM",28.9346
"2010-01-14:12 AM",32.3019
"2010-01-15:12 AM",38.0755
"2010-01-16:12 AM",39.9029
"2010-01-17:12 AM",40.4321
"2010-01-18:12 AM",41.3087
"2010-01-19:12 AM",41.7524
"2010-01-20:12 AM",37.7829
"2010-01-21:12 AM",33.8004
"2010-01-22:12 AM",34.8692
"2010-01-23:12 AM",35.1541
"2010-01-24:12 AM",40.4636
"2010-01-25:12 AM",55.3784
"2010-01-26:12 AM",38.9579
"2010-01-27:12 AM",32.8397
"2010-01-28:12 AM",34.8894
"2010-01-29:12 AM",21.5627
"2010-01-30:12 AM",18.9869
"2010-01-31:12 AM",22.5014
"2010-02-01:12 AM",26.5653
"2010-02-02:12 AM",31.7813
"2010-02-03:12 AM",33.9291
"2010-02-04:12 AM",31.0788
"2010-02-05:12 AM",32.112
"2010-02-06:12 AM",28.2168
"2010-02-07:12 AM",24.886
"2010-02-08:12 AM",25.84
"2010-02-09:12 AM",28.9292
"2010-02-10:12 AM",27.0194
"2010-02-11:12 AM",30.4254
"2010-02-12:12 AM",29.1587
"2010-02-13:12 AM",29.1942
"2010-02-14:12 AM",29.6344
"2010-02-15:12 AM",31.5833
"2010-02-16:12 AM",28.5615
"2010-02-17:12 AM",29.5538
"2010-02-18:12 AM",33.9485
"2010-02-19:12 AM",34.7117
"2010-02-20:12 AM",34.1335
"2010-02-21:12 AM",37.2542
"2010-02-22:12 AM",38.0745
"2010-02-23:12 AM",37.2682
"2010-02-24:12 AM",36.5193
"2010-02-25:12 AM",35.1694
"2010-02-26:12 AM",30.114
"2010-02-27:12 AM",34.1312
"2010-02-28:12 AM",36.0374
"2010-03-01:12 AM",38.5461
"2010-03-02:12 AM",38.0998
"2010-03-03:12 AM",37.9733
"2010-03-04:12 AM",37.7006
"2010-03-05:12 AM",38.3279
"2010-03-06:12 AM",38.3482
"2010-03-07:12 AM",39.9088
"2010-03-08:12 AM",41.5873
"2010-03-09:12 AM",45.3155
"2010-03-10:12 AM",49.2985
"2010-03-11:12 AM",54.7916
"2010-03-12:12 AM",50.1008
"2010-03-13:12 AM",50.6201
"2010-03-14:12 AM",47.0314
"2010-03-15:12 AM",44.947
"2010-03-16:12 AM",47.4831
"2010-03-17:12 AM",47.8405
"2010-03-18:12 AM",50.5692
"2010-03-19:12 AM",52.002
"2010-03-20:12 AM",56.7005
"2010-03-21:12 AM",58.919
"2010-03-22:12 AM",57.9551
"2010-03-23:12 AM",46.3069
"2010-03-24:12 AM",50.4144
"2010-03-25:12 AM",55.2906
"2010-03-26:12 AM",43.9682
"2010-03-27:12 AM",36.0545
"2010-03-28:12 AM",44.5766
"2010-03-29:12 AM",52.0916
"2010-03-30:12 AM",44.7989
"2010-03-31:12 AM",50.5004
"2010-04-01:12 AM",57.7355
"2010-04-02:12 AM",58.6283
"2010-04-03:12 AM",56.6469
"2010-04-04:12 AM",60.5921
"2010-04-05:12 AM",64.1408
"2010-04-06:12 AM",72.5301
"2010-04-07:12 AM",73.4342
"2010-04-08:12 AM",70.749
"2010-04-09:12 AM",49.7781
"2010-04-10:12 AM",46.8446
"2010-04-11:12 AM",56.9174
"2010-04-12:12 AM",57.8516
"2010-04-13:12 AM",47.8481
"2010-04-14:12 AM",46.9594
"2010-04-15:12 AM",55.8302
"2010-04-16:12 AM",68.04
"2010-04-17:12 AM",54.819
"2010-04-18:12 AM",45.8469
"2010-04-19:12 AM",49.5397
"2010-04-20:12 AM",56.9867
"2010-04-21:12 AM",54.3573
"2010-04-22:12 AM",56.4804
"2010-04-23:12 AM",59.7587
"2010-04-24:12 AM",53.1162
"2010-04-25:12 AM",62.397
"2010-04-26:12 AM",55.6466
"2010-04-27:12 AM",53.0173
"2010-04-28:12 AM",47.4413
"2010-04-29:12 AM",50.4847
"2010-04-30:12 AM",62.8619
"2010-05-01:12 AM",73.9751
"2010-05-02:12 AM",79.6527
"2010-05-03:12 AM",75.9767
"2010-05-04:12 AM",71.0533
"2010-05-05:12 AM",68.94
"2010-05-06:12 AM",70.6527
"2010-05-07:12 AM",64.6754
"2010-05-08:12 AM",67.7817
"2010-05-09:12 AM",52.2068
"2010-05-10:12 AM",47.3608
"2010-05-11:12 AM",48.8998
"2010-05-12:12 AM",66.6149
"2010-05-13:12 AM",54.6512
"2010-05-14:12 AM",71.4092
"2010-05-15:12 AM",67.5068
"2010-05-16:12 AM",63.9765
"2010-05-17:12 AM",55.3955
"2010-05-18:12 AM",52.2001
"2010-05-19:12 AM",54.7304
"2010-05-20:12 AM",63.5499
"2010-05-21:12 AM",71.1153
"2010-05-22:12 AM",67.5163
"2010-05-23:12 AM",65.8873
"2010-05-24:12 AM",66.4075
"2010-05-25:12 AM",68.6197
"2010-05-26:12 AM",71.5343
"2010-05-27:12 AM",78.8612
"2010-05-28:12 AM",66.0056
"2010-05-29:12 AM",70.7162
"2010-05-30:12 AM",74.2721
"2010-05-31:12 AM",78.467
"2010-06-01:12 AM",75.8147
"2010-06-02:12 AM",77.005
"2010-06-03:12 AM",79.6154
"2010-06-04:12 AM",80.4691
"2010-06-05:12 AM",81.8339
"2010-06-06:12 AM",80.258
"2010-06-07:12 AM",64.8909
"2010-06-08:12 AM",64.4216
"2010-06-09:12 AM",66.8259
"2010-06-10:12 AM",75.5339
"2010-06-11:12 AM",73.7578
"2010-06-12:12 AM",79.6078
"2010-06-13:12 AM",79.2023
"2010-06-14:12 AM",77.6327
"2010-06-15:12 AM",74.1299
"2010-06-16:12 AM",73.8594
"2010-06-17:12 AM",75.7522
"2010-06-18:12 AM",71.2337
"2010-06-19:12 AM",77.4869
"2010-06-20:12 AM",80.8444
"2010-06-21:12 AM",78.7825
"2010-06-22:12 AM",81.2251
"2010-06-23:12 AM",82.9243
"2010-06-24:12 AM",84.7261
"2010-06-25:12 AM",79.3584
"2010-06-26:12 AM",77.576
"2010-06-27:12 AM",82.9733
"2010-06-28:12 AM",85.6679
"2010-06-29:12 AM",80.3795
"2010-06-30:12 AM",71.9159
"2010-07-01:12 AM",67.7232
"2010-07-02:12 AM",67.6013
"2010-07-03:12 AM",71.8349
"2010-07-04:12 AM",76.8078
"2010-07-05:12 AM",82.0818
"2010-07-06:12 AM",85.0766
"2010-07-07:12 AM",85.8695
"2010-07-08:12 AM",84.5312
"2010-07-09:12 AM",81.1724
"2010-07-10:12 AM",75.7656
