"DateTime","(deg F) Mean Temperature (CFSR) at Florida, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",59.1436
"2010-01-02:12 AM",46.7987
"2010-01-03:12 AM",41.3483
"2010-01-04:12 AM",40.7194
"2010-01-05:12 AM",39.9166
"2010-01-06:12 AM",38.4602
"2010-01-07:12 AM",42.1587
"2010-01-08:12 AM",45.7734
"2010-01-09:12 AM",37.3602
"2010-01-10:12 AM",34.4255
"2010-01-11:12 AM",36.9295
"2010-01-12:12 AM",42.7762
"2010-01-13:12 AM",43.8737
"2010-01-14:12 AM",50.4322
"2010-01-15:12 AM",58.8312
"2010-01-16:12 AM",65.7181
"2010-01-17:12 AM",64.9526
"2010-01-18:12 AM",56.4751
"2010-01-19:12 AM",54.9093
"2010-01-20:12 AM",58.5444
"2010-01-21:12 AM",66.9679
"2010-01-22:12 AM",66.3492
"2010-01-23:12 AM",63.0754
"2010-01-24:12 AM",68.4966
"2010-01-25:12 AM",63.1429
"2010-01-26:12 AM",54.6489
"2010-01-27:12 AM",52.2936
"2010-01-28:12 AM",55.1449
"2010-01-29:12 AM",60.7055
"2010-01-30:12 AM",64.2061
"2010-01-31:12 AM",53.2492
"2010-02-01:12 AM",55.346
"2010-02-02:12 AM",61.6023
"2010-02-03:12 AM",55.8468
"2010-02-04:12 AM",59.6926
"2010-02-05:12 AM",66.1339
"2010-02-06:12 AM",57.6993
"2010-02-07:12 AM",48.9724
"2010-02-08:12 AM",49.7361
"2010-02-09:12 AM",58.1063
"2010-02-10:12 AM",48.5944
"2010-02-11:12 AM",44.4339
"2010-02-12:12 AM",49.1851
"2010-02-13:12 AM",45.8814
"2010-02-14:12 AM",45.1742
"2010-02-15:12 AM",51.1997
"2010-02-16:12 AM",47.5669
"2010-02-17:12 AM",45.8863
"2010-02-18:12 AM",47.043
"2010-02-19:12 AM",50.1366
"2010-02-20:12 AM",55.2616
"2010-02-21:12 AM",59.3361
"2010-02-22:12 AM",64.2538
"2010-02-23:12 AM",62.5129
"2010-02-24:12 AM",57.079
"2010-02-25:12 AM",46.3824
"2010-02-26:12 AM",45.6258
"2010-02-27:12 AM",47.4688
"2010-02-28:12 AM",50.1879
"2010-03-01:12 AM",52.3315
"2010-03-02:12 AM",57.3323
"2010-03-03:12 AM",49.9543
"2010-03-04:12 AM",46.978
"2010-03-05:12 AM",47.6195
"2010-03-06:12 AM",50.1804
"2010-03-07:12 AM",52.4142
"2010-03-08:12 AM",56.2307
"2010-03-09:12 AM",58.33
"2010-03-10:12 AM",63.7147
"2010-03-11:12 AM",66.7193
"2010-03-12:12 AM",65.4373
"2010-03-13:12 AM",61.5103
"2010-03-14:12 AM",58.8778
"2010-03-15:12 AM",58.8335
"2010-03-16:12 AM",56.3029
"2010-03-17:12 AM",56.494
"2010-03-18:12 AM",56.8247
"2010-03-19:12 AM",57.9562
"2010-03-20:12 AM",60.1758
"2010-03-21:12 AM",63.2867
"2010-03-22:12 AM",57.4185
"2010-03-23:12 AM",57.9915
"2010-03-24:12 AM",60.4159
"2010-03-25:12 AM",65.2581
"2010-03-26:12 AM",66.3528
"2010-03-27:12 AM",62.8763
"2010-03-28:12 AM",67.4249
"2010-03-29:12 AM",62.587
"2010-03-30:12 AM",59.133
"2010-03-31:12 AM",60.8679
"2010-04-01:12 AM",63.1137
"2010-04-02:12 AM",65.2303
"2010-04-03:12 AM",67.1751
"2010-04-04:12 AM",68.1647
"2010-04-05:12 AM",68.6358
"2010-04-06:12 AM",68.7511
"2010-04-07:12 AM",69.4497
"2010-04-08:12 AM",71.0046
"2010-04-09:12 AM",68.9167
"2010-04-10:12 AM",66.8176
"2010-04-11:12 AM",68.5375
"2010-04-12:12 AM",67.4285
"2010-04-13:12 AM",68.5908
"2010-04-14:12 AM",70.0684
"2010-04-15:12 AM",68.8676
"2010-04-16:12 AM",67.8749
"2010-04-17:12 AM",69.015
"2010-04-18:12 AM",68.95
"2010-04-19:12 AM",67.7775
"2010-04-20:12 AM",67.9449
"2010-04-21:12 AM",69.3077
"2010-04-22:12 AM",70.1085
"2010-04-23:12 AM",71.3298
"2010-04-24:12 AM",74.1486
"2010-04-25:12 AM",75.9546
"2010-04-26:12 AM",74.2453
"2010-04-27:12 AM",69.9246
"2010-04-28:12 AM",66.5841
"2010-04-29:12 AM",67.5019
"2010-04-30:12 AM",72.0117
"2010-05-01:12 AM",78.1587
"2010-05-02:12 AM",79.8089
"2010-05-03:12 AM",79.3006
"2010-05-04:12 AM",78.1297
"2010-05-05:12 AM",77.205
"2010-05-06:12 AM",78.1302
"2010-05-07:12 AM",77.7652
