"DateTime","(deg F) Mean Temperature (CFSR) at Idaho, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",29.2338
"2010-01-02:12 AM",30.3804
"2010-01-03:12 AM",25.4426
"2010-01-04:12 AM",26.3161
"2010-01-05:12 AM",29.6865
"2010-01-06:12 AM",26.9067
"2010-01-07:12 AM",14.8201
"2010-01-08:12 AM",17.0253
"2010-01-09:12 AM",21.6846
"2010-01-10:12 AM",24.8999
"2010-01-11:12 AM",28.5294
"2010-01-12:12 AM",30.8203
"2010-01-13:12 AM",32.0272
"2010-01-14:12 AM",30.6417
"2010-01-15:12 AM",28.8045
"2010-01-16:12 AM",30.3451
"2010-01-17:12 AM",29.3162
"2010-01-18:12 AM",31.5059
"2010-01-19:12 AM",32.2434
"2010-01-20:12 AM",29.2134
"2010-01-21:12 AM",30.0893
"2010-01-22:12 AM",28.3858
"2010-01-23:12 AM",27.0824
"2010-01-24:12 AM",25.1263
"2010-01-25:12 AM",27.2772
"2010-01-26:12 AM",28.9062
"2010-01-27:12 AM",29.0995
"2010-01-28:12 AM",26.5098
"2010-01-29:12 AM",26.6333
"2010-01-30:12 AM",26.0434
"2010-01-31:12 AM",27.4435
"2010-02-01:12 AM",27.3286
"2010-02-02:12 AM",27.37
"2010-02-03:12 AM",27.7581
"2010-02-04:12 AM",28.7445
"2010-02-05:12 AM",30.5987
"2010-02-06:12 AM",29.8267
"2010-02-07:12 AM",27.505
"2010-02-08:12 AM",26.7379
"2010-02-09:12 AM",25.9857
"2010-02-10:12 AM",23.7393
"2010-02-11:12 AM",27.801
"2010-02-12:12 AM",31.8357
"2010-02-13:12 AM",31.8634
"2010-02-14:12 AM",30.9736
"2010-02-15:12 AM",33.2487
"2010-02-16:12 AM",31.2244
"2010-02-17:12 AM",31.7293
"2010-02-18:12 AM",28.1696
"2010-02-19:12 AM",25.2898
"2010-02-20:12 AM",22.032
"2010-02-21:12 AM",19.9251
"2010-02-22:12 AM",20.7718
"2010-02-23:12 AM",25.2727
"2010-02-24:12 AM",28.445
"2010-02-25:12 AM",30.6797
"2010-02-26:12 AM",29.7225
"2010-02-27:12 AM",33.5966
"2010-02-28:12 AM",32.7072
"2010-03-01:12 AM",33.9699
"2010-03-02:12 AM",35.2332
"2010-03-03:12 AM",36.1837
"2010-03-04:12 AM",33.8421
"2010-03-05:12 AM",34.2514
"2010-03-06:12 AM",34.351
"2010-03-07:12 AM",35.128
"2010-03-08:12 AM",34.5497
"2010-03-09:12 AM",29.1589
"2010-03-10:12 AM",25.327
"2010-03-11:12 AM",27.3027
"2010-03-12:12 AM",32.9373
"2010-03-13:12 AM",30.8507
"2010-03-14:12 AM",30.1795
"2010-03-15:12 AM",34.2981
"2010-03-16:12 AM",39.1114
"2010-03-17:12 AM",40.096
"2010-03-18:12 AM",34.4842
"2010-03-19:12 AM",31.282
"2010-03-20:12 AM",32.8734
"2010-03-21:12 AM",36.6418
"2010-03-22:12 AM",35.1169
"2010-03-23:12 AM",32.7526
"2010-03-24:12 AM",34.606
"2010-03-25:12 AM",34.7999
"2010-03-26:12 AM",31.7703
"2010-03-27:12 AM",32.2376
"2010-03-28:12 AM",35.8237
"2010-03-29:12 AM",40.3605
"2010-03-30:12 AM",35.7805
"2010-03-31:12 AM",29.6157
"2010-04-01:12 AM",27.9691
"2010-04-02:12 AM",26.6464
"2010-04-03:12 AM",27.8722
"2010-04-04:12 AM",28.1885
"2010-04-05:12 AM",30.6374
