"DateTime","(deg F) Mean Temperature (CFSR) at Indiana, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",17.4985
"2010-01-02:12 AM",13.6495
"2010-01-03:12 AM",11.4042
"2010-01-04:12 AM",15.116
"2010-01-05:12 AM",16.5092
"2010-01-06:12 AM",18.102
"2010-01-07:12 AM",19.5642
"2010-01-08:12 AM",19.5156
"2010-01-09:12 AM",17.6481
"2010-01-10:12 AM",11.8958
"2010-01-11:12 AM",20.6902
"2010-01-12:12 AM",23.1796
"2010-01-13:12 AM",23.9815
"2010-01-14:12 AM",30.9245
"2010-01-15:12 AM",35.7121
"2010-01-16:12 AM",33.6751
"2010-01-17:12 AM",34.2329
"2010-01-18:12 AM",30.7783
"2010-01-19:12 AM",33.2501
"2010-01-20:12 AM",31.2453
"2010-01-21:12 AM",34.3753
"2010-01-22:12 AM",36.0405
"2010-01-23:12 AM",39.4988
"2010-01-24:12 AM",45.684
"2010-01-25:12 AM",32.0815
"2010-01-26:12 AM",23.0344
"2010-01-27:12 AM",23.7416
"2010-01-28:12 AM",20.494
"2010-01-29:12 AM",14.9205
"2010-01-30:12 AM",17.5802
"2010-01-31:12 AM",17.8005
"2010-02-01:12 AM",23.4896
"2010-02-02:12 AM",31.0604
"2010-02-03:12 AM",28.526
"2010-02-04:12 AM",28.8784
"2010-02-05:12 AM",31.9183
"2010-02-06:12 AM",26.53
"2010-02-07:12 AM",21.6012
"2010-02-08:12 AM",20.971
"2010-02-09:12 AM",23.6692
"2010-02-10:12 AM",23.6975
"2010-02-11:12 AM",22.5651
"2010-02-12:12 AM",21.202
"2010-02-13:12 AM",21.1611
"2010-02-14:12 AM",22.6339
"2010-02-15:12 AM",24.6306
"2010-02-16:12 AM",26.6783
"2010-02-17:12 AM",28.6153
"2010-02-18:12 AM",30.5191
"2010-02-19:12 AM",30.6547
"2010-02-20:12 AM",33.9127
"2010-02-21:12 AM",37.6212
"2010-02-22:12 AM",36.4438
"2010-02-23:12 AM",32.1746
"2010-02-24:12 AM",25.8856
"2010-02-25:12 AM",26.2735
"2010-02-26:12 AM",27.0183
"2010-02-27:12 AM",30.0972
"2010-02-28:12 AM",32.8858
"2010-03-01:12 AM",33.3577
"2010-03-02:12 AM",32.8694
"2010-03-03:12 AM",32.4216
