"DateTime","(deg F) Mean Temperature (CFSR) at Kansas, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",24.1707
"2010-01-02:12 AM",15.2548
"2010-01-03:12 AM",19.8799
"2010-01-04:12 AM",19.1737
"2010-01-05:12 AM",21.1575
"2010-01-06:12 AM",24.4393
"2010-01-07:12 AM",12.1608
"2010-01-08:12 AM",8.247
"2010-01-09:12 AM",10.9339
"2010-01-10:12 AM",23.5515
"2010-01-11:12 AM",33.769
"2010-01-12:12 AM",33.2701
"2010-01-13:12 AM",40.0118
"2010-01-14:12 AM",40.9338
"2010-01-15:12 AM",36.896
"2010-01-16:12 AM",37.1095
"2010-01-17:12 AM",40.5297
"2010-01-18:12 AM",39.137
"2010-01-19:12 AM",39.3379
"2010-01-20:12 AM",40.5291
"2010-01-21:12 AM",37.7548
"2010-01-22:12 AM",43.3143
"2010-01-23:12 AM",49.35
"2010-01-24:12 AM",37.6716
"2010-01-25:12 AM",33.2022
"2010-01-26:12 AM",30.7
"2010-01-27:12 AM",35.829
"2010-01-28:12 AM",25.7128
"2010-01-29:12 AM",20.6618
"2010-01-30:12 AM",25.1564
"2010-01-31:12 AM",29.9084
"2010-02-01:12 AM",31.5889
"2010-02-02:12 AM",33.9643
"2010-02-03:12 AM",36.1769
"2010-02-04:12 AM",35.1167
"2010-02-05:12 AM",35.4421
"2010-02-06:12 AM",32.6692
"2010-02-07:12 AM",33.7293
"2010-02-08:12 AM",29.2228
"2010-02-09:12 AM",22.0924
"2010-02-10:12 AM",24.2771
"2010-02-11:12 AM",31.1493
"2010-02-12:12 AM",33.706
"2010-02-13:12 AM",38.8168
"2010-02-14:12 AM",29.6922
"2010-02-15:12 AM",26.3543
"2010-02-16:12 AM",27.196
"2010-02-17:12 AM",30.3813
"2010-02-18:12 AM",38.5761
"2010-02-19:12 AM",37.1251
"2010-02-20:12 AM",32.0491
"2010-02-21:12 AM",30.0133
"2010-02-22:12 AM",27.1297
"2010-02-23:12 AM",27.7738
"2010-02-24:12 AM",28.6234
"2010-02-25:12 AM",31.572
"2010-02-26:12 AM",36.1359
"2010-02-27:12 AM",37.5701
"2010-02-28:12 AM",38.0692
"2010-03-01:12 AM",35.643
"2010-03-02:12 AM",36.045
"2010-03-03:12 AM",38.7104
"2010-03-04:12 AM",42.4139
"2010-03-05:12 AM",47.7932
"2010-03-06:12 AM",52.0522
"2010-03-07:12 AM",46.7442
"2010-03-08:12 AM",49.7901
"2010-03-09:12 AM",50.0459
"2010-03-10:12 AM",44.1194
"2010-03-11:12 AM",41.1337
"2010-03-12:12 AM",41.5085
"2010-03-13:12 AM",43.414
"2010-03-14:12 AM",42.5253
"2010-03-15:12 AM",44.0078
"2010-03-16:12 AM",45.1584
"2010-03-17:12 AM",43.4727
"2010-03-18:12 AM",48.4057
"2010-03-19:12 AM",43.1553
"2010-03-20:12 AM",31.6796
"2010-03-21:12 AM",36.7687
"2010-03-22:12 AM",46.2452
"2010-03-23:12 AM",51.847
"2010-03-24:12 AM",45.5851
"2010-03-25:12 AM",45.7813
"2010-03-26:12 AM",49.0984
"2010-03-27:12 AM",46.4583
"2010-03-28:12 AM",47.3448
"2010-03-29:12 AM",53.9434
"2010-03-30:12 AM",63.736
"2010-03-31:12 AM",70.7175
"2010-04-01:12 AM",71.0854
"2010-04-02:12 AM",60.5012
"2010-04-03:12 AM",52.2977
"2010-04-04:12 AM",59.8714
"2010-04-05:12 AM",65.1929
"2010-04-06:12 AM",69.2397
"2010-04-07:12 AM",48.6556
"2010-04-08:12 AM",49.1373
"2010-04-09:12 AM",56.7417
"2010-04-10:12 AM",61.2428
"2010-04-11:12 AM",61.5333
"2010-04-12:12 AM",67.4863
"2010-04-13:12 AM",67.1383
"2010-04-14:12 AM",67.3815
"2010-04-15:12 AM",67.2091
"2010-04-16:12 AM",57.0479
"2010-04-17:12 AM",51.6547
"2010-04-18:12 AM",52.0338
"2010-04-19:12 AM",53.8228
"2010-04-20:12 AM",56.8324
"2010-04-21:12 AM",59.5621
"2010-04-22:12 AM",59.551
"2010-04-23:12 AM",62.6968
"2010-04-24:12 AM",55.8253
"2010-04-25:12 AM",57.7089
"2010-04-26:12 AM",52.5663
"2010-04-27:12 AM",52.5043
"2010-04-28:12 AM",63.0684
"2010-04-29:12 AM",71.6628
"2010-04-30:12 AM",61.7765
"2010-05-01:12 AM",55.6878
"2010-05-02:12 AM",58.9399
"2010-05-03:12 AM",60.2103
"2010-05-04:12 AM",68.8127
"2010-05-05:12 AM",64.1305
"2010-05-06:12 AM",65.7221
"2010-05-07:12 AM",57.5521
"2010-05-08:12 AM",50.6516
"2010-05-09:12 AM",57.3552
"2010-05-10:12 AM",56.9556
"2010-05-11:12 AM",59.0108
"2010-05-12:12 AM",57.2304
"2010-05-13:12 AM",54.5403
"2010-05-14:12 AM",56.2996
"2010-05-15:12 AM",58.4568
"2010-05-16:12 AM",59.5708
"2010-05-17:12 AM",59.8348
"2010-05-18:12 AM",60.9865
"2010-05-19:12 AM",58.3363
"2010-05-20:12 AM",58.0354
"2010-05-21:12 AM",63.7596
"2010-05-22:12 AM",76.0581
"2010-05-23:12 AM",79.2545
"2010-05-24:12 AM",76.6436
"2010-05-25:12 AM",72.4422
"2010-05-26:12 AM",72.5175
"2010-05-27:12 AM",74.5887
"2010-05-28:12 AM",77.2966
"2010-05-29:12 AM",78.1005
"2010-05-30:12 AM",73.4365
"2010-05-31:12 AM",71.7505
"2010-06-01:12 AM",80.8497
"2010-06-02:12 AM",77.5099
"2010-06-03:12 AM",75.9776
"2010-06-04:12 AM",83.2951
"2010-06-05:12 AM",85.5801
"2010-06-06:12 AM",78.8405
"2010-06-07:12 AM",80.1444
"2010-06-08:12 AM",81.6638
"2010-06-09:12 AM",76.9444
"2010-06-10:12 AM",81.849
"2010-06-11:12 AM",85.4913
"2010-06-12:12 AM",79.3927
"2010-06-13:12 AM",74.5466
"2010-06-14:12 AM",70.7686
"2010-06-15:12 AM",72.9786
"2010-06-16:12 AM",78.1797
"2010-06-17:12 AM",84.229
"2010-06-18:12 AM",85.0129
"2010-06-19:12 AM",86.0259
"2010-06-20:12 AM",86.6424
"2010-06-21:12 AM",85.9867
"2010-06-22:12 AM",88.3688
"2010-06-23:12 AM",85.2715
"2010-06-24:12 AM",78.0372
"2010-06-25:12 AM",84.4396
"2010-06-26:12 AM",88.9306
"2010-06-27:12 AM",84.7656
"2010-06-28:12 AM",80.1756
"2010-06-29:12 AM",79.8836
"2010-06-30:12 AM",78.3689
"2010-07-01:12 AM",77.4126
"2010-07-02:12 AM",79.8112
"2010-07-03:12 AM",79.4496
"2010-07-04:12 AM",76.489
"2010-07-05:12 AM",75.747
"2010-07-06:12 AM",77.2322
"2010-07-07:12 AM",75.5483
"2010-07-08:12 AM",72.9601
"2010-07-09:12 AM",74.4226
"2010-07-10:12 AM",78.1158
"2010-07-11:12 AM",81.934
"2010-07-12:12 AM",80.8437
"2010-07-13:12 AM",84.6261
"2010-07-14:12 AM",90.1391
"2010-07-15:12 AM",83.1081
"2010-07-16:12 AM",85.1016
"2010-07-17:12 AM",89.5212
"2010-07-18:12 AM",89.9919
"2010-07-19:12 AM",90.6579
"2010-07-20:12 AM",89.0733
"2010-07-21:12 AM",84.6167
"2010-07-22:12 AM",88.6815
"2010-07-23:12 AM",88.9414
"2010-07-24:12 AM",82.7834
"2010-07-25:12 AM",76.3489
"2010-07-26:12 AM",80.6133
"2010-07-27:12 AM",84.7056
"2010-07-28:12 AM",84.5731
"2010-07-29:12 AM",82.8718
"2010-07-30:12 AM",87.3657
"2010-07-31:12 AM",85.8958
"2010-08-01:12 AM",83.9651
"2010-08-02:12 AM",92.181
"2010-08-03:12 AM",92.7779
"2010-08-04:12 AM",87.1896
"2010-08-05:12 AM",81.1744
"2010-08-06:12 AM",79.81
"2010-08-07:12 AM",83.71
"2010-08-08:12 AM",91.1455
"2010-08-09:12 AM",92.7615
"2010-08-10:12 AM",89.6403
"2010-08-11:12 AM",89.3539
"2010-08-12:12 AM",91.4517
"2010-08-13:12 AM",92.4274
"2010-08-14:12 AM",85.429
"2010-08-15:12 AM",80.3111
"2010-08-16:12 AM",76.2692
"2010-08-17:12 AM",71.3498
"2010-08-18:12 AM",76.9104
"2010-08-19:12 AM",82.706
"2010-08-20:12 AM",86.1291
"2010-08-21:12 AM",84.1995
"2010-08-22:12 AM",82.4826
"2010-08-23:12 AM",84.6187
"2010-08-24:12 AM",73.9938
"2010-08-25:12 AM",69.8221
"2010-08-26:12 AM",71.3435
"2010-08-27:12 AM",74.7691
"2010-08-28:12 AM",79.6167
"2010-08-29:12 AM",83.637
"2010-08-30:12 AM",84.668
"2010-08-31:12 AM",86.7454
"2010-09-01:12 AM",80.5692
"2010-09-02:12 AM",74.9044
"2010-09-03:12 AM",67.1598
"2010-09-04:12 AM",69.7611
"2010-09-05:12 AM",80.1689
"2010-09-06:12 AM",84.3636
"2010-09-07:12 AM",70.644
"2010-09-08:12 AM",72.234
"2010-09-09:12 AM",72.5243
"2010-09-10:12 AM",78.9924
"2010-09-11:12 AM",73.7231
"2010-09-12:12 AM",74.9935
"2010-09-13:12 AM",79.198
"2010-09-14:12 AM",79.8514
"2010-09-15:12 AM",77.5697
"2010-09-16:12 AM",70.3454
"2010-09-17:12 AM",74.118
"2010-09-18:12 AM",76.7817
"2010-09-19:12 AM",72.5052
"2010-09-20:12 AM",80.8246
"2010-09-21:12 AM",80.1518
