"DateTime","(deg F) Mean Temperature (CFSR) at Louisiana, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",43.9432
"2010-01-02:12 AM",39.2567
"2010-01-03:12 AM",37.9089
"2010-01-04:12 AM",35.2652
"2010-01-05:12 AM",31.4911
"2010-01-06:12 AM",36.869
"2010-01-07:12 AM",41.128
"2010-01-08:12 AM",28.0213
"2010-01-09:12 AM",27.7097
"2010-01-10:12 AM",27.4822
"2010-01-11:12 AM",33.2557
"2010-01-12:12 AM",38.9669
"2010-01-13:12 AM",38.7833
"2010-01-14:12 AM",45.6343
"2010-01-15:12 AM",49.5045
"2010-01-16:12 AM",51.5755
"2010-01-17:12 AM",48.7951
"2010-01-18:12 AM",49.8488
"2010-01-19:12 AM",55.6369
"2010-01-20:12 AM",62.011
"2010-01-21:12 AM",62.7955
"2010-01-22:12 AM",54.8893
"2010-01-23:12 AM",59.4714
"2010-01-24:12 AM",57.8343
"2010-01-25:12 AM",48.9731
"2010-01-26:12 AM",48.7828
"2010-01-27:12 AM",50.0824
"2010-01-28:12 AM",54.2871
"2010-01-29:12 AM",53.7811
"2010-01-30:12 AM",39.378
"2010-01-31:12 AM",36.3092
"2010-02-01:12 AM",40.3583
"2010-02-02:12 AM",46.9665
"2010-02-03:12 AM",45.9469
"2010-02-04:12 AM",48.7305
"2010-02-05:12 AM",48.3481
"2010-02-06:12 AM",44.8045
"2010-02-07:12 AM",41.4183
"2010-02-08:12 AM",46.5064
"2010-02-09:12 AM",43.9986
"2010-02-10:12 AM",36.9765
"2010-02-11:12 AM",38.1313
"2010-02-12:12 AM",36.7016
"2010-02-13:12 AM",37.818
"2010-02-14:12 AM",44.505
"2010-02-15:12 AM",38.89
"2010-02-16:12 AM",38.0577
"2010-02-17:12 AM",39.1752
"2010-02-18:12 AM",42.651
"2010-02-19:12 AM",47.1052
"2010-02-20:12 AM",51.4722
"2010-02-21:12 AM",56.4742
"2010-02-22:12 AM",54.9963
"2010-02-23:12 AM",44.0766
"2010-02-24:12 AM",41.653
"2010-02-25:12 AM",40.757
"2010-02-26:12 AM",45.8802
"2010-02-27:12 AM",46.8025
"2010-02-28:12 AM",48.3499
"2010-03-01:12 AM",47.8877
"2010-03-02:12 AM",42.8362
"2010-03-03:12 AM",42.2872
"2010-03-04:12 AM",45.4914
"2010-03-05:12 AM",49.525
"2010-03-06:12 AM",51.0615
"2010-03-07:12 AM",52.7999
"2010-03-08:12 AM",54.7803
"2010-03-09:12 AM",61.2073
"2010-03-10:12 AM",65.3391
"2010-03-11:12 AM",63.8532
"2010-03-12:12 AM",56.9224
"2010-03-13:12 AM",54.1204
"2010-03-14:12 AM",55.7134
"2010-03-15:12 AM",57.2383
"2010-03-16:12 AM",55.171
"2010-03-17:12 AM",54.3765
"2010-03-18:12 AM",53.7116
"2010-03-19:12 AM",56.2545
"2010-03-20:12 AM",57.6937
"2010-03-21:12 AM",41.8091
"2010-03-22:12 AM",47.9968
"2010-03-23:12 AM",56.1985
