"DateTime","(deg F) Mean Temperature (CFSR) at Maine, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",23.52
"2010-01-02:12 AM",21.4173
"2010-01-03:12 AM",30.9186
"2010-01-04:12 AM",30.0092
"2010-01-05:12 AM",27.2395
"2010-01-06:12 AM",25.1654
"2010-01-07:12 AM",24.3534
"2010-01-08:12 AM",21.013
"2010-01-09:12 AM",15.186
"2010-01-10:12 AM",9.7479
"2010-01-11:12 AM",17.3201
"2010-01-12:12 AM",14.3087
"2010-01-13:12 AM",9.574
"2010-01-14:12 AM",12.553
"2010-01-15:12 AM",27.8445
"2010-01-16:12 AM",28.7758
"2010-01-17:12 AM",20.0057
"2010-01-18:12 AM",21.6774
"2010-01-19:12 AM",24.424
"2010-01-20:12 AM",25.9396
"2010-01-21:12 AM",22.635
"2010-01-22:12 AM",19.6662
"2010-01-23:12 AM",16.0012
"2010-01-24:12 AM",19.9074
"2010-01-25:12 AM",36.4105
"2010-01-26:12 AM",35.4078
"2010-01-27:12 AM",30.9236
"2010-01-28:12 AM",27.4017
"2010-01-29:12 AM",10.9582
"2010-01-30:12 AM",6.6205
"2010-01-31:12 AM",9.1467
"2010-02-01:12 AM",13.7518
"2010-02-02:12 AM",7.671
"2010-02-03:12 AM",14.9139
"2010-02-04:12 AM",14.8518
"2010-02-05:12 AM",12.0762
"2010-02-06:12 AM",9.8582
"2010-02-07:12 AM",13.7671
"2010-02-08:12 AM",19.2286
"2010-02-09:12 AM",23.5765
"2010-02-10:12 AM",23.2329
"2010-02-11:12 AM",24.9939
"2010-02-12:12 AM",25.0039
"2010-02-13:12 AM",23.5864
"2010-02-14:12 AM",23.8343
"2010-02-15:12 AM",24.2456
"2010-02-16:12 AM",25.3999
"2010-02-17:12 AM",27.8296
"2010-02-18:12 AM",30.1869
"2010-02-19:12 AM",27.8584
"2010-02-20:12 AM",30.3361
"2010-02-21:12 AM",28.3914
"2010-02-22:12 AM",31.9755
"2010-02-23:12 AM",31.7352
"2010-02-24:12 AM",31.5482
"2010-02-25:12 AM",31.8479
"2010-02-26:12 AM",32.5663
"2010-02-27:12 AM",33.1045
"2010-02-28:12 AM",32.635
"2010-03-01:12 AM",32.0472
"2010-03-02:12 AM",31.5172
"2010-03-03:12 AM",30.1705
"2010-03-04:12 AM",27.7041
"2010-03-05:12 AM",24.7181
"2010-03-06:12 AM",30.0015
"2010-03-07:12 AM",34.0389
"2010-03-08:12 AM",34.8228
"2010-03-09:12 AM",28.2513
"2010-03-10:12 AM",29.0611
"2010-03-11:12 AM",30.4029
"2010-03-12:12 AM",29.9102
"2010-03-13:12 AM",30.567
"2010-03-14:12 AM",32.4631
"2010-03-15:12 AM",34.0246
"2010-03-16:12 AM",35.5872
"2010-03-17:12 AM",38.6114
"2010-03-18:12 AM",40.4186
"2010-03-19:12 AM",38.1009
"2010-03-20:12 AM",43.034
"2010-03-21:12 AM",32.4631
"2010-03-22:12 AM",35.3725
"2010-03-23:12 AM",34.7133
"2010-03-24:12 AM",32.5062
"2010-03-25:12 AM",36.7414
"2010-03-26:12 AM",22.9906
"2010-03-27:12 AM",18.0025
"2010-03-28:12 AM",27.0689
"2010-03-29:12 AM",38.1619
"2010-03-30:12 AM",36.4037
