"DateTime","(deg F) Mean Temperature (CFSR) at Massachusetts, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",30.5983
"2010-01-02:12 AM",27.8118
"2010-01-03:12 AM",18.5112
"2010-01-04:12 AM",22.6733
"2010-01-05:12 AM",22.5352
"2010-01-06:12 AM",23.086
"2010-01-07:12 AM",26.1399
"2010-01-08:12 AM",24.5523
"2010-01-09:12 AM",18.9705
"2010-01-10:12 AM",15.3435
"2010-01-11:12 AM",21.7276
"2010-01-12:12 AM",23.4648
"2010-01-13:12 AM",19.6772
"2010-01-14:12 AM",26.2362
"2010-01-15:12 AM",34.1456
"2010-01-16:12 AM",33.4956
"2010-01-17:12 AM",33.9051
"2010-01-18:12 AM",34.7446
"2010-01-19:12 AM",34.1346
"2010-01-20:12 AM",31.8578
"2010-01-21:12 AM",28.954
"2010-01-22:12 AM",28.479
"2010-01-23:12 AM",25.336
"2010-01-24:12 AM",29.64
"2010-01-25:12 AM",47.3052
"2010-01-26:12 AM",36.9446
"2010-01-27:12 AM",31.5781
"2010-01-28:12 AM",29.552
"2010-01-29:12 AM",13.23
"2010-01-30:12 AM",10.9578
"2010-01-31:12 AM",17.7091
"2010-02-01:12 AM",22.8844
"2010-02-02:12 AM",23.3784
"2010-02-03:12 AM",26.9224
"2010-02-04:12 AM",24.6375
"2010-02-05:12 AM",24.9661
"2010-02-06:12 AM",21.7708
"2010-02-07:12 AM",18.5063
"2010-02-08:12 AM",20.8819
"2010-02-09:12 AM",24.1349
"2010-02-10:12 AM",29.7401
"2010-02-11:12 AM",28.7274
"2010-02-12:12 AM",24.1599
"2010-02-13:12 AM",22.7017
"2010-02-14:12 AM",25.9457
"2010-02-15:12 AM",28.7341
"2010-02-16:12 AM",30.756
"2010-02-17:12 AM",28.9551
"2010-02-18:12 AM",30.7913
"2010-02-19:12 AM",29.3972
"2010-02-20:12 AM",32.7074
"2010-02-21:12 AM",30.126
"2010-02-22:12 AM",30.915
"2010-02-23:12 AM",33.8166
"2010-02-24:12 AM",37.3874
"2010-02-25:12 AM",39.0438
"2010-02-26:12 AM",35.2236
"2010-02-27:12 AM",32.8296
"2010-02-28:12 AM",31.5837
"2010-03-01:12 AM",35.1487
"2010-03-02:12 AM",36.0327
"2010-03-03:12 AM",34.3026
"2010-03-04:12 AM",33.3968
"2010-03-05:12 AM",31.678
"2010-03-06:12 AM",34.0331
"2010-03-07:12 AM",36.2689
"2010-03-08:12 AM",38.9829
"2010-03-09:12 AM",38.5515
"2010-03-10:12 AM",36.4561
"2010-03-11:12 AM",37.6839
"2010-03-12:12 AM",38.2665
"2010-03-13:12 AM",36.952
"2010-03-14:12 AM",41.461
"2010-03-15:12 AM",38.349
"2010-03-16:12 AM",38.8197
"2010-03-17:12 AM",42.0899
"2010-03-18:12 AM",45.6013
"2010-03-19:12 AM",48.0927
"2010-03-20:12 AM",49.3497
"2010-03-21:12 AM",44.1923
"2010-03-22:12 AM",43.4799
"2010-03-23:12 AM",42.9809
"2010-03-24:12 AM",39.3976
"2010-03-25:12 AM",43.6424
"2010-03-26:12 AM",34.0898
"2010-03-27:12 AM",28.1199
"2010-03-28:12 AM",34.1523
"2010-03-29:12 AM",46.5894
"2010-03-30:12 AM",44.3302
"2010-03-31:12 AM",43.3117
"2010-04-01:12 AM",45.8521
"2010-04-02:12 AM",49.5331
"2010-04-03:12 AM",49.6391
"2010-04-04:12 AM",51.6783
"2010-04-05:12 AM",52.1128
"2010-04-06:12 AM",53.7701
"2010-04-07:12 AM",60.7307
"2010-04-08:12 AM",55.1388
"2010-04-09:12 AM",48.7666
"2010-04-10:12 AM",39.7384
"2010-04-11:12 AM",47.9399
"2010-04-12:12 AM",45.8856
"2010-04-13:12 AM",44.0184
"2010-04-14:12 AM",46.4151
"2010-04-15:12 AM",48.3499
"2010-04-16:12 AM",42.4582
"2010-04-17:12 AM",40.9131
"2010-04-18:12 AM",41.7051
"2010-04-19:12 AM",46.2159
"2010-04-20:12 AM",51.7235
"2010-04-21:12 AM",53.7829
"2010-04-22:12 AM",52.8629
"2010-04-23:12 AM",49.0602
"2010-04-24:12 AM",51.0883
"2010-04-25:12 AM",50.1202
"2010-04-26:12 AM",49.0993
"2010-04-27:12 AM",45.8269
"2010-04-28:12 AM",40.7656
"2010-04-29:12 AM",47.1715
"2010-04-30:12 AM",55.3838
"2010-05-01:12 AM",62.6439
"2010-05-02:12 AM",65.6137
"2010-05-03:12 AM",68.077
"2010-05-04:12 AM",62.7474
"2010-05-05:12 AM",61.4298
"2010-05-06:12 AM",61.4701
"2010-05-07:12 AM",55.1338
"2010-05-08:12 AM",54.628
