"DateTime","(deg F) Mean Temperature (CFSR) at Michigan, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",18.8625
"2010-01-02:12 AM",10.5773
"2010-01-03:12 AM",14.7558
"2010-01-04:12 AM",19.8446
"2010-01-05:12 AM",21.8435
"2010-01-06:12 AM",23.2227
"2010-01-07:12 AM",22.1095
"2010-01-08:12 AM",17.994
"2010-01-09:12 AM",16.9885
"2010-01-10:12 AM",19.1424
"2010-01-11:12 AM",22.1761
"2010-01-12:12 AM",21.8676
"2010-01-13:12 AM",27.4564
"2010-01-14:12 AM",32.5864
"2010-01-15:12 AM",31.0971
"2010-01-16:12 AM",29.178
"2010-01-17:12 AM",30.135
"2010-01-18:12 AM",31.6348
"2010-01-19:12 AM",27.8362
"2010-01-20:12 AM",23.6152
"2010-01-21:12 AM",26.1559
"2010-01-22:12 AM",28.317
"2010-01-23:12 AM",32.2174
"2010-01-24:12 AM",37.2708
"2010-01-25:12 AM",33.064
"2010-01-26:12 AM",24.7978
"2010-01-27:12 AM",17.7604
"2010-01-28:12 AM",11.7388
"2010-01-29:12 AM",11.9876
"2010-01-30:12 AM",14.8253
"2010-01-31:12 AM",17.9303
"2010-02-01:12 AM",18.0032
"2010-02-02:12 AM",21.6833
"2010-02-03:12 AM",23.2138
"2010-02-04:12 AM",24.1003
"2010-02-05:12 AM",26.8887
"2010-02-06:12 AM",21.0373
"2010-02-07:12 AM",20.9248
"2010-02-08:12 AM",21.3728
"2010-02-09:12 AM",22.3372
"2010-02-10:12 AM",21.6059
"2010-02-11:12 AM",22.6033
"2010-02-12:12 AM",23.0137
"2010-02-13:12 AM",23.6453
"2010-02-14:12 AM",24.1693
"2010-02-15:12 AM",24.0289
"2010-02-16:12 AM",25.9704
"2010-02-17:12 AM",28.4898
"2010-02-18:12 AM",28.8687
"2010-02-19:12 AM",27.766
"2010-02-20:12 AM",26.6644
"2010-02-21:12 AM",29.5228
"2010-02-22:12 AM",28.1952
"2010-02-23:12 AM",27.2579
"2010-02-24:12 AM",24.2724
"2010-02-25:12 AM",20.8828
"2010-02-26:12 AM",24.0163
"2010-02-27:12 AM",27.9795
"2010-02-28:12 AM",28.909
"2010-03-01:12 AM",27.5063
"2010-03-02:12 AM",26.809
"2010-03-03:12 AM",27.6175
"2010-03-04:12 AM",26.8333
"2010-03-05:12 AM",28.18
"2010-03-06:12 AM",30.3647
"2010-03-07:12 AM",31.5748
"2010-03-08:12 AM",33.5865
"2010-03-09:12 AM",35.8216
"2010-03-10:12 AM",38.5461
"2010-03-11:12 AM",42.7485
"2010-03-12:12 AM",43.023
"2010-03-13:12 AM",41.1127
"2010-03-14:12 AM",38.8602
"2010-03-15:12 AM",38.7405
"2010-03-16:12 AM",37.4958
"2010-03-17:12 AM",39.4264
"2010-03-18:12 AM",41.9193
"2010-03-19:12 AM",40.2703
"2010-03-20:12 AM",30.1579
"2010-03-21:12 AM",32.5722
"2010-03-22:12 AM",34.8973
"2010-03-23:12 AM",35.1882
"2010-03-24:12 AM",37.4297
"2010-03-25:12 AM",29.1018
"2010-03-26:12 AM",24.6245
"2010-03-27:12 AM",34.1217
"2010-03-28:12 AM",35.3509
"2010-03-29:12 AM",34.3758
"2010-03-30:12 AM",38.2269
"2010-03-31:12 AM",47.6674
"2010-04-01:12 AM",51.512
"2010-04-02:12 AM",55.78
"2010-04-03:12 AM",49.2264
"2010-04-04:12 AM",45.9694
"2010-04-05:12 AM",47.142
"2010-04-06:12 AM",46.427
"2010-04-07:12 AM",42.6895
"2010-04-08:12 AM",35.6292
"2010-04-09:12 AM",33.9003
"2010-04-10:12 AM",40.2847
"2010-04-11:12 AM",43.8366
"2010-04-12:12 AM",43.0065
"2010-04-13:12 AM",42.4724
"2010-04-14:12 AM",46.5404
"2010-04-15:12 AM",55.5409
"2010-04-16:12 AM",46.0647
"2010-04-17:12 AM",37.4974
"2010-04-18:12 AM",38.3896
"2010-04-19:12 AM",41.2995
"2010-04-20:12 AM",43.1973
"2010-04-21:12 AM",40.0192
"2010-04-22:12 AM",38.9143
"2010-04-23:12 AM",44.6034
"2010-04-24:12 AM",46.3044
"2010-04-25:12 AM",44.8147
"2010-04-26:12 AM",42.3761
"2010-04-27:12 AM",38.4024
"2010-04-28:12 AM",41.4957
"2010-04-29:12 AM",46.3654
"2010-04-30:12 AM",54.9649
"2010-05-01:12 AM",57.7758
"2010-05-02:12 AM",53.0877
"2010-05-03:12 AM",50.8867
"2010-05-04:12 AM",49.9908
"2010-05-05:12 AM",51.8844
"2010-05-06:12 AM",43.4712
"2010-05-07:12 AM",40.5426
"2010-05-08:12 AM",37.5948
"2010-05-09:12 AM",38.8483
"2010-05-10:12 AM",41.7956
"2010-05-11:12 AM",41.391
"2010-05-12:12 AM",43.9624
"2010-05-13:12 AM",45.5414
"2010-05-14:12 AM",48.175
"2010-05-15:12 AM",47.9563
"2010-05-16:12 AM",50.6934
"2010-05-17:12 AM",52.1753
"2010-05-18:12 AM",54.0016
"2010-05-19:12 AM",56.8796
"2010-05-20:12 AM",58.921
"2010-05-21:12 AM",56.9511
"2010-05-22:12 AM",56.464
"2010-05-23:12 AM",62.667
"2010-05-24:12 AM",66.5494
"2010-05-25:12 AM",66.6925
"2010-05-26:12 AM",64.8046
"2010-05-27:12 AM",61.6028
"2010-05-28:12 AM",59.409
"2010-05-29:12 AM",62.5476
"2010-05-30:12 AM",65.8828
"2010-05-31:12 AM",63.2388
"2010-06-01:12 AM",61.3643
"2010-06-02:12 AM",58.5192
"2010-06-03:12 AM",57.0389
"2010-06-04:12 AM",56.9806
"2010-06-05:12 AM",58.8596
"2010-06-06:12 AM",53.0944
"2010-06-07:12 AM",52.5034
"2010-06-08:12 AM",54.2869
"2010-06-09:12 AM",58.7611
"2010-06-10:12 AM",57.537
"2010-06-11:12 AM",60.2737
"2010-06-12:12 AM",61.0144
"2010-06-13:12 AM",58.8256
"2010-06-14:12 AM",59.5999
"2010-06-15:12 AM",59.7373
"2010-06-16:12 AM",59.662
"2010-06-17:12 AM",61.5517
"2010-06-18:12 AM",68.1186
"2010-06-19:12 AM",67.0253
"2010-06-20:12 AM",62.8592
"2010-06-21:12 AM",65.0376
"2010-06-22:12 AM",66.5069
"2010-06-23:12 AM",67.9428
"2010-06-24:12 AM",63.6357
"2010-06-25:12 AM",62.614
"2010-06-26:12 AM",64.2025
"2010-06-27:12 AM",64.8378
"2010-06-28:12 AM",63.0289
"2010-06-29:12 AM",56.6532
"2010-06-30:12 AM",57.2319
"2010-07-01:12 AM",58.9694
"2010-07-02:12 AM",65.4373
"2010-07-03:12 AM",68.9409
"2010-07-04:12 AM",72.1074
"2010-07-05:12 AM",72.3517
"2010-07-06:12 AM",72.2334
"2010-07-07:12 AM",72.4123
"2010-07-08:12 AM",71.3664
"2010-07-09:12 AM",69.8043
"2010-07-10:12 AM",70.0045
"2010-07-11:12 AM",71.0071
"2010-07-12:12 AM",67.3891
"2010-07-13:12 AM",67.3761
"2010-07-14:12 AM",71.1603
"2010-07-15:12 AM",73.4531
"2010-07-16:12 AM",72.4051
"2010-07-17:12 AM",71.038
"2010-07-18:12 AM",68.409
"2010-07-19:12 AM",67.6753
"2010-07-20:12 AM",69.0337
"2010-07-21:12 AM",70.2109
"2010-07-22:12 AM",68.1759
"2010-07-23:12 AM",72.205
"2010-07-24:12 AM",69.28
"2010-07-25:12 AM",68.5276
"2010-07-26:12 AM",70.4435
"2010-07-27:12 AM",72.3303
"2010-07-28:12 AM",72.2109
"2010-07-29:12 AM",67.2683
"2010-07-30:12 AM",66.945
"2010-07-31:12 AM",67.7255
"2010-08-01:12 AM",70.2682
"2010-08-02:12 AM",71.5248
"2010-08-03:12 AM",74.6274
"2010-08-04:12 AM",74.3508
"2010-08-05:12 AM",70.4296
"2010-08-06:12 AM",65.7279
"2010-08-07:12 AM",65.9143
"2010-08-08:12 AM",72.09
"2010-08-09:12 AM",73.6997
"2010-08-10:12 AM",73.8487
"2010-08-11:12 AM",74.6321
"2010-08-12:12 AM",74.2552
"2010-08-13:12 AM",75.6379
"2010-08-14:12 AM",75.3528
"2010-08-15:12 AM",71.9721
"2010-08-16:12 AM",66.7944
"2010-08-17:12 AM",65.3679
"2010-08-18:12 AM",66.2299
"2010-08-19:12 AM",67.1558
"2010-08-20:12 AM",69.2114
"2010-08-21:12 AM",68.6385
"2010-08-22:12 AM",67.4886
"2010-08-23:12 AM",67.6375
"2010-08-24:12 AM",68.0178
"2010-08-25:12 AM",64.3102
"2010-08-26:12 AM",61.1577
"2010-08-27:12 AM",65.7045
"2010-08-28:12 AM",72.0496
"2010-08-29:12 AM",73.3473
"2010-08-30:12 AM",77.2545
"2010-08-31:12 AM",77.0749
"2010-09-01:12 AM",71.2593
"2010-09-02:12 AM",66.301
"2010-09-03:12 AM",60.9195
"2010-09-04:12 AM",52.5025
"2010-09-05:12 AM",55.9395
"2010-09-06:12 AM",63.3096
"2010-09-07:12 AM",64.1156
"2010-09-08:12 AM",54.594
"2010-09-09:12 AM",54.0531
"2010-09-10:12 AM",55.2718
"2010-09-11:12 AM",56.5543
"2010-09-12:12 AM",60.4854
"2010-09-13:12 AM",59.4867
"2010-09-14:12 AM",54.8541
"2010-09-15:12 AM",53.9778
"2010-09-16:12 AM",55.2423
"2010-09-17:12 AM",54.4887
"2010-09-18:12 AM",55.807
"2010-09-19:12 AM",53.1873
"2010-09-20:12 AM",54.6984
"2010-09-21:12 AM",65.5966
"2010-09-22:12 AM",58.9935
"2010-09-23:12 AM",62.5521
"2010-09-24:12 AM",63.3855
"2010-09-25:12 AM",49.7968
"2010-09-26:12 AM",49.0507
"2010-09-27:12 AM",52.4242
"2010-09-28:12 AM",52.8633
"2010-09-29:12 AM",54.7529
"2010-09-30:12 AM",56.3148
"2010-10-01:12 AM",51.9577
"2010-10-02:12 AM",47.6044
"2010-10-03:12 AM",45.2955
"2010-10-04:12 AM",47.2602
"2010-10-05:12 AM",51.301
"2010-10-06:12 AM",55.4797
"2010-10-07:12 AM",55.8662
"2010-10-08:12 AM",59.1091
"2010-10-09:12 AM",57.4115
"2010-10-10:12 AM",57.5274
"2010-10-11:12 AM",55.2018
"2010-10-12:12 AM",52.7211
"2010-10-13:12 AM",53.0184
"2010-10-14:12 AM",51.1583
"2010-10-15:12 AM",49.2364
"2010-10-16:12 AM",50.1058
"2010-10-17:12 AM",49.3473
"2010-10-18:12 AM",45.8519
"2010-10-19:12 AM",45.9153
"2010-10-20:12 AM",49.3965
"2010-10-21:12 AM",42.8266
"2010-10-22:12 AM",44.3912
"2010-10-23:12 AM",51.2622
"2010-10-24:12 AM",55.1179
"2010-10-25:12 AM",57.2878
"2010-10-26:12 AM",56.361
"2010-10-27:12 AM",49.4919
"2010-10-28:12 AM",42.0237
"2010-10-29:12 AM",39.9853
"2010-10-30:12 AM",43.401
"2010-10-31:12 AM",38.9449
"2010-11-01:12 AM",38.7289
"2010-11-02:12 AM",40.6981
"2010-11-03:12 AM",42.0618
"2010-11-04:12 AM",40.4362
"2010-11-05:12 AM",33.2283
"2010-11-06:12 AM",34.8276
"2010-11-07:12 AM",40.9743
"2010-11-08:12 AM",44.8903
"2010-11-09:12 AM",45.604
"2010-11-10:12 AM",46.717
"2010-11-11:12 AM",47.986
"2010-11-12:12 AM",45.4734
"2010-11-13:12 AM",44.8707
"2010-11-14:12 AM",41.0853
"2010-11-15:12 AM",37.7616
"2010-11-16:12 AM",39.8694
"2010-11-17:12 AM",40.5471
"2010-11-18:12 AM",33.7145
"2010-11-19:12 AM",33.5721
"2010-11-20:12 AM",31.2294
"2010-11-21:12 AM",36.9523
"2010-11-22:12 AM",47.4271
"2010-11-23:12 AM",33.2357
"2010-11-24:12 AM",30.1764
"2010-11-25:12 AM",34.8496
"2010-11-26:12 AM",23.6764
"2010-11-27:12 AM",29.7468
"2010-11-28:12 AM",31.3758
"2010-11-29:12 AM",36.5632
"2010-11-30:12 AM",40.6116
"2010-12-01:12 AM",29.7768
"2010-12-02:12 AM",27.4327
"2010-12-03:12 AM",26.2832
"2010-12-04:12 AM",27.1843
"2010-12-05:12 AM",24.9604
"2010-12-06:12 AM",22.3975
"2010-12-07:12 AM",20.4062
"2010-12-08:12 AM",20.8767
"2010-12-09:12 AM",21.7951
"2010-12-10:12 AM",28.9238
"2010-12-11:12 AM",29.0628
"2010-12-12:12 AM",23.3812
"2010-12-13:12 AM",13.4787
"2010-12-14:12 AM",17.2958
"2010-12-15:12 AM",19.7443
"2010-12-16:12 AM",21.6349
"2010-12-17:12 AM",23.7371
"2010-12-18:12 AM",21.5128
"2010-12-19:12 AM",22.9546
"2010-12-20:12 AM",23.5346
"2010-12-21:12 AM",27.7561
"2010-12-22:12 AM",28.981
"2010-12-23:12 AM",27.6807
"2010-12-24:12 AM",26.5316
"2010-12-25:12 AM",25.5547
"2010-12-26:12 AM",23.5828
"2010-12-27:12 AM",23.466
"2010-12-28:12 AM",25.9115
"2010-12-29:12 AM",30.627
"2010-12-30:12 AM",35.8567
"2010-12-31:12 AM",39.5562
"2011-01-01:12 AM",32.2349
"2011-01-02:12 AM",19.3732
"2011-01-03:12 AM",22.7136
"2011-01-04:12 AM",23.8681
"2011-01-05:12 AM",20.7261
"2011-01-06:12 AM",21.4786
"2011-01-07:12 AM",17.4546
"2011-01-08:12 AM",18.3956
"2011-01-09:12 AM",19.9589
"2011-01-10:12 AM",20.5999
"2011-01-11:12 AM",22.9174
"2011-01-12:12 AM",22.35
"2011-01-13:12 AM",20.7376
"2011-01-14:12 AM",21.5613
"2011-01-15:12 AM",20.8535
"2011-01-16:12 AM",12.4738
"2011-01-17:12 AM",19.0074
"2011-01-18:12 AM",23.7477
"2011-01-19:12 AM",12.8165
"2011-01-20:12 AM",14.8764
"2011-01-21:12 AM",8.4483
"2011-01-22:12 AM",9.6134
"2011-01-23:12 AM",5.5837
"2011-01-24:12 AM",16.8287
"2011-01-25:12 AM",24.2109
"2011-01-26:12 AM",24.4683
"2011-01-27:12 AM",22.969
"2011-01-28:12 AM",20.1933
"2011-01-29:12 AM",19.5399
"2011-01-30:12 AM",15.5516
"2011-01-31:12 AM",12.4684
"2011-02-01:12 AM",16.4552
"2011-02-02:12 AM",17.371
"2011-02-03:12 AM",16.6676
"2011-02-04:12 AM",21.5454
"2011-02-05:12 AM",26.938
"2011-02-06:12 AM",25.972
"2011-02-07:12 AM",18.9984
"2011-02-08:12 AM",10.7821
"2011-02-09:12 AM",12.1026
"2011-02-10:12 AM",9.6957
"2011-02-11:12 AM",15.6569
"2011-02-12:12 AM",23.617
"2011-02-13:12 AM",32.9567
"2011-02-14:12 AM",28.1023
"2011-02-15:12 AM",25.8973
"2011-02-16:12 AM",34.4277
"2011-02-17:12 AM",40.8466
"2011-02-18:12 AM",34.4606
"2011-02-19:12 AM",22.5082
"2011-02-20:12 AM",24.0724
"2011-02-21:12 AM",18.8848
"2011-02-22:12 AM",17.8624
"2011-02-23:12 AM",21.6489
"2011-02-24:12 AM",28.1606
"2011-02-25:12 AM",20.0001
"2011-02-26:12 AM",19.3525
"2011-02-27:12 AM",24.5415
"2011-02-28:12 AM",25.1406
"2011-03-01:12 AM",25.6338
"2011-03-02:12 AM",19.6749
"2011-03-03:12 AM",20.5981
"2011-03-04:12 AM",30.072
"2011-03-05:12 AM",27.2977
"2011-03-06:12 AM",20.4235
"2011-03-07:12 AM",22.978
"2011-03-08:12 AM",29.1438
"2011-03-09:12 AM",31.9536
"2011-03-10:12 AM",31.303
"2011-03-11:12 AM",29.493
"2011-03-12:12 AM",31.7359
"2011-03-13:12 AM",28.8142
"2011-03-14:12 AM",27.8688
"2011-03-15:12 AM",31.9735
"2011-03-16:12 AM",35.3723
"2011-03-17:12 AM",42.7163
"2011-03-18:12 AM",37.1136
"2011-03-19:12 AM",31.5946
"2011-03-20:12 AM",33.7766
"2011-03-21:12 AM",37.3078
"2011-03-22:12 AM",31.5824
"2011-03-23:12 AM",24.9449
"2011-03-24:12 AM",20.3715
"2011-03-25:12 AM",18.9761
"2011-03-26:12 AM",19.6911
"2011-03-27:12 AM",20.7279
"2011-03-28:12 AM",23.9112
"2011-03-29:12 AM",27.9981
"2011-03-30:12 AM",30.5897
"2011-03-31:12 AM",32.4876
"2011-04-01:12 AM",33.9165
"2011-04-02:12 AM",34.7877
"2011-04-03:12 AM",34.8305
"2011-04-04:12 AM",38.2678
"2011-04-05:12 AM",33.5836
"2011-04-06:12 AM",36.0972
"2011-04-07:12 AM",37.9744
"2011-04-08:12 AM",40.7111
"2011-04-09:12 AM",42.8904
"2011-04-10:12 AM",51.7665
"2011-04-11:12 AM",47.2829
"2011-04-12:12 AM",40.6929
"2011-04-13:12 AM",42.9134
"2011-04-14:12 AM",36.4024
"2011-04-15:12 AM",35.9253
"2011-04-16:12 AM",38.7379
"2011-04-17:12 AM",31.5163
"2011-04-18:12 AM",30.9351
"2011-04-19:12 AM",32.4403
"2011-04-20:12 AM",33.9919
"2011-04-21:12 AM",36.6906
"2011-04-22:12 AM",38.4708
"2011-04-23:12 AM",41.7011
"2011-04-24:12 AM",42.8146
"2011-04-25:12 AM",44.9573
"2011-04-26:12 AM",44.8093
"2011-04-27:12 AM",44.7289
"2011-04-28:12 AM",39.753
"2011-04-29:12 AM",41.938
"2011-04-30:12 AM",46.2484
"2011-05-01:12 AM",47.5228
"2011-05-02:12 AM",40.2579
"2011-05-03:12 AM",38.6762
"2011-05-04:12 AM",42.6933
"2011-05-05:12 AM",45.5862
"2011-05-06:12 AM",45.4293
"2011-05-07:12 AM",45.8092
"2011-05-08:12 AM",48.4581
"2011-05-09:12 AM",50.2934
"2011-05-10:12 AM",49.5063
"2011-05-11:12 AM",54.5815
"2011-05-12:12 AM",56.3895
"2011-05-13:12 AM",52.2851
"2011-05-14:12 AM",46.3305
"2011-05-15:12 AM",42.5568
"2011-05-16:12 AM",41.9695
"2011-05-17:12 AM",45.4534
"2011-05-18:12 AM",48.8037
"2011-05-19:12 AM",50.3967
