"DateTime","(deg F) Mean Temperature (CFSR) at Montana, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",14.8858
"2010-01-02:12 AM",27.5619
"2010-01-03:12 AM",22.3401
"2010-01-04:12 AM",20.5434
"2010-01-05:12 AM",20.4687
"2010-01-06:12 AM",4.7419
"2010-01-07:12 AM",-1.6238
"2010-01-08:12 AM",11.6622
"2010-01-09:12 AM",22.5558
"2010-01-10:12 AM",28.8444
"2010-01-11:12 AM",29.1216
"2010-01-12:12 AM",32.3179
"2010-01-13:12 AM",33.7602
"2010-01-14:12 AM",32.2306
"2010-01-15:12 AM",31.114
"2010-01-16:12 AM",33.2933
"2010-01-17:12 AM",29.6388
"2010-01-18:12 AM",31.2973
"2010-01-19:12 AM",30.1593
"2010-01-20:12 AM",28.5112
"2010-01-21:12 AM",27.0309
"2010-01-22:12 AM",25.2759
"2010-01-23:12 AM",21.9465
"2010-01-24:12 AM",19.2787
"2010-01-25:12 AM",16.241
"2010-01-26:12 AM",16.4241
"2010-01-27:12 AM",13.0924
"2010-01-28:12 AM",15.3255
"2010-01-29:12 AM",21.0745
"2010-01-30:12 AM",20.3927
"2010-01-31:12 AM",17.0103
"2010-02-01:12 AM",19.0863
"2010-02-02:12 AM",23.1937
"2010-02-03:12 AM",25.3719
"2010-02-04:12 AM",26.2056
"2010-02-05:12 AM",24.3
"2010-02-06:12 AM",24.8547
"2010-02-07:12 AM",22.4402
"2010-02-08:12 AM",11.5572
"2010-02-09:12 AM",13.6828
"2010-02-10:12 AM",19.724
"2010-02-11:12 AM",24.3082
"2010-02-12:12 AM",28.3764
"2010-02-13:12 AM",24.2938
"2010-02-14:12 AM",15.2733
"2010-02-15:12 AM",21.2398
"2010-02-16:12 AM",24.5716
"2010-02-17:12 AM",29.2813
"2010-02-18:12 AM",23.7769
"2010-02-19:12 AM",21.4792
"2010-02-20:12 AM",18.0406
"2010-02-21:12 AM",15.4342
"2010-02-22:12 AM",18.9639
"2010-02-23:12 AM",22.7464
"2010-02-24:12 AM",26.9575
"2010-02-25:12 AM",30.9328
"2010-02-26:12 AM",29.1178
"2010-02-27:12 AM",30.7517
"2010-02-28:12 AM",30.8941
"2010-03-01:12 AM",32.0367
"2010-03-02:12 AM",32.8746
"2010-03-03:12 AM",34.7713
"2010-03-04:12 AM",33.9987
"2010-03-05:12 AM",33.4069
"2010-03-06:12 AM",33.4965
"2010-03-07:12 AM",35.0269
"2010-03-08:12 AM",36.1648
"2010-03-09:12 AM",31.6634
"2010-03-10:12 AM",27.7597
"2010-03-11:12 AM",28.1484
"2010-03-12:12 AM",33.4861
"2010-03-13:12 AM",34.1982
"2010-03-14:12 AM",32.0518
"2010-03-15:12 AM",34.5996
"2010-03-16:12 AM",39.2495
"2010-03-17:12 AM",42.2758
"2010-03-18:12 AM",34.8912
"2010-03-19:12 AM",27.3819
"2010-03-20:12 AM",30.0697
"2010-03-21:12 AM",37.9463
"2010-03-22:12 AM",37.9
"2010-03-23:12 AM",34.4304
"2010-03-24:12 AM",35.4106
"2010-03-25:12 AM",35.1516
"2010-03-26:12 AM",35.7181
"2010-03-27:12 AM",36.9889
"2010-03-28:12 AM",40.1533
"2010-03-29:12 AM",43.7844
"2010-03-30:12 AM",40.1504
"2010-03-31:12 AM",35.3655
"2010-04-01:12 AM",32.7758
