"DateTime","(deg F) Mean Temperature (CFSR) at Nebraska, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",13.8252
"2010-01-02:12 AM",11.4359
"2010-01-03:12 AM",17.6401
"2010-01-04:12 AM",16.5249
"2010-01-05:12 AM",16.3974
"2010-01-06:12 AM",16.4529
"2010-01-07:12 AM",2.8355
"2010-01-08:12 AM",1.7407
"2010-01-09:12 AM",8.674
"2010-01-10:12 AM",26.589
"2010-01-11:12 AM",31.6029
"2010-01-12:12 AM",32.0779
"2010-01-13:12 AM",38.4199
"2010-01-14:12 AM",35.5069
"2010-01-15:12 AM",33.6216
"2010-01-16:12 AM",36.442
"2010-01-17:12 AM",35.37
"2010-01-18:12 AM",32.7461
"2010-01-19:12 AM",32.1372
"2010-01-20:12 AM",34.3047
"2010-01-21:12 AM",33.534
"2010-01-22:12 AM",34.8624
"2010-01-23:12 AM",38.9154
"2010-01-24:12 AM",27.7722
"2010-01-25:12 AM",24.7849
"2010-01-26:12 AM",22.3027
"2010-01-27:12 AM",24.2301
"2010-01-28:12 AM",18.8193
"2010-01-29:12 AM",19.6626
"2010-01-30:12 AM",22.851
"2010-01-31:12 AM",22.7298
"2010-02-01:12 AM",26.1484
"2010-02-02:12 AM",25.4408
"2010-02-03:12 AM",29.0721
"2010-02-04:12 AM",33.0697
"2010-02-05:12 AM",30.8984
"2010-02-06:12 AM",29.156
"2010-02-07:12 AM",29.595
"2010-02-08:12 AM",18.0923
"2010-02-09:12 AM",15.6097
"2010-02-10:12 AM",18.0201
"2010-02-11:12 AM",24.5167
"2010-02-12:12 AM",28.5064
"2010-02-13:12 AM",32.1642
"2010-02-14:12 AM",18.5671
"2010-02-15:12 AM",19.0224
"2010-02-16:12 AM",21.0412
"2010-02-17:12 AM",25.3098
"2010-02-18:12 AM",27.4005
"2010-02-19:12 AM",26.3815
"2010-02-20:12 AM",24.627
"2010-02-21:12 AM",23.963
"2010-02-22:12 AM",20.4739
"2010-02-23:12 AM",21.951
"2010-02-24:12 AM",21.7969
"2010-02-25:12 AM",26.5717
"2010-02-26:12 AM",32.8105
"2010-02-27:12 AM",31.9019
"2010-02-28:12 AM",29.5972
"2010-03-01:12 AM",30.2106
"2010-03-02:12 AM",32.0477
"2010-03-03:12 AM",35.46
"2010-03-04:12 AM",40.0321
"2010-03-05:12 AM",37.6565
"2010-03-06:12 AM",39.209
"2010-03-07:12 AM",37.576
"2010-03-08:12 AM",42.3831
"2010-03-09:12 AM",40.9285
"2010-03-10:12 AM",35.3359
"2010-03-11:12 AM",34.3684
"2010-03-12:12 AM",35.8147
"2010-03-13:12 AM",37.8939
"2010-03-14:12 AM",36.9198
"2010-03-15:12 AM",38.6208
"2010-03-16:12 AM",40.275
"2010-03-17:12 AM",43.3956
"2010-03-18:12 AM",46.9324
"2010-03-19:12 AM",34.7418
"2010-03-20:12 AM",30.2157
