"DateTime","(deg F) Mean Temperature (CFSR) at New Hampshire, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",24.3774
"2010-01-02:12 AM",21.9961
"2010-01-03:12 AM",17.8304
"2010-01-04:12 AM",20.5439
"2010-01-05:12 AM",19.6075
"2010-01-06:12 AM",19.1629
"2010-01-07:12 AM",20.4373
"2010-01-08:12 AM",18.1924
"2010-01-09:12 AM",12.2506
"2010-01-10:12 AM",8.6344
"2010-01-11:12 AM",16.5429
"2010-01-12:12 AM",16.0471
"2010-01-13:12 AM",11.1879
"2010-01-14:12 AM",17.6967
"2010-01-15:12 AM",30.1357
"2010-01-16:12 AM",29.9737
"2010-01-17:12 AM",28.4684
"2010-01-18:12 AM",27.4638
"2010-01-19:12 AM",27.9018
"2010-01-20:12 AM",26.2674
"2010-01-21:12 AM",23.9164
"2010-01-22:12 AM",21.5199
"2010-01-23:12 AM",18.5081
"2010-01-24:12 AM",23.088
"2010-01-25:12 AM",40.7338
"2010-01-26:12 AM",32.3852
"2010-01-27:12 AM",28.8441
"2010-01-28:12 AM",24.3523
"2010-01-29:12 AM",4.7799
"2010-01-30:12 AM",2.509
"2010-01-31:12 AM",9.0079
"2010-02-01:12 AM",16.3915
"2010-02-02:12 AM",15.7397
"2010-02-03:12 AM",20.6816
"2010-02-04:12 AM",17.0622
"2010-02-05:12 AM",17.033
"2010-02-06:12 AM",12.382
"2010-02-07:12 AM",11.7689
"2010-02-08:12 AM",15.6702
"2010-02-09:12 AM",18.6768
"2010-02-10:12 AM",23.3251
"2010-02-11:12 AM",23.8026
"2010-02-12:12 AM",19.2537
"2010-02-13:12 AM",18.6436
"2010-02-14:12 AM",21.5944
"2010-02-15:12 AM",23.7094
"2010-02-16:12 AM",23.8995
"2010-02-17:12 AM",25.4422
"2010-02-18:12 AM",27.388
"2010-02-19:12 AM",24.6033
"2010-02-20:12 AM",28.711
"2010-02-21:12 AM",25.444
"2010-02-22:12 AM",27.864
"2010-02-23:12 AM",30.9992
"2010-02-24:12 AM",31.8333
"2010-02-25:12 AM",35.6655
"2010-02-26:12 AM",33.4974
"2010-02-27:12 AM",31.116
"2010-02-28:12 AM",28.5672
"2010-03-01:12 AM",32.1712
"2010-03-02:12 AM",33.2193
"2010-03-03:12 AM",32.3886
"2010-03-04:12 AM",30.5438
"2010-03-05:12 AM",27.3355
"2010-03-06:12 AM",29.8893
"2010-03-07:12 AM",33.9741
"2010-03-08:12 AM",36.2656
"2010-03-09:12 AM",31.3882
"2010-03-10:12 AM",30.8817
"2010-03-11:12 AM",33.2587
"2010-03-12:12 AM",34.5663
"2010-03-13:12 AM",32.0376
"2010-03-14:12 AM",32.7285
"2010-03-15:12 AM",34.6347
"2010-03-16:12 AM",37.2313
"2010-03-17:12 AM",40.156
"2010-03-18:12 AM",41.8935
"2010-03-19:12 AM",44.2481
"2010-03-20:12 AM",46.1984
"2010-03-21:12 AM",36.7363
"2010-03-22:12 AM",36.3123
"2010-03-23:12 AM",36.2502
"2010-03-24:12 AM",33.6675
"2010-03-25:12 AM",40.7428
"2010-03-26:12 AM",25.2554
"2010-03-27:12 AM",23.0806
"2010-03-28:12 AM",29.7099
"2010-03-29:12 AM",39.8824
"2010-03-30:12 AM",36.6787
"2010-03-31:12 AM",41.0356
"2010-04-01:12 AM",45.8166
"2010-04-02:12 AM",51.0273
"2010-04-03:12 AM",54.7902
"2010-04-04:12 AM",51.7658
"2010-04-05:12 AM",49.9293
"2010-04-06:12 AM",49.3986
"2010-04-07:12 AM",57.7204
"2010-04-08:12 AM",48.3382
"2010-04-09:12 AM",41.0853
"2010-04-10:12 AM",36.2725
"2010-04-11:12 AM",42.0807
"2010-04-12:12 AM",39.7074
"2010-04-13:12 AM",40.0181
"2010-04-14:12 AM",42.2773
"2010-04-15:12 AM",42.2609
"2010-04-16:12 AM",35.4898
"2010-04-17:12 AM",34.3278
"2010-04-18:12 AM",37.2688
"2010-04-19:12 AM",40.5568
"2010-04-20:12 AM",47.876
"2010-04-21:12 AM",51.5377
"2010-04-22:12 AM",51.336
"2010-04-23:12 AM",43.8849
"2010-04-24:12 AM",45.4672
"2010-04-25:12 AM",49.2271
"2010-04-26:12 AM",49.0883
"2010-04-27:12 AM",41.7013
