"DateTime","(deg F) Mean Temperature (CFSR) at New Jersey, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",33.9145
"2010-01-02:12 AM",23.6964
"2010-01-03:12 AM",19.2191
"2010-01-04:12 AM",21.7758
"2010-01-05:12 AM",22.9572
"2010-01-06:12 AM",26.4835
"2010-01-07:12 AM",29.1726
"2010-01-08:12 AM",27.8492
"2010-01-09:12 AM",21.1617
"2010-01-10:12 AM",17.9753
"2010-01-11:12 AM",22.5252
"2010-01-12:12 AM",26.0339
"2010-01-13:12 AM",26.7395
"2010-01-14:12 AM",30.3384
"2010-01-15:12 AM",35.4709
"2010-01-16:12 AM",35.8768
"2010-01-17:12 AM",36.9725
"2010-01-18:12 AM",39.4335
"2010-01-19:12 AM",38.9305
"2010-01-20:12 AM",34.2788
"2010-01-21:12 AM",30.618
"2010-01-22:12 AM",33.3612
"2010-01-23:12 AM",29.8717
"2010-01-24:12 AM",37.107
"2010-01-25:12 AM",52.5792
"2010-01-26:12 AM",37.1892
"2010-01-27:12 AM",29.8791
"2010-01-28:12 AM",31.3023
"2010-01-29:12 AM",18.4863
"2010-01-30:12 AM",16.5636
"2010-01-31:12 AM",18.7846
"2010-02-01:12 AM",24.6461
"2010-02-02:12 AM",28.1226
"2010-02-03:12 AM",31.3304
"2010-02-04:12 AM",28.1212
"2010-02-05:12 AM",30.2932
"2010-02-06:12 AM",25.529
"2010-02-07:12 AM",19.6324
"2010-02-08:12 AM",22.1832
"2010-02-09:12 AM",27.5115
"2010-02-10:12 AM",31.6366
"2010-02-11:12 AM",28.335
"2010-02-12:12 AM",26.2539
"2010-02-13:12 AM",25.2543
"2010-02-14:12 AM",27.1522
"2010-02-15:12 AM",28.0764
"2010-02-16:12 AM",29.7149
"2010-02-17:12 AM",27.2401
"2010-02-18:12 AM",31.7878
"2010-02-19:12 AM",32.9608
"2010-02-20:12 AM",33.7098
"2010-02-21:12 AM",32.7452
"2010-02-22:12 AM",30.8433
"2010-02-23:12 AM",37.3629
"2010-02-24:12 AM",36.6638
"2010-02-25:12 AM",32.9961
"2010-02-26:12 AM",28.6821
"2010-02-27:12 AM",30.0517
"2010-02-28:12 AM",31.4467
"2010-03-01:12 AM",34.7223
"2010-03-02:12 AM",34.9331
"2010-03-03:12 AM",35.4684
"2010-03-04:12 AM",35.9564
"2010-03-05:12 AM",36.0201
"2010-03-06:12 AM",34.2561
"2010-03-07:12 AM",37.1977
"2010-03-08:12 AM",40.7007
"2010-03-09:12 AM",43.8852
"2010-03-10:12 AM",44.091
"2010-03-11:12 AM",45.1297
"2010-03-12:12 AM",43.8336
"2010-03-13:12 AM",46.6626
"2010-03-14:12 AM",44.9071
"2010-03-15:12 AM",39.4867
"2010-03-16:12 AM",44.7539
"2010-03-17:12 AM",46.9107
"2010-03-18:12 AM",49.3385
"2010-03-19:12 AM",52.4973
"2010-03-20:12 AM",54.3898
"2010-03-21:12 AM",53.4886
"2010-03-22:12 AM",54.1375
"2010-03-23:12 AM",50.4322
"2010-03-24:12 AM",46.0499
"2010-03-25:12 AM",50.0308
"2010-03-26:12 AM",43.6194
"2010-03-27:12 AM",34.1839
"2010-03-28:12 AM",40.0899
"2010-03-29:12 AM",51.2391
"2010-03-30:12 AM",42.3709
"2010-03-31:12 AM",46.7919
"2010-04-01:12 AM",51.9672
"2010-04-02:12 AM",52.6579
"2010-04-03:12 AM",51.0492
"2010-04-04:12 AM",56.5993
"2010-04-05:12 AM",59.3083
"2010-04-06:12 AM",66.7917
"2010-04-07:12 AM",70.3773
"2010-04-08:12 AM",68.1175
"2010-04-09:12 AM",52.495
"2010-04-10:12 AM",45.0338
"2010-04-11:12 AM",54.8262
"2010-04-12:12 AM",53.0665
"2010-04-13:12 AM",47.2174
"2010-04-14:12 AM",48.8282
"2010-04-15:12 AM",55.0231
"2010-04-16:12 AM",57.9832
"2010-04-17:12 AM",51.1525
