"DateTime","(deg F) Mean Temperature (CFSR) at New Mexico, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",28.7496
"2010-01-02:12 AM",33.694
"2010-01-03:12 AM",32.8233
"2010-01-04:12 AM",30.2661
"2010-01-05:12 AM",31.914
"2010-01-06:12 AM",36.185
"2010-01-07:12 AM",28.9908
"2010-01-08:12 AM",24.816
"2010-01-09:12 AM",27.4719
"2010-01-10:12 AM",30.5152
"2010-01-11:12 AM",34.5112
"2010-01-12:12 AM",35.1567
"2010-01-13:12 AM",37.3174
"2010-01-14:12 AM",38.4755
"2010-01-15:12 AM",36.6589
"2010-01-16:12 AM",36.4573
"2010-01-17:12 AM",39.1042
"2010-01-18:12 AM",38.9298
"2010-01-19:12 AM",41.2149
"2010-01-20:12 AM",38.3832
"2010-01-21:12 AM",36.9568
"2010-01-22:12 AM",41.6143
"2010-01-23:12 AM",33.9102
"2010-01-24:12 AM",31.0395
"2010-01-25:12 AM",30.7677
"2010-01-26:12 AM",34.0948
"2010-01-27:12 AM",38.4161
"2010-01-28:12 AM",33.4864
"2010-01-29:12 AM",30.5667
"2010-01-30:12 AM",32.0342
"2010-01-31:12 AM",34.5562
"2010-02-01:12 AM",36.0851
"2010-02-02:12 AM",35.6556
"2010-02-03:12 AM",33.7262
"2010-02-04:12 AM",36.3913
"2010-02-05:12 AM",37.4247
"2010-02-06:12 AM",38.3448
"2010-02-07:12 AM",37.9837
"2010-02-08:12 AM",33.5964
"2010-02-09:12 AM",31.4784
"2010-02-10:12 AM",33.3136
"2010-02-11:12 AM",34.2919
"2010-02-12:12 AM",35.0875
"2010-02-13:12 AM",38.5263
"2010-02-14:12 AM",36.4527
"2010-02-15:12 AM",32.565
"2010-02-16:12 AM",34.3654
"2010-02-17:12 AM",37.238
"2010-02-18:12 AM",41.126
"2010-02-19:12 AM",42.031
"2010-02-20:12 AM",41.1507
"2010-02-21:12 AM",38.5036
"2010-02-22:12 AM",34.8548
"2010-02-23:12 AM",29.3704
"2010-02-24:12 AM",33.5917
"2010-02-25:12 AM",38.485
"2010-02-26:12 AM",37.2348
"2010-02-27:12 AM",39.2045
"2010-02-28:12 AM",40.0123
"2010-03-01:12 AM",38.2865
"2010-03-02:12 AM",38.9943
"2010-03-03:12 AM",43.0786
"2010-03-04:12 AM",45.9786
"2010-03-05:12 AM",45.0475
"2010-03-06:12 AM",44.9154
"2010-03-07:12 AM",46.6187
"2010-03-08:12 AM",42.6049
"2010-03-09:12 AM",41.4302
"2010-03-10:12 AM",37.4918
"2010-03-11:12 AM",36.4802
"2010-03-12:12 AM",40.1421
"2010-03-13:12 AM",45.4894
"2010-03-14:12 AM",43.8213
"2010-03-15:12 AM",38.7824
"2010-03-16:12 AM",42.6684
"2010-03-17:12 AM",48.2684
"2010-03-18:12 AM",50.3625
"2010-03-19:12 AM",46.9576
"2010-03-20:12 AM",35.1603
"2010-03-21:12 AM",40.5104
"2010-03-22:12 AM",48.7517
"2010-03-23:12 AM",48.79
"2010-03-24:12 AM",41.8003
"2010-03-25:12 AM",42.8396
"2010-03-26:12 AM",48.1075
"2010-03-27:12 AM",43.1616
"2010-03-28:12 AM",44.681
"2010-03-29:12 AM",51.251
"2010-03-30:12 AM",58.5423
"2010-03-31:12 AM",59.8953
"2010-04-01:12 AM",53.4522
"2010-04-02:12 AM",41.5783
"2010-04-03:12 AM",47.2665
"2010-04-04:12 AM",55.3701
"2010-04-05:12 AM",58.6009
"2010-04-06:12 AM",53.2774
"2010-04-07:12 AM",43.1161
"2010-04-08:12 AM",46.1244
"2010-04-09:12 AM",54.1688
"2010-04-10:12 AM",57.8332
"2010-04-11:12 AM",58.2157
"2010-04-12:12 AM",59.7553
"2010-04-13:12 AM",57.4916
"2010-04-14:12 AM",56.224
"2010-04-15:12 AM",59.0589
"2010-04-16:12 AM",56.5151
"2010-04-17:12 AM",53.8783
"2010-04-18:12 AM",55.8606
"2010-04-19:12 AM",56.2752
"2010-04-20:12 AM",57.3204
"2010-04-21:12 AM",59.5047
"2010-04-22:12 AM",51.8052
"2010-04-23:12 AM",43.8856
"2010-04-24:12 AM",50.1656
"2010-04-25:12 AM",54.7635
"2010-04-26:12 AM",56.1769
"2010-04-27:12 AM",55.8559
"2010-04-28:12 AM",61.9615
"2010-04-29:12 AM",60.3237
"2010-04-30:12 AM",45.7947
"2010-05-01:12 AM",44.6009
"2010-05-02:12 AM",46.5546
"2010-05-03:12 AM",50.6034
"2010-05-04:12 AM",60.0012
"2010-05-05:12 AM",63.9468
"2010-05-06:12 AM",66.4587
"2010-05-07:12 AM",62.1181
"2010-05-08:12 AM",57.2569
"2010-05-09:12 AM",62.0215
"2010-05-10:12 AM",62.8162
"2010-05-11:12 AM",61.1015
"2010-05-12:12 AM",56.0899
"2010-05-13:12 AM",54.5436
"2010-05-14:12 AM",56.4544
"2010-05-15:12 AM",58.0224
"2010-05-16:12 AM",61.3236
"2010-05-17:12 AM",64.7379
"2010-05-18:12 AM",65.6503
"2010-05-19:12 AM",62.5744
"2010-05-20:12 AM",64.5294
"2010-05-21:12 AM",68.5483
"2010-05-22:12 AM",70.264
"2010-05-23:12 AM",67.9743
"2010-05-24:12 AM",63.0612
"2010-05-25:12 AM",61.7911
"2010-05-26:12 AM",66.474
"2010-05-27:12 AM",71.2711
"2010-05-28:12 AM",72.9505
"2010-05-29:12 AM",71.695
"2010-05-30:12 AM",69.28
"2010-05-31:12 AM",69.8772
"2010-06-01:12 AM",70.6888
"2010-06-02:12 AM",70.4489
"2010-06-03:12 AM",72.1315
"2010-06-04:12 AM",76.5946
"2010-06-05:12 AM",81.1519
"2010-06-06:12 AM",81.2386
"2010-06-07:12 AM",80.2692
"2010-06-08:12 AM",78.8205
"2010-06-09:12 AM",78.7915
"2010-06-10:12 AM",78.2112
"2010-06-11:12 AM",75.2025
"2010-06-12:12 AM",71.2119
"2010-06-13:12 AM",67.0694
"2010-06-14:12 AM",67.3855
"2010-06-15:12 AM",69.8139
"2010-06-16:12 AM",74.4273
"2010-06-17:12 AM",75.2421
"2010-06-18:12 AM",75.6743
"2010-06-19:12 AM",77.2169
"2010-06-20:12 AM",77.3573
"2010-06-21:12 AM",76.8443
"2010-06-22:12 AM",78.9498
"2010-06-23:12 AM",78.1216
"2010-06-24:12 AM",75.7366
"2010-06-25:12 AM",76.4638
"2010-06-26:12 AM",76.4843
"2010-06-27:12 AM",75.3478
"2010-06-28:12 AM",72.7732
"2010-06-29:12 AM",70.5547
"2010-06-30:12 AM",69.7932
"2010-07-01:12 AM",70.3333
"2010-07-02:12 AM",71.1055
"2010-07-03:12 AM",73.3788
"2010-07-04:12 AM",75.1141
"2010-07-05:12 AM",74.0777
"2010-07-06:12 AM",73.5944
"2010-07-07:12 AM",73.6099
"2010-07-08:12 AM",70.7628
"2010-07-09:12 AM",70.758
"2010-07-10:12 AM",73.0776
"2010-07-11:12 AM",72.9936
"2010-07-12:12 AM",75.2628
"2010-07-13:12 AM",79.6588
"2010-07-14:12 AM",80.3829
"2010-07-15:12 AM",79.8449
"2010-07-16:12 AM",78.8403
"2010-07-17:12 AM",79.1958
"2010-07-18:12 AM",80.4456
"2010-07-19:12 AM",81.8958
"2010-07-20:12 AM",80.863
"2010-07-21:12 AM",78.1216
"2010-07-22:12 AM",75.5411
"2010-07-23:12 AM",73.5859
"2010-07-24:12 AM",69.9618
"2010-07-25:12 AM",67.2215
"2010-07-26:12 AM",68.4698
"2010-07-27:12 AM",71.9744
"2010-07-28:12 AM",72.8953
"2010-07-29:12 AM",72.6597
"2010-07-30:12 AM",73.58
"2010-07-31:12 AM",72.0286
"2010-08-01:12 AM",71.8734
"2010-08-02:12 AM",73.7672
"2010-08-03:12 AM",75.5974
"2010-08-04:12 AM",76.4337
"2010-08-05:12 AM",76.5982
"2010-08-06:12 AM",76.0226
"2010-08-07:12 AM",76.5784
"2010-08-08:12 AM",74.5966
"2010-08-09:12 AM",74.408
"2010-08-10:12 AM",76.6015
"2010-08-11:12 AM",78.291
"2010-08-12:12 AM",78.1036
"2010-08-13:12 AM",79.2433
"2010-08-14:12 AM",79.3072
"2010-08-15:12 AM",78.5376
"2010-08-16:12 AM",72.4523
"2010-08-17:12 AM",75.603
"2010-08-18:12 AM",76.0626
"2010-08-19:12 AM",76.5914
"2010-08-20:12 AM",77.349
"2010-08-21:12 AM",76.8173
"2010-08-22:12 AM",76.7428
"2010-08-23:12 AM",77.4536
"2010-08-24:12 AM",69.1569
"2010-08-25:12 AM",66.2491
"2010-08-26:12 AM",68.8865
"2010-08-27:12 AM",70.0909
"2010-08-28:12 AM",70.2478
"2010-08-29:12 AM",70.939
"2010-08-30:12 AM",70.8031
"2010-08-31:12 AM",71.436
"2010-09-01:12 AM",73.776
"2010-09-02:12 AM",74.3481
"2010-09-03:12 AM",68.8449
"2010-09-04:12 AM",70.4442
"2010-09-05:12 AM",74.1997
"2010-09-06:12 AM",74.7408
"2010-09-07:12 AM",71.1504
"2010-09-08:12 AM",69.1752
"2010-09-09:12 AM",70.2588
"2010-09-10:12 AM",68.5483
"2010-09-11:12 AM",66.9873
"2010-09-12:12 AM",69.2605
"2010-09-13:12 AM",70.302
"2010-09-14:12 AM",71.5017
"2010-09-15:12 AM",73.5305
"2010-09-16:12 AM",72.5554
"2010-09-17:12 AM",70.6806
"2010-09-18:12 AM",72.3693
"2010-09-19:12 AM",71.6592
"2010-09-20:12 AM",69.7217
"2010-09-21:12 AM",71.5266
"2010-09-22:12 AM",66.0031
"2010-09-23:12 AM",65.9574
"2010-09-24:12 AM",65.6884
"2010-09-25:12 AM",67.8146
"2010-09-26:12 AM",66.2963
"2010-09-27:12 AM",67.2712
"2010-09-28:12 AM",69.6783
"2010-09-29:12 AM",71.3376
"2010-09-30:12 AM",69.7969
"2010-10-01:12 AM",69.6078
"2010-10-02:12 AM",67.3453
"2010-10-03:12 AM",63.8294
"2010-10-04:12 AM",62.29
"2010-10-05:12 AM",62.3651
"2010-10-06:12 AM",63.0279
"2010-10-07:12 AM",64.0686
"2010-10-08:12 AM",62.4537
"2010-10-09:12 AM",59.7033
"2010-10-10:12 AM",58.5581
"2010-10-11:12 AM",57.0342
"2010-10-12:12 AM",58.1385
"2010-10-13:12 AM",57.9412
"2010-10-14:12 AM",58.8726
"2010-10-15:12 AM",60.46
"2010-10-16:12 AM",60.4967
"2010-10-17:12 AM",60.3451
"2010-10-18:12 AM",59.7965
"2010-10-19:12 AM",56.9151
"2010-10-20:12 AM",57.6124
"2010-10-21:12 AM",54.6624
"2010-10-22:12 AM",49.7367
"2010-10-23:12 AM",50.3641
"2010-10-24:12 AM",51.9384
"2010-10-25:12 AM",54.7032
"2010-10-26:12 AM",47.8171
"2010-10-27:12 AM",46.2684
"2010-10-28:12 AM",45.8895
"2010-10-29:12 AM",51.6562
"2010-10-30:12 AM",57.9281
"2010-10-31:12 AM",55.1097
