"DateTime","(deg F) Mean Temperature (CFSR) at New York, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",29.7111
"2010-01-02:12 AM",17.7901
"2010-01-03:12 AM",12.2169
"2010-01-04:12 AM",15.9213
"2010-01-05:12 AM",18.0523
"2010-01-06:12 AM",20.2492
"2010-01-07:12 AM",22.786
"2010-01-08:12 AM",19.1997
"2010-01-09:12 AM",11.392
"2010-01-10:12 AM",12.6864
"2010-01-11:12 AM",20.1866
"2010-01-12:12 AM",17.998
"2010-01-13:12 AM",20.334
"2010-01-14:12 AM",27.6778
"2010-01-15:12 AM",33.2746
"2010-01-16:12 AM",31.1358
"2010-01-17:12 AM",32.607
"2010-01-18:12 AM",32.9547
"2010-01-19:12 AM",31.224
"2010-01-20:12 AM",28.5512
"2010-01-21:12 AM",25.2788
"2010-01-22:12 AM",26.2117
"2010-01-23:12 AM",24.6007
"2010-01-24:12 AM",31.336
"2010-01-25:12 AM",43.626
"2010-01-26:12 AM",30.4552
"2010-01-27:12 AM",27.0451
"2010-01-28:12 AM",23.3152
"2010-01-29:12 AM",8.8462
"2010-01-30:12 AM",4.7224
"2010-01-31:12 AM",11.5947
"2010-02-01:12 AM",19.4043
"2010-02-02:12 AM",20.8877
"2010-02-03:12 AM",25.0367
"2010-02-04:12 AM",20.5282
"2010-02-05:12 AM",22.195
"2010-02-06:12 AM",15.505
"2010-02-07:12 AM",15.2411
"2010-02-08:12 AM",17.9559
"2010-02-09:12 AM",21.3786
"2010-02-10:12 AM",25.7572
"2010-02-11:12 AM",22.2267
"2010-02-12:12 AM",20.1855
"2010-02-13:12 AM",19.3269
"2010-02-14:12 AM",22.9482
"2010-02-15:12 AM",24.9051
"2010-02-16:12 AM",25.0704
"2010-02-17:12 AM",26.0371
"2010-02-18:12 AM",27.8528
"2010-02-19:12 AM",27.7489
"2010-02-20:12 AM",29.4652
"2010-02-21:12 AM",26.2798
"2010-02-22:12 AM",26.2648
"2010-02-23:12 AM",32.3924
"2010-02-24:12 AM",31.1756
"2010-02-25:12 AM",30.0389
"2010-02-26:12 AM",30.5118
"2010-02-27:12 AM",31.1468
"2010-02-28:12 AM",30.8185
"2010-03-01:12 AM",31.9267
"2010-03-02:12 AM",32.346
"2010-03-03:12 AM",31.7799
"2010-03-04:12 AM",29.6812
"2010-03-05:12 AM",28.9533
"2010-03-06:12 AM",28.6164
"2010-03-07:12 AM",32.9727
"2010-03-08:12 AM",33.679
"2010-03-09:12 AM",35.9114
"2010-03-10:12 AM",38.0251
"2010-03-11:12 AM",42.1972
"2010-03-12:12 AM",42.7136
"2010-03-13:12 AM",37.7519
"2010-03-14:12 AM",36.2313
"2010-03-15:12 AM",37.0591
"2010-03-16:12 AM",38.5907
"2010-03-17:12 AM",41.428
"2010-03-18:12 AM",42.0114
"2010-03-19:12 AM",46.2128
"2010-03-20:12 AM",44.195
"2010-03-21:12 AM",40.028
"2010-03-22:12 AM",42.2235
"2010-03-23:12 AM",39.1579
"2010-03-24:12 AM",35.76
"2010-03-25:12 AM",39.8163
"2010-03-26:12 AM",24.7158
"2010-03-27:12 AM",27.2665
"2010-03-28:12 AM",34.466
"2010-03-29:12 AM",40.4865
"2010-03-30:12 AM",36.075
"2010-03-31:12 AM",40.0498
"2010-04-01:12 AM",48.1129
"2010-04-02:12 AM",56.9196
"2010-04-03:12 AM",58.276
"2010-04-04:12 AM",50.3551
"2010-04-05:12 AM",51.7365
"2010-04-06:12 AM",53.5059
"2010-04-07:12 AM",59.3787
"2010-04-08:12 AM",56.5351
"2010-04-09:12 AM",40.0059
"2010-04-10:12 AM",37.2367
"2010-04-11:12 AM",44.5258
"2010-04-12:12 AM",40.2868
"2010-04-13:12 AM",41.666
"2010-04-14:12 AM",43.5632
"2010-04-15:12 AM",49.5079
"2010-04-16:12 AM",50.7538
"2010-04-17:12 AM",40.8565
"2010-04-18:12 AM",39.2648
"2010-04-19:12 AM",43.3074
"2010-04-20:12 AM",47.6568
"2010-04-21:12 AM",50.0128
"2010-04-22:12 AM",44.9492
"2010-04-23:12 AM",42.5851
"2010-04-24:12 AM",47.5045
"2010-04-25:12 AM",47.1333
"2010-04-26:12 AM",46.8257
"2010-04-27:12 AM",39.9614
"2010-04-28:12 AM",38.4125
"2010-04-29:12 AM",43.6327
"2010-04-30:12 AM",53.7955
"2010-05-01:12 AM",63.8344
"2010-05-02:12 AM",68.1652
"2010-05-03:12 AM",64.4095
"2010-05-04:12 AM",56.041
"2010-05-05:12 AM",59.2471
"2010-05-06:12 AM",55.0351
"2010-05-07:12 AM",48.5388
"2010-05-08:12 AM",47.9768
"2010-05-09:12 AM",35.8099
"2010-05-10:12 AM",39.2454
"2010-05-11:12 AM",41.0938
"2010-05-12:12 AM",41.9576
"2010-05-13:12 AM",47.6395
"2010-05-14:12 AM",56.9093
"2010-05-15:12 AM",50.2488
"2010-05-16:12 AM",51.8652
"2010-05-17:12 AM",55.0458
"2010-05-18:12 AM",54.952
"2010-05-19:12 AM",54.0885
"2010-05-20:12 AM",60.3925
"2010-05-21:12 AM",63.9259
"2010-05-22:12 AM",64.9063
"2010-05-23:12 AM",63.7646
"2010-05-24:12 AM",66.5161
"2010-05-25:12 AM",69.7105
"2010-05-26:12 AM",72.1319
"2010-05-27:12 AM",69.7546
"2010-05-28:12 AM",63.9608
"2010-05-29:12 AM",64.4956
"2010-05-30:12 AM",63.1749
"2010-05-31:12 AM",68.3802
"2010-06-01:12 AM",66.8642
"2010-06-02:12 AM",66.8851
"2010-06-03:12 AM",66.2743
"2010-06-04:12 AM",66.1357
"2010-06-05:12 AM",69.2544
"2010-06-06:12 AM",57.0812
"2010-06-07:12 AM",55.1307
"2010-06-08:12 AM",54.4746
"2010-06-09:12 AM",53.2407
"2010-06-10:12 AM",59.1231
"2010-06-11:12 AM",60.4296
"2010-06-12:12 AM",63.5797
"2010-06-13:12 AM",63.8677
"2010-06-14:12 AM",63.091
"2010-06-15:12 AM",62.0069
"2010-06-16:12 AM",64.4569
"2010-06-17:12 AM",61.2288
"2010-06-18:12 AM",66.1035
"2010-06-19:12 AM",71.8515
"2010-06-20:12 AM",70.0396
"2010-06-21:12 AM",66.9088
"2010-06-22:12 AM",67.4226
"2010-06-23:12 AM",71.4817
"2010-06-24:12 AM",71.0607
"2010-06-25:12 AM",66.4673
"2010-06-26:12 AM",64.175
"2010-06-27:12 AM",69.463
"2010-06-28:12 AM",72.6305
"2010-06-29:12 AM",64.3987
"2010-06-30:12 AM",57.6554
"2010-07-01:12 AM",58.39
"2010-07-02:12 AM",61.0144
"2010-07-03:12 AM",66.9675
"2010-07-04:12 AM",71.8923
"2010-07-05:12 AM",76.4866
"2010-07-06:12 AM",79.075
"2010-07-07:12 AM",79.0599
"2010-07-08:12 AM",78.8605
"2010-07-09:12 AM",74.6074
"2010-07-10:12 AM",70.538
"2010-07-11:12 AM",70.4257
"2010-07-12:12 AM",73.3611
"2010-07-13:12 AM",72.5527
"2010-07-14:12 AM",71.4898
"2010-07-15:12 AM",73.864
"2010-07-16:12 AM",75.1082
"2010-07-17:12 AM",75.375
"2010-07-18:12 AM",71.9586
"2010-07-19:12 AM",70.6467
"2010-07-20:12 AM",70.8195
"2010-07-21:12 AM",70.8012
"2010-07-22:12 AM",70.0038
"2010-07-23:12 AM",69.1439
"2010-07-24:12 AM",75.1057
"2010-07-25:12 AM",70.0916
"2010-07-26:12 AM",67.671
"2010-07-27:12 AM",70.4061
"2010-07-28:12 AM",73.9623
"2010-07-29:12 AM",70.1582
"2010-07-30:12 AM",63.8589
"2010-07-31:12 AM",62.7328
"2010-08-01:12 AM",66.7917
"2010-08-02:12 AM",70.0889
"2010-08-03:12 AM",73.0724
"2010-08-04:12 AM",76.1644
"2010-08-05:12 AM",74.8047
"2010-08-06:12 AM",67.6146
"2010-08-07:12 AM",62.4036
"2010-08-08:12 AM",68.2587
"2010-08-09:12 AM",73.4409
"2010-08-10:12 AM",73.2096
"2010-08-11:12 AM",72.3754
"2010-08-12:12 AM",68.169
"2010-08-13:12 AM",68.428
"2010-08-14:12 AM",69.2231
"2010-08-15:12 AM",68.108
"2010-08-16:12 AM",71.2042
"2010-08-17:12 AM",69.0627
"2010-08-18:12 AM",67.1486
"2010-08-19:12 AM",69.8889
"2010-08-20:12 AM",64.8471
"2010-08-21:12 AM",65.4883
"2010-08-22:12 AM",65.4235
"2010-08-23:12 AM",60.9759
"2010-08-24:12 AM",63.3612
"2010-08-25:12 AM",63.6906
"2010-08-26:12 AM",62.6342
"2010-08-27:12 AM",58.8101
