"DateTime","(deg F) Mean Temperature (CFSR) at North Dakota, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",-7.0148
"2010-01-02:12 AM",-3.3565
"2010-01-03:12 AM",3.1444
"2010-01-04:12 AM",3.0493
"2010-01-05:12 AM",3.6016
"2010-01-06:12 AM",4.5145
"2010-01-07:12 AM",-8.5376
"2010-01-08:12 AM",-8.7389
"2010-01-09:12 AM",7.2243
"2010-01-10:12 AM",26.7175
"2010-01-11:12 AM",22.8987
"2010-01-12:12 AM",29.8967
"2010-01-13:12 AM",33.4198
"2010-01-14:12 AM",32.1397
"2010-01-15:12 AM",33.4483
"2010-01-16:12 AM",35.6169
"2010-01-17:12 AM",28.3608
"2010-01-18:12 AM",23.1618
"2010-01-19:12 AM",24.1295
"2010-01-20:12 AM",26.2414
"2010-01-21:12 AM",26.6821
"2010-01-22:12 AM",28.6936
"2010-01-23:12 AM",31.1828
"2010-01-24:12 AM",24.2937
"2010-01-25:12 AM",13.9698
"2010-01-26:12 AM",7.0585
"2010-01-27:12 AM",7.104
"2010-01-28:12 AM",2.8389
"2010-01-29:12 AM",7.6246
"2010-01-30:12 AM",6.9336
"2010-01-31:12 AM",2.2804
"2010-02-01:12 AM",4.9408
"2010-02-02:12 AM",7.6365
"2010-02-03:12 AM",15.7156
"2010-02-04:12 AM",17.9172
"2010-02-05:12 AM",22.077
"2010-02-06:12 AM",24.5305
"2010-02-07:12 AM",17.4488
"2010-02-08:12 AM",9.1666
"2010-02-09:12 AM",8.0607
"2010-02-10:12 AM",8.5887
"2010-02-11:12 AM",16.2277
"2010-02-12:12 AM",21.1897
"2010-02-13:12 AM",18.9642
"2010-02-14:12 AM",11.3551
"2010-02-15:12 AM",10.3474
"2010-02-16:12 AM",13.3662
"2010-02-17:12 AM",16.1875
"2010-02-18:12 AM",19.2252
"2010-02-19:12 AM",20.0005
"2010-02-20:12 AM",20.1438
"2010-02-21:12 AM",16.1998
"2010-02-22:12 AM",17.1219
"2010-02-23:12 AM",11.8071
"2010-02-24:12 AM",10.2713
"2010-02-25:12 AM",17.9364
"2010-02-26:12 AM",23.5477
"2010-02-27:12 AM",23.4658
"2010-02-28:12 AM",20.966
"2010-03-01:12 AM",20.6641
"2010-03-02:12 AM",27.9779
"2010-03-03:12 AM",26.3205
"2010-03-04:12 AM",30.403
"2010-03-05:12 AM",31.7406
"2010-03-06:12 AM",32.0335
"2010-03-07:12 AM",32.1478
"2010-03-08:12 AM",33.3142
"2010-03-09:12 AM",32.8942
"2010-03-10:12 AM",31.6681
"2010-03-11:12 AM",32.3964
"2010-03-12:12 AM",32.0234
"2010-03-13:12 AM",32.063
"2010-03-14:12 AM",34.0599
"2010-03-15:12 AM",33.7258
"2010-03-16:12 AM",32.0311
"2010-03-17:12 AM",35.4551
"2010-03-18:12 AM",38.4067
"2010-03-19:12 AM",25.218
"2010-03-20:12 AM",26.6349
"2010-03-21:12 AM",34.8748
"2010-03-22:12 AM",37.6909
"2010-03-23:12 AM",34.902
"2010-03-24:12 AM",35.3689
"2010-03-25:12 AM",24.9985
"2010-03-26:12 AM",33.4022
"2010-03-27:12 AM",35.0202
"2010-03-28:12 AM",39.8455
"2010-03-29:12 AM",48.607
"2010-03-30:12 AM",51.8589
"2010-03-31:12 AM",48.3042
"2010-04-01:12 AM",43.4817
"2010-04-02:12 AM",37.6891
"2010-04-03:12 AM",39.9515
"2010-04-04:12 AM",41.7663
"2010-04-05:12 AM",41.4826
"2010-04-06:12 AM",42.4038
"2010-04-07:12 AM",40.7613
"2010-04-08:12 AM",42.4197
"2010-04-09:12 AM",42.1506
"2010-04-10:12 AM",40.7579
"2010-04-11:12 AM",41.1296
"2010-04-12:12 AM",41.1022
"2010-04-13:12 AM",51.2154
"2010-04-14:12 AM",50.8946
"2010-04-15:12 AM",45.8202
"2010-04-16:12 AM",45.4483
"2010-04-17:12 AM",47.8728
"2010-04-18:12 AM",51.6493
"2010-04-19:12 AM",56.3949
"2010-04-20:12 AM",55.213
"2010-04-21:12 AM",53.0253
"2010-04-22:12 AM",55.7692
"2010-04-23:12 AM",57.7506
"2010-04-24:12 AM",54.5182
"2010-04-25:12 AM",49.977
"2010-04-26:12 AM",42.8562
"2010-04-27:12 AM",48.4349
"2010-04-28:12 AM",55.0206
"2010-04-29:12 AM",53.3631
"2010-04-30:12 AM",48.0832
"2010-05-01:12 AM",41.562
"2010-05-02:12 AM",38.6269
"2010-05-03:12 AM",44.8194
"2010-05-04:12 AM",46.8851
"2010-05-05:12 AM",39.8332
"2010-05-06:12 AM",37.8183
"2010-05-07:12 AM",36.6526
"2010-05-08:12 AM",40.4492
"2010-05-09:12 AM",43.0003
"2010-05-10:12 AM",46.2979
"2010-05-11:12 AM",45.7684
"2010-05-12:12 AM",43.741
"2010-05-13:12 AM",46.5132
"2010-05-14:12 AM",55.6597
"2010-05-15:12 AM",60.5318
"2010-05-16:12 AM",60.3914
"2010-05-17:12 AM",62.3786
"2010-05-18:12 AM",65.1115
"2010-05-19:12 AM",65.5945
"2010-05-20:12 AM",65.115
"2010-05-21:12 AM",62.0856
"2010-05-22:12 AM",62.028
"2010-05-23:12 AM",59.3892
"2010-05-24:12 AM",54.4345
"2010-05-25:12 AM",55.6111
"2010-05-26:12 AM",57.8059
"2010-05-27:12 AM",63.8112
"2010-05-28:12 AM",69.7527
"2010-05-29:12 AM",64.5103
"2010-05-30:12 AM",56.0835
"2010-05-31:12 AM",59.8564
"2010-06-01:12 AM",55.8925
"2010-06-02:12 AM",57.0013
"2010-06-03:12 AM",60.5784
"2010-06-04:12 AM",63.4989
"2010-06-05:12 AM",63.3124
"2010-06-06:12 AM",62.1819
"2010-06-07:12 AM",61.7407
