"DateTime","(deg F) Mean Temperature (CFSR) at Oklahoma, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",31.7106
"2010-01-02:12 AM",26.6279
"2010-01-03:12 AM",27.7817
"2010-01-04:12 AM",23.4556
"2010-01-05:12 AM",25.7472
"2010-01-06:12 AM",30.6095
"2010-01-07:12 AM",20.7707
"2010-01-08:12 AM",14.4532
"2010-01-09:12 AM",16.205
"2010-01-10:12 AM",22.8506
"2010-01-11:12 AM",34.9398
"2010-01-12:12 AM",34.3483
"2010-01-13:12 AM",41.6754
"2010-01-14:12 AM",46.5877
"2010-01-15:12 AM",44.938
"2010-01-16:12 AM",42.1833
"2010-01-17:12 AM",43.5229
"2010-01-18:12 AM",46.4304
"2010-01-19:12 AM",52.502
"2010-01-20:12 AM",51.8778
"2010-01-21:12 AM",45.5981
"2010-01-22:12 AM",49.9105
"2010-01-23:12 AM",52.1787
"2010-01-24:12 AM",43.8247
"2010-01-25:12 AM",40.0941
"2010-01-26:12 AM",37.404
"2010-01-27:12 AM",45.4894
"2010-01-28:12 AM",34.956
"2010-01-29:12 AM",27.3526
"2010-01-30:12 AM",27.8391
"2010-01-31:12 AM",30.826
"2010-02-01:12 AM",33.1552
"2010-02-02:12 AM",35.5224
"2010-02-03:12 AM",37.0794
"2010-02-04:12 AM",37.2119
"2010-02-05:12 AM",41.3202
"2010-02-06:12 AM",36.1944
"2010-02-07:12 AM",35.0033
"2010-02-08:12 AM",35.2269
"2010-02-09:12 AM",27.8568
"2010-02-10:12 AM",29.8837
"2010-02-11:12 AM",32.4322
"2010-02-12:12 AM",34.7378
"2010-02-13:12 AM",39.9439
"2010-02-14:12 AM",35.8849
"2010-02-15:12 AM",31.1252
"2010-02-16:12 AM",31.7455
"2010-02-17:12 AM",34.0749
"2010-02-18:12 AM",42.0251
"2010-02-19:12 AM",45.5049
"2010-02-20:12 AM",42.7658
"2010-02-21:12 AM",42.5377
"2010-02-22:12 AM",33.2321
"2010-02-23:12 AM",33.1698
"2010-02-24:12 AM",32.4939
"2010-02-25:12 AM",38.0577
"2010-02-26:12 AM",39.7866
"2010-02-27:12 AM",42.7732
"2010-02-28:12 AM",44.8549
"2010-03-01:12 AM",40.6938
"2010-03-02:12 AM",39.0196
"2010-03-03:12 AM",41.0209
"2010-03-04:12 AM",45.4914
"2010-03-05:12 AM",52.8521
"2010-03-06:12 AM",54.9259
"2010-03-07:12 AM",54.5909
"2010-03-08:12 AM",52.9563
"2010-03-09:12 AM",57.1692
"2010-03-10:12 AM",51.1853
"2010-03-11:12 AM",45.9696
"2010-03-12:12 AM",46.7794
"2010-03-13:12 AM",47.9079
"2010-03-14:12 AM",47.8184
"2010-03-15:12 AM",48.283
"2010-03-16:12 AM",49.017
"2010-03-17:12 AM",46.0936
"2010-03-18:12 AM",47.4264
"2010-03-19:12 AM",52.0558
"2010-03-20:12 AM",34.9081
"2010-03-21:12 AM",36.928
"2010-03-22:12 AM",46.0902
"2010-03-23:12 AM",55.8937
"2010-03-24:12 AM",55.4722
"2010-03-25:12 AM",50.3413
"2010-03-26:12 AM",50.7348
"2010-03-27:12 AM",53.4569
"2010-03-28:12 AM",49.9269
"2010-03-29:12 AM",53.5732
"2010-03-30:12 AM",63.3589
"2010-03-31:12 AM",71.2902
"2010-04-01:12 AM",69.6441
"2010-04-02:12 AM",65.6811
"2010-04-03:12 AM",57.225
"2010-04-04:12 AM",66.1617
"2010-04-05:12 AM",71.0101
"2010-04-06:12 AM",72.1209
"2010-04-07:12 AM",57.4754
"2010-04-08:12 AM",50.7803
"2010-04-09:12 AM",57.8678
"2010-04-10:12 AM",62.6698
"2010-04-11:12 AM",65.0262
"2010-04-12:12 AM",68.3001
"2010-04-13:12 AM",66.6847
"2010-04-14:12 AM",67.8533
"2010-04-15:12 AM",67.0069
"2010-04-16:12 AM",61.3539
"2010-04-17:12 AM",53.7656
"2010-04-18:12 AM",50.5963
"2010-04-19:12 AM",53.6835
"2010-04-20:12 AM",56.9212
"2010-04-21:12 AM",59.5116
"2010-04-22:12 AM",63.8996
"2010-04-23:12 AM",66.4149
"2010-04-24:12 AM",62.1165
"2010-04-25:12 AM",61.1469
"2010-04-26:12 AM",56.466
"2010-04-27:12 AM",55.0359
"2010-04-28:12 AM",61.6575
"2010-04-29:12 AM",73.2315
"2010-04-30:12 AM",70.6006
"2010-05-01:12 AM",60.0154
"2010-05-02:12 AM",62.1477
"2010-05-03:12 AM",64.5865
"2010-05-04:12 AM",67.2103
"2010-05-05:12 AM",71.1606
"2010-05-06:12 AM",72.4939
"2010-05-07:12 AM",69.4755
"2010-05-08:12 AM",57.4315
"2010-05-09:12 AM",57.0387
"2010-05-10:12 AM",65.3772
"2010-05-11:12 AM",69.744
"2010-05-12:12 AM",75.3931
"2010-05-13:12 AM",64.3384
"2010-05-14:12 AM",61.1494
"2010-05-15:12 AM",64.6641
"2010-05-16:12 AM",67.7089
"2010-05-17:12 AM",67.0732
"2010-05-18:12 AM",64.5283
"2010-05-19:12 AM",68.9547
"2010-05-20:12 AM",69.2391
"2010-05-21:12 AM",69.7303
"2010-05-22:12 AM",76.3093
"2010-05-23:12 AM",80.2627
"2010-05-24:12 AM",78.6456
"2010-05-25:12 AM",77.2281
"2010-05-26:12 AM",76.0163
"2010-05-27:12 AM",76.856
"2010-05-28:12 AM",78.0874
"2010-05-29:12 AM",78.7935
"2010-05-30:12 AM",79.5153
"2010-05-31:12 AM",78.3741
"2010-06-01:12 AM",82.8804
"2010-06-02:12 AM",84.1984
"2010-06-03:12 AM",80.9807
"2010-06-04:12 AM",82.0047
"2010-06-05:12 AM",84.8577
"2010-06-06:12 AM",83.4168
"2010-06-07:12 AM",83.2737
"2010-06-08:12 AM",86.6106
"2010-06-09:12 AM",83.3013
"2010-06-10:12 AM",81.6096
"2010-06-11:12 AM",87.073
"2010-06-12:12 AM",84.5618
"2010-06-13:12 AM",82.5591
"2010-06-14:12 AM",79.2169
"2010-06-15:12 AM",77.7891
"2010-06-16:12 AM",82.2549
"2010-06-17:12 AM",85.3788
"2010-06-18:12 AM",86.9724
"2010-06-19:12 AM",87.9013
"2010-06-20:12 AM",87.4674
"2010-06-21:12 AM",88.3668
"2010-06-22:12 AM",89.5393
"2010-06-23:12 AM",89.3723
"2010-06-24:12 AM",85.737
"2010-06-25:12 AM",85.3896
"2010-06-26:12 AM",86.821
"2010-06-27:12 AM",86.5724
"2010-06-28:12 AM",79.7763
"2010-06-29:12 AM",80.2683
"2010-06-30:12 AM",79.7945
"2010-07-01:12 AM",78.9262
"2010-07-02:12 AM",79.3893
"2010-07-03:12 AM",76.0397
"2010-07-04:12 AM",77.9675
"2010-07-05:12 AM",79.7295
"2010-07-06:12 AM",80.962
"2010-07-07:12 AM",78.7597
"2010-07-08:12 AM",76.4026
"2010-07-09:12 AM",76.0339
"2010-07-10:12 AM",77.5319
"2010-07-11:12 AM",82.4941
"2010-07-12:12 AM",82.8684
"2010-07-13:12 AM",85.7791
"2010-07-14:12 AM",87.2404
"2010-07-15:12 AM",87.6029
"2010-07-16:12 AM",87.6843
"2010-07-17:12 AM",89.1775
"2010-07-18:12 AM",89.6787
"2010-07-19:12 AM",89.049
"2010-07-20:12 AM",88.3713
"2010-07-21:12 AM",88.0327
"2010-07-22:12 AM",88.2952
"2010-07-23:12 AM",88.9335
"2010-07-24:12 AM",88.0315
"2010-07-25:12 AM",85.217
"2010-07-26:12 AM",85.1761
"2010-07-27:12 AM",82.5638
"2010-07-28:12 AM",81.9736
"2010-07-29:12 AM",84.1406
"2010-07-30:12 AM",87.5095
"2010-07-31:12 AM",89.8045
"2010-08-01:12 AM",91.2231
"2010-08-02:12 AM",93.9706
"2010-08-03:12 AM",93.3129
"2010-08-04:12 AM",92.2955
"2010-08-05:12 AM",87.638
"2010-08-06:12 AM",83.8852
"2010-08-07:12 AM",85.7005
"2010-08-08:12 AM",90.9059
"2010-08-09:12 AM",91.686
"2010-08-10:12 AM",90.7273
"2010-08-11:12 AM",91.4144
"2010-08-12:12 AM",91.9963
"2010-08-13:12 AM",94.5455
"2010-08-14:12 AM",94.2129
"2010-08-15:12 AM",89.6018
"2010-08-16:12 AM",84.4245
"2010-08-17:12 AM",81.2896
"2010-08-18:12 AM",81.7288
"2010-08-19:12 AM",84.2806
"2010-08-20:12 AM",89.9461
"2010-08-21:12 AM",90.8607
"2010-08-22:12 AM",88.1485
"2010-08-23:12 AM",90.2259
"2010-08-24:12 AM",80.5856
"2010-08-25:12 AM",75.0391
"2010-08-26:12 AM",73.8543
"2010-08-27:12 AM",76.0111
"2010-08-28:12 AM",80.3588
"2010-08-29:12 AM",84.0222
"2010-08-30:12 AM",84.1503
"2010-08-31:12 AM",87.3259
"2010-09-01:12 AM",82.6655
"2010-09-02:12 AM",82.8547
"2010-09-03:12 AM",71.8444
"2010-09-04:12 AM",70.0131
"2010-09-05:12 AM",77.1778
"2010-09-06:12 AM",84.2245
"2010-09-07:12 AM",77.5956
"2010-09-08:12 AM",72.5553
"2010-09-09:12 AM",77.509
"2010-09-10:12 AM",83.5732
"2010-09-11:12 AM",80.3381
"2010-09-12:12 AM",75.6288
"2010-09-13:12 AM",77.6734
"2010-09-14:12 AM",79.1424
"2010-09-15:12 AM",81.117
"2010-09-16:12 AM",78.9946
"2010-09-17:12 AM",78.0895
"2010-09-18:12 AM",81.754
"2010-09-19:12 AM",81.7689
"2010-09-20:12 AM",80.179
"2010-09-21:12 AM",79.891
"2010-09-22:12 AM",79.5304
"2010-09-23:12 AM",79.2417
"2010-09-24:12 AM",76.0476
"2010-09-25:12 AM",72.6327
"2010-09-26:12 AM",64.0924
"2010-09-27:12 AM",59.5571
"2010-09-28:12 AM",67.4262
"2010-09-29:12 AM",68.9387
"2010-09-30:12 AM",69.7725
"2010-10-01:12 AM",65.4107
"2010-10-02:12 AM",63.7225
"2010-10-03:12 AM",55.6329
"2010-10-04:12 AM",55.807
"2010-10-05:12 AM",59.9436
"2010-10-06:12 AM",64.6673
"2010-10-07:12 AM",70.2761
"2010-10-08:12 AM",71.5469
"2010-10-09:12 AM",70.1087
"2010-10-10:12 AM",68.4586
"2010-10-11:12 AM",64.8192
"2010-10-12:12 AM",64.4418
"2010-10-13:12 AM",63.5569
"2010-10-14:12 AM",59.3402
"2010-10-15:12 AM",65.8774
"2010-10-16:12 AM",69.4096
"2010-10-17:12 AM",68.2486
"2010-10-18:12 AM",68.6898
"2010-10-19:12 AM",63.489
"2010-10-20:12 AM",62.316
"2010-10-21:12 AM",67.0503
"2010-10-22:12 AM",68.0029
"2010-10-23:12 AM",67.2004
"2010-10-24:12 AM",65.4847
"2010-10-25:12 AM",69.1371
"2010-10-26:12 AM",61.9207
"2010-10-27:12 AM",57.9124
"2010-10-28:12 AM",52.5524
"2010-10-29:12 AM",51.9323
"2010-10-30:12 AM",59.7814
"2010-10-31:12 AM",61.7571
"2010-11-01:12 AM",58.2814
"2010-11-02:12 AM",55.0616
"2010-11-03:12 AM",55.8093
"2010-11-04:12 AM",53.1091
"2010-11-05:12 AM",45.1224
"2010-11-06:12 AM",49.1711
"2010-11-07:12 AM",56.5693
"2010-11-08:12 AM",60.7134
"2010-11-09:12 AM",62.937
"2010-11-10:12 AM",60.1972
"2010-11-11:12 AM",57.6583
"2010-11-12:12 AM",55.1106
"2010-11-13:12 AM",43.1499
"2010-11-14:12 AM",42.9094
"2010-11-15:12 AM",45.1801
"2010-11-16:12 AM",46.6176
"2010-11-17:12 AM",48.9601
"2010-11-18:12 AM",40.2787
"2010-11-19:12 AM",48.4898
"2010-11-20:12 AM",53.4117
"2010-11-21:12 AM",63.7902
"2010-11-22:12 AM",64.8313
"2010-11-23:12 AM",50.5828
"2010-11-24:12 AM",61.6968
"2010-11-25:12 AM",39.1672
"2010-11-26:12 AM",35.2906
"2010-11-27:12 AM",42.5667
"2010-11-28:12 AM",47.6965
"2010-11-29:12 AM",51.5874
"2010-11-30:12 AM",36.6435
"2010-12-01:12 AM",38.1456
"2010-12-02:12 AM",44.0604
"2010-12-03:12 AM",50.3078
"2010-12-04:12 AM",48.0983
"2010-12-05:12 AM",33.7937
"2010-12-06:12 AM",30.9394
"2010-12-07:12 AM",36.8105
"2010-12-08:12 AM",38.3266
"2010-12-09:12 AM",44.1648
"2010-12-10:12 AM",45.0822
"2010-12-11:12 AM",46.9252
"2010-12-12:12 AM",31.4434
"2010-12-13:12 AM",30.448
"2010-12-14:12 AM",34.6433
"2010-12-15:12 AM",44.8324
"2010-12-16:12 AM",40.2451
"2010-12-17:12 AM",38.3398
"2010-12-18:12 AM",36.1764
"2010-12-19:12 AM",40.4848
"2010-12-20:12 AM",53.2548
"2010-12-21:12 AM",51.4296
"2010-12-22:12 AM",38.4645
"2010-12-23:12 AM",35.5118
"2010-12-24:12 AM",38.743
"2010-12-25:12 AM",31.1301
"2010-12-26:12 AM",26.9703
"2010-12-27:12 AM",32.1035
"2010-12-28:12 AM",37.3395
"2010-12-29:12 AM",47.6834
"2010-12-30:12 AM",58.2904
"2010-12-31:12 AM",47.896
"2011-01-01:12 AM",25.5655
"2011-01-02:12 AM",27.8575
"2011-01-03:12 AM",35.7908
"2011-01-04:12 AM",35.3948
"2011-01-05:12 AM",39.1435
"2011-01-06:12 AM",43.1508
"2011-01-07:12 AM",48.5064
"2011-01-08:12 AM",37.3345
"2011-01-09:12 AM",32.8917
"2011-01-10:12 AM",28.0801
"2011-01-11:12 AM",18.8584
"2011-01-12:12 AM",16.3733
"2011-01-13:12 AM",23.112
"2011-01-14:12 AM",31.7221
"2011-01-15:12 AM",38.3153
"2011-01-16:12 AM",36.8542
"2011-01-17:12 AM",42.8178
"2011-01-18:12 AM",41.3222
"2011-01-19:12 AM",35.1739
"2011-01-20:12 AM",25.8373
"2011-01-21:12 AM",28.0531
"2011-01-22:12 AM",37.3021
"2011-01-23:12 AM",35.4175
"2011-01-24:12 AM",32.6539
"2011-01-25:12 AM",34.797
"2011-01-26:12 AM",37.3878
"2011-01-27:12 AM",41.8577
"2011-01-28:12 AM",51.4294
"2011-01-29:12 AM",55.2754
"2011-01-30:12 AM",43.3175
"2011-01-31:12 AM",36.8461
"2011-02-01:12 AM",16.0491
"2011-02-02:12 AM",9.7407
"2011-02-03:12 AM",7.4691
"2011-02-04:12 AM",16.1724
"2011-02-05:12 AM",29.1036
"2011-02-06:12 AM",36.3443
"2011-02-07:12 AM",32.2
"2011-02-08:12 AM",27.2316
"2011-02-09:12 AM",14.6426
"2011-02-10:12 AM",11.1763
"2011-02-11:12 AM",23.3454
"2011-02-12:12 AM",34.7718
"2011-02-13:12 AM",43.495
"2011-02-14:12 AM",47.525
"2011-02-15:12 AM",52.443
"2011-02-16:12 AM",59.1276
"2011-02-17:12 AM",65.4325
"2011-02-18:12 AM",60.3003
"2011-02-19:12 AM",62.951
"2011-02-20:12 AM",64.8178
"2011-02-21:12 AM",50.7495
"2011-02-22:12 AM",41.662
"2011-02-23:12 AM",55.2322
"2011-02-24:12 AM",55.1075
"2011-02-25:12 AM",36.2768
"2011-02-26:12 AM",42.3802
"2011-02-27:12 AM",62.3703
"2011-02-28:12 AM",48.0173
"2011-03-01:12 AM",49.6074
"2011-03-02:12 AM",53.218
"2011-03-03:12 AM",57.3391
"2011-03-04:12 AM",57.5359
"2011-03-05:12 AM",41.6458
"2011-03-06:12 AM",42.602
"2011-03-07:12 AM",49.8367
"2011-03-08:12 AM",48.7337
"2011-03-09:12 AM",44.622
"2011-03-10:12 AM",46.614
"2011-03-11:12 AM",57.0517
"2011-03-12:12 AM",58.7853
"2011-03-13:12 AM",53.1511
"2011-03-14:12 AM",43.9675
"2011-03-15:12 AM",46.3516
"2011-03-16:12 AM",57.1692
"2011-03-17:12 AM",68.8442
"2011-03-18:12 AM",61.2279
"2011-03-19:12 AM",58.9464
"2011-03-20:12 AM",67.7266
"2011-03-21:12 AM",66.9342
"2011-03-22:12 AM",71.0879
"2011-03-23:12 AM",61.8469
"2011-03-24:12 AM",52.0668
"2011-03-25:12 AM",58.017
"2011-03-26:12 AM",50.9828
"2011-03-27:12 AM",41.5989
"2011-03-28:12 AM",42.9719
"2011-03-29:12 AM",44.1502
"2011-03-30:12 AM",43.0894
"2011-03-31:12 AM",49.7077
"2011-04-01:12 AM",59.3658
"2011-04-02:12 AM",63.9711
"2011-04-03:12 AM",77.8158
"2011-04-04:12 AM",56.5399
"2011-04-05:12 AM",53.863
"2011-04-06:12 AM",67.5338
"2011-04-07:12 AM",68.7762
"2011-04-08:12 AM",72.1812
"2011-04-09:12 AM",78.2816
"2011-04-10:12 AM",77.4489
"2011-04-11:12 AM",64.6056
"2011-04-12:12 AM",60.5088
"2011-04-13:12 AM",67.2492
"2011-04-14:12 AM",67.0699
"2011-04-15:12 AM",54.1526
"2011-04-16:12 AM",55.1446
"2011-04-17:12 AM",65.8155
"2011-04-18:12 AM",73.7607
"2011-04-19:12 AM",73.9787
"2011-04-20:12 AM",55.6522
"2011-04-21:12 AM",57.6669
"2011-04-22:12 AM",73.1007
"2011-04-23:12 AM",64.1266
"2011-04-24:12 AM",56.7779
"2011-04-25:12 AM",61.4847
"2011-04-26:12 AM",56.2906
"2011-04-27:12 AM",53.6666
"2011-04-28:12 AM",58.352
"2011-04-29:12 AM",67.606
"2011-04-30:12 AM",67.0309
"2011-05-01:12 AM",49.5786
"2011-05-02:12 AM",48.7796
"2011-05-03:12 AM",54.4386
"2011-05-04:12 AM",61.9052
"2011-05-05:12 AM",63.4966
"2011-05-06:12 AM",65.9487
"2011-05-07:12 AM",78.3955
"2011-05-08:12 AM",79.7875
"2011-05-09:12 AM",83.0844
"2011-05-10:12 AM",80.4826
"2011-05-11:12 AM",75.2536
"2011-05-12:12 AM",70.0907
"2011-05-13:12 AM",61.6507
"2011-05-14:12 AM",55.9614
"2011-05-15:12 AM",57.1928
"2011-05-16:12 AM",59.0225
"2011-05-17:12 AM",62.9523
"2011-05-18:12 AM",68.3566
"2011-05-19:12 AM",73.4931
"2011-05-20:12 AM",73.965
"2011-05-21:12 AM",74.3302
"2011-05-22:12 AM",79.1024
"2011-05-23:12 AM",79.5598
