"DateTime","(deg F) Mean Temperature (CFSR) at Oregon, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",39.1982
"2010-01-02:12 AM",36.2176
"2010-01-03:12 AM",34.2513
"2010-01-04:12 AM",36.1845
"2010-01-05:12 AM",40.6094
"2010-01-06:12 AM",39.4016
"2010-01-07:12 AM",34.6321
"2010-01-08:12 AM",33.7415
"2010-01-09:12 AM",36.9657
"2010-01-10:12 AM",35.9868
"2010-01-11:12 AM",39.5497
"2010-01-12:12 AM",41.2538
"2010-01-13:12 AM",40.1185
"2010-01-14:12 AM",36.9572
"2010-01-15:12 AM",38.4665
"2010-01-16:12 AM",38.8238
"2010-01-17:12 AM",37.9614
"2010-01-18:12 AM",39.2185
"2010-01-19:12 AM",37.7238
"2010-01-20:12 AM",35.731
"2010-01-21:12 AM",35.7566
"2010-01-22:12 AM",34.3134
"2010-01-23:12 AM",32.6377
"2010-01-24:12 AM",32.3992
"2010-01-25:12 AM",37.105
"2010-01-26:12 AM",36.2021
"2010-01-27:12 AM",33.4983
"2010-01-28:12 AM",34.1065
"2010-01-29:12 AM",35.5379
"2010-01-30:12 AM",34.9414
"2010-01-31:12 AM",35.4603
"2010-02-01:12 AM",33.5858
"2010-02-02:12 AM",35.8236
"2010-02-03:12 AM",35.9069
"2010-02-04:12 AM",35.7728
"2010-02-05:12 AM",38.6827
"2010-02-06:12 AM",36.9081
"2010-02-07:12 AM",35.4106
"2010-02-08:12 AM",35.0015
"2010-02-09:12 AM",34.3845
"2010-02-10:12 AM",33.4319
"2010-02-11:12 AM",38.4359
"2010-02-12:12 AM",39.4066
"2010-02-13:12 AM",41.1055
"2010-02-14:12 AM",41.2147
"2010-02-15:12 AM",40.0836
"2010-02-16:12 AM",42.3064
"2010-02-17:12 AM",40.491
"2010-02-18:12 AM",38.1418
"2010-02-19:12 AM",36.6674
"2010-02-20:12 AM",34.2509
"2010-02-21:12 AM",32.4234
"2010-02-22:12 AM",33.9976
"2010-02-23:12 AM",34.8309
"2010-02-24:12 AM",38.21
"2010-02-25:12 AM",39.5593
"2010-02-26:12 AM",40.2064
"2010-02-27:12 AM",41.2408
"2010-02-28:12 AM",40.1124
"2010-03-01:12 AM",42.3806
"2010-03-02:12 AM",43.1631
"2010-03-03:12 AM",39.4101
"2010-03-04:12 AM",38.5542
"2010-03-05:12 AM",39.1107
"2010-03-06:12 AM",40.8263
"2010-03-07:12 AM",41.3967
"2010-03-08:12 AM",36.7702
"2010-03-09:12 AM",30.3996
"2010-03-10:12 AM",33.147
"2010-03-11:12 AM",36.5887
"2010-03-12:12 AM",38.8436
"2010-03-13:12 AM",34.3526
"2010-03-14:12 AM",36.5004
"2010-03-15:12 AM",41.8476
"2010-03-16:12 AM",46.2346
"2010-03-17:12 AM",43.1101
"2010-03-18:12 AM",39.4936
"2010-03-19:12 AM",41.7047
"2010-03-20:12 AM",46.0812
"2010-03-21:12 AM",43.7938
"2010-03-22:12 AM",38.9979
"2010-03-23:12 AM",39.7296
"2010-03-24:12 AM",44.4954
"2010-03-25:12 AM",40.3065
"2010-03-26:12 AM",36.6238
"2010-03-27:12 AM",40.7953
"2010-03-28:12 AM",43.9241
"2010-03-29:12 AM",44.8543
"2010-03-30:12 AM",36.1305
"2010-03-31:12 AM",34.34
"2010-04-01:12 AM",33.552
"2010-04-02:12 AM",33.2548
"2010-04-03:12 AM",32.9355
"2010-04-04:12 AM",34.8811
