"DateTime","(deg F) Mean Temperature (CFSR) at South Carolina, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",43.2531
"2010-01-02:12 AM",31.7286
"2010-01-03:12 AM",28.2456
"2010-01-04:12 AM",27.3567
"2010-01-05:12 AM",27.9194
"2010-01-06:12 AM",28.7346
"2010-01-07:12 AM",33.4141
"2010-01-08:12 AM",32.5301
"2010-01-09:12 AM",27.4829
"2010-01-10:12 AM",27.4644
"2010-01-11:12 AM",30.0618
"2010-01-12:12 AM",33.2361
"2010-01-13:12 AM",31.2541
"2010-01-14:12 AM",36.1859
"2010-01-15:12 AM",40.7649
"2010-01-16:12 AM",46.4248
"2010-01-17:12 AM",56.9932
"2010-01-18:12 AM",50.0864
"2010-01-19:12 AM",50.4532
"2010-01-20:12 AM",54.1596
"2010-01-21:12 AM",49.3169
"2010-01-22:12 AM",43.5999
"2010-01-23:12 AM",43.2021
"2010-01-24:12 AM",54.5281
"2010-01-25:12 AM",54.2179
"2010-01-26:12 AM",42.5052
"2010-01-27:12 AM",37.9585
"2010-01-28:12 AM",43.4251
"2010-01-29:12 AM",44.0591
"2010-01-30:12 AM",34.7061
"2010-01-31:12 AM",30.942
"2010-02-01:12 AM",35.908
"2010-02-02:12 AM",41.7627
"2010-02-03:12 AM",41.0369
"2010-02-04:12 AM",40.3302
"2010-02-05:12 AM",46.5346
"2010-02-06:12 AM",43.8346
"2010-02-07:12 AM",37.9827
"2010-02-08:12 AM",40.0851
"2010-02-09:12 AM",45.2424
"2010-02-10:12 AM",35.3246
"2010-02-11:12 AM",34.8211
"2010-02-12:12 AM",34.7934
"2010-02-13:12 AM",34.2709
"2010-02-14:12 AM",34.7607
"2010-02-15:12 AM",40.0883
"2010-02-16:12 AM",33.0688
"2010-02-17:12 AM",33.0742
"2010-02-18:12 AM",35.3017
"2010-02-19:12 AM",39.38
"2010-02-20:12 AM",42.7147
"2010-02-21:12 AM",45.9446
"2010-02-22:12 AM",51.2343
"2010-02-23:12 AM",51.5266
"2010-02-24:12 AM",45.8625
"2010-02-25:12 AM",35.1439
"2010-02-26:12 AM",35.733
"2010-02-27:12 AM",38.6647
"2010-02-28:12 AM",39.6284
"2010-03-01:12 AM",39.7324
"2010-03-02:12 AM",39.5442
"2010-03-03:12 AM",39.9484
"2010-03-04:12 AM",39.9792
"2010-03-05:12 AM",39.4525
"2010-03-06:12 AM",40.0393
"2010-03-07:12 AM",43.5843
"2010-03-08:12 AM",48.4702
"2010-03-09:12 AM",55.4126
"2010-03-10:12 AM",55.4227
"2010-03-11:12 AM",55.5215
"2010-03-12:12 AM",59.43
"2010-03-13:12 AM",54.4991
"2010-03-14:12 AM",47.5943
"2010-03-15:12 AM",50.0322
"2010-03-16:12 AM",50.1832
"2010-03-17:12 AM",48.8953
"2010-03-18:12 AM",50.7825
"2010-03-19:12 AM",54.8379
"2010-03-20:12 AM",57.6921
"2010-03-21:12 AM",57.1041
"2010-03-22:12 AM",49.5831
"2010-03-23:12 AM",48.3078
"2010-03-24:12 AM",55.9083
"2010-03-25:12 AM",58.4982
"2010-03-26:12 AM",58.037
"2010-03-27:12 AM",50.0824
"2010-03-28:12 AM",57.0024
"2010-03-29:12 AM",59.6376
"2010-03-30:12 AM",55.5564
"2010-03-31:12 AM",57.6194
"2010-04-01:12 AM",63.7851
"2010-04-02:12 AM",65.8895
"2010-04-03:12 AM",64.1878
"2010-04-04:12 AM",67.4658
"2010-04-05:12 AM",69.5448
"2010-04-06:12 AM",70.8152
"2010-04-07:12 AM",69.6337
"2010-04-08:12 AM",67.6609
"2010-04-09:12 AM",59.1076
"2010-04-10:12 AM",55.6819
"2010-04-11:12 AM",57.4471
"2010-04-12:12 AM",60.4357
"2010-04-13:12 AM",62.2958
"2010-04-14:12 AM",61.0025
"2010-04-15:12 AM",58.5732
"2010-04-16:12 AM",65.4928
"2010-04-17:12 AM",69.224
"2010-04-18:12 AM",60.8216
"2010-04-19:12 AM",56.7255
"2010-04-20:12 AM",60.1021
"2010-04-21:12 AM",61.5501
"2010-04-22:12 AM",61.804
"2010-04-23:12 AM",68.9884
"2010-04-24:12 AM",67.3083
"2010-04-25:12 AM",69.2258
"2010-04-26:12 AM",66.7144
"2010-04-27:12 AM",60.2609
"2010-04-28:12 AM",56.017
"2010-04-29:12 AM",58.8614
"2010-04-30:12 AM",67.2787
"2010-05-01:12 AM",71.4254
"2010-05-02:12 AM",77.4793
"2010-05-03:12 AM",75.052
"2010-05-04:12 AM",70.669
"2010-05-05:12 AM",71.1302
"2010-05-06:12 AM",73.9539
"2010-05-07:12 AM",76.4859
"2010-05-08:12 AM",75.9605
"2010-05-09:12 AM",61.6221
"2010-05-10:12 AM",60.6843
"2010-05-11:12 AM",65.5705
"2010-05-12:12 AM",72.1987
"2010-05-13:12 AM",75.2468
"2010-05-14:12 AM",76.1949
"2010-05-15:12 AM",76.4559
"2010-05-16:12 AM",74.7817
"2010-05-17:12 AM",71.49
"2010-05-18:12 AM",72.2131
"2010-05-19:12 AM",72.4735
"2010-05-20:12 AM",71.613
"2010-05-21:12 AM",72.0914
"2010-05-22:12 AM",72.0765
"2010-05-23:12 AM",74.3295
"2010-05-24:12 AM",69.7953
"2010-05-25:12 AM",71.8111
"2010-05-26:12 AM",72.558
"2010-05-27:12 AM",76.1778
"2010-05-28:12 AM",78.1893
"2010-05-29:12 AM",73.4191
"2010-05-30:12 AM",73.6066
"2010-05-31:12 AM",74.0269
"2010-06-01:12 AM",75.4797
"2010-06-02:12 AM",76.5432
"2010-06-03:12 AM",76.8682
"2010-06-04:12 AM",77.4354
"2010-06-05:12 AM",80.4517
"2010-06-06:12 AM",81.2406
"2010-06-07:12 AM",77.0783
"2010-06-08:12 AM",76.5084
"2010-06-09:12 AM",78.8776
"2010-06-10:12 AM",82.4506
"2010-06-11:12 AM",82.7805
"2010-06-12:12 AM",83.4769
"2010-06-13:12 AM",86.5087
"2010-06-14:12 AM",87.0129
"2010-06-15:12 AM",87.6472
"2010-06-16:12 AM",84.1818
"2010-06-17:12 AM",85.2382
"2010-06-18:12 AM",81.7075
"2010-06-19:12 AM",81.4753
"2010-06-20:12 AM",82.8932
"2010-06-21:12 AM",82.6005
"2010-06-22:12 AM",85.237
"2010-06-23:12 AM",87.6303
"2010-06-24:12 AM",87.7091
"2010-06-25:12 AM",87.8346
"2010-06-26:12 AM",87.3945
"2010-06-27:12 AM",86.4397
"2010-06-28:12 AM",86.531
"2010-06-29:12 AM",86.122
"2010-06-30:12 AM",79.8681
"2010-07-01:12 AM",78.2843
"2010-07-02:12 AM",77.0126
"2010-07-03:12 AM",74.0961
"2010-07-04:12 AM",75.1012
"2010-07-05:12 AM",78.0724
"2010-07-06:12 AM",81.7363
"2010-07-07:12 AM",84.9722
"2010-07-08:12 AM",87.3394
"2010-07-09:12 AM",88.8337
"2010-07-10:12 AM",86.1328
"2010-07-11:12 AM",84.0231
"2010-07-12:12 AM",82.1196
"2010-07-13:12 AM",82.6583
"2010-07-14:12 AM",82.539
"2010-07-15:12 AM",81.8193
"2010-07-16:12 AM",83.9109
"2010-07-17:12 AM",84.249
"2010-07-18:12 AM",81.4183
"2010-07-19:12 AM",83.8922
"2010-07-20:12 AM",86.3843
"2010-07-21:12 AM",87.3955
"2010-07-22:12 AM",88.4784
"2010-07-23:12 AM",89.3521
"2010-07-24:12 AM",87.8558
"2010-07-25:12 AM",89.2992
"2010-07-26:12 AM",89.609
"2010-07-27:12 AM",87.0562
"2010-07-28:12 AM",86.5004
"2010-07-29:12 AM",87.042
"2010-07-30:12 AM",86.2507
"2010-07-31:12 AM",82.4801
"2010-08-01:12 AM",79.788
"2010-08-02:12 AM",78.6976
"2010-08-03:12 AM",82.4821
"2010-08-04:12 AM",84.3588
"2010-08-05:12 AM",86.7472
"2010-08-06:12 AM",86.1755
"2010-08-07:12 AM",82.1968
"2010-08-08:12 AM",82.353
"2010-08-09:12 AM",83.4301
"2010-08-10:12 AM",84.5505
"2010-08-11:12 AM",85.9152
"2010-08-12:12 AM",85.9264
"2010-08-13:12 AM",87.9908
"2010-08-14:12 AM",82.8104
"2010-08-15:12 AM",80.7251
"2010-08-16:12 AM",80.7548
"2010-08-17:12 AM",81.3027
"2010-08-18:12 AM",83.854
"2010-08-19:12 AM",83.3914
"2010-08-20:12 AM",82.3374
"2010-08-21:12 AM",80.8738
"2010-08-22:12 AM",81.6417
"2010-08-23:12 AM",80.8021
"2010-08-24:12 AM",78.6546
"2010-08-25:12 AM",78.6088
"2010-08-26:12 AM",78.546
"2010-08-27:12 AM",77.8222
"2010-08-28:12 AM",77.9137
"2010-08-29:12 AM",77.5031
"2010-08-30:12 AM",76.2436
"2010-08-31:12 AM",76.8475
"2010-09-01:12 AM",79.5735
"2010-09-02:12 AM",77.0578
"2010-09-03:12 AM",80.9933
"2010-09-04:12 AM",79.1353
"2010-09-05:12 AM",72.7173
"2010-09-06:12 AM",74.9073
"2010-09-07:12 AM",77.5027
"2010-09-08:12 AM",79.8777
"2010-09-09:12 AM",79.8411
"2010-09-10:12 AM",77.4198
"2010-09-11:12 AM",78.6839
"2010-09-12:12 AM",78.5424
"2010-09-13:12 AM",72.2957
"2010-09-14:12 AM",74.3668
"2010-09-15:12 AM",76.685
"2010-09-16:12 AM",76.7284
"2010-09-17:12 AM",80.0406
"2010-09-18:12 AM",79.7139
"2010-09-19:12 AM",74.3121
"2010-09-20:12 AM",77.1411
"2010-09-21:12 AM",78.8176
"2010-09-22:12 AM",79.0333
"2010-09-23:12 AM",78.8616
"2010-09-24:12 AM",76.8837
"2010-09-25:12 AM",77.6926
"2010-09-26:12 AM",72.4577
"2010-09-27:12 AM",71.5048
"2010-09-28:12 AM",66.7049
"2010-09-29:12 AM",65.7351
"2010-09-30:12 AM",69.2008
"2010-10-01:12 AM",67.0429
"2010-10-02:12 AM",62.6652
"2010-10-03:12 AM",61.1514
"2010-10-04:12 AM",58.4343
"2010-10-05:12 AM",57.8851
"2010-10-06:12 AM",56.1414
"2010-10-07:12 AM",61.9923
"2010-10-08:12 AM",63.6802
"2010-10-09:12 AM",63.2482
"2010-10-10:12 AM",65.9478
"2010-10-11:12 AM",69.0224
"2010-10-12:12 AM",71.8939
"2010-10-13:12 AM",69.8531
"2010-10-14:12 AM",66.5785
"2010-10-15:12 AM",59.5886
"2010-10-16:12 AM",55.7782
"2010-10-17:12 AM",58.3939
"2010-10-18:12 AM",62.6637
"2010-10-19:12 AM",65.1666
"2010-10-20:12 AM",64.8642
"2010-10-21:12 AM",62.6841
"2010-10-22:12 AM",59.5234
"2010-10-23:12 AM",56.6814
"2010-10-24:12 AM",62.7289
"2010-10-25:12 AM",69.0012
"2010-10-26:12 AM",73.7679
"2010-10-27:12 AM",76.0406
"2010-10-28:12 AM",73.0958
"2010-10-29:12 AM",57.7787
"2010-10-30:12 AM",53.2395
"2010-10-31:12 AM",59.5854
"2010-11-01:12 AM",57.8404
"2010-11-02:12 AM",54.3781
"2010-11-03:12 AM",53.2126
"2010-11-04:12 AM",54.8467
"2010-11-05:12 AM",48.8102
"2010-11-06:12 AM",44.2094
"2010-11-07:12 AM",41.6358
"2010-11-08:12 AM",48.2652
"2010-11-09:12 AM",55.6887
"2010-11-10:12 AM",56.2478
"2010-11-11:12 AM",55.441
"2010-11-12:12 AM",51.3246
"2010-11-13:12 AM",48.6259
"2010-11-14:12 AM",49.2249
"2010-11-15:12 AM",56.2059
"2010-11-16:12 AM",64.3552
"2010-11-17:12 AM",57.1863
"2010-11-18:12 AM",49.6531
"2010-11-19:12 AM",48.942
"2010-11-20:12 AM",52.7711
"2010-11-21:12 AM",56.4105
"2010-11-22:12 AM",58.6233
"2010-11-23:12 AM",64.5193
"2010-11-24:12 AM",59.8446
"2010-11-25:12 AM",59.8384
"2010-11-26:12 AM",62.6171
"2010-11-27:12 AM",45.9005
"2010-11-28:12 AM",42.3032
"2010-11-29:12 AM",46.6812
"2010-11-30:12 AM",63.4719
"2010-12-01:12 AM",49.8643
"2010-12-02:12 AM",38.5929
"2010-12-03:12 AM",40.6407
"2010-12-04:12 AM",44.2886
"2010-12-05:12 AM",40.4058
"2010-12-06:12 AM",32.4439
"2010-12-07:12 AM",28.661
"2010-12-08:12 AM",28.4887
"2010-12-09:12 AM",31.1922
"2010-12-10:12 AM",35.6144
"2010-12-11:12 AM",38.8787
"2010-12-12:12 AM",40.6539
"2010-12-13:12 AM",28.8475
"2010-12-14:12 AM",25.6829
"2010-12-15:12 AM",27.4559
"2010-12-16:12 AM",43.8148
"2010-12-17:12 AM",50.2324
"2010-12-18:12 AM",40.379
"2010-12-19:12 AM",36.673
"2010-12-20:12 AM",33.7919
"2010-12-21:12 AM",39.3656
"2010-12-22:12 AM",50.3843
"2010-12-23:12 AM",39.8916
"2010-12-24:12 AM",34.7652
"2010-12-25:12 AM",37.5085
"2010-12-26:12 AM",33.7064
"2010-12-27:12 AM",31.163
"2010-12-28:12 AM",33.1956
"2010-12-29:12 AM",35.0742
"2010-12-30:12 AM",39.1237
"2010-12-31:12 AM",45.9927
"2011-01-01:12 AM",55.8316
"2011-01-02:12 AM",56.6094
"2011-01-03:12 AM",38.3886
"2011-01-04:12 AM",40.125
"2011-01-05:12 AM",40.0354
"2011-01-06:12 AM",42.8605
"2011-01-07:12 AM",42.2285
"2011-01-08:12 AM",38.8706
"2011-01-09:12 AM",29.8693
"2011-01-10:12 AM",29.3772
"2011-01-11:12 AM",32.0887
"2011-01-12:12 AM",27.5112
"2011-01-13:12 AM",24.433
"2011-01-14:12 AM",26.5379
"2011-01-15:12 AM",31.757
"2011-01-16:12 AM",35.7744
"2011-01-17:12 AM",38.6825
"2011-01-18:12 AM",41.6541
"2011-01-19:12 AM",45.4748
"2011-01-20:12 AM",44.418
"2011-01-21:12 AM",41.4172
"2011-01-22:12 AM",32.7639
"2011-01-23:12 AM",32.6631
"2011-01-24:12 AM",36.9849
"2011-01-25:12 AM",39.8647
"2011-01-26:12 AM",43.4311
"2011-01-27:12 AM",38.0721
"2011-01-28:12 AM",44.0643
"2011-01-29:12 AM",45.1213
"2011-01-30:12 AM",53.4736
"2011-01-31:12 AM",49.3045
"2011-02-01:12 AM",45.7542
"2011-02-02:12 AM",56.4219
"2011-02-03:12 AM",40.5507
"2011-02-04:12 AM",37.5089
"2011-02-05:12 AM",44.2416
"2011-02-06:12 AM",41.4131
"2011-02-07:12 AM",40.1706
"2011-02-08:12 AM",41.7999
"2011-02-09:12 AM",37.9092
"2011-02-10:12 AM",38.9845
"2011-02-11:12 AM",36.1627
"2011-02-12:12 AM",39.3073
"2011-02-13:12 AM",42.5161
"2011-02-14:12 AM",50.5067
"2011-02-15:12 AM",48.5816
"2011-02-16:12 AM",48.952
"2011-02-17:12 AM",56.0755
"2011-02-18:12 AM",59.8424
"2011-02-19:12 AM",57.6801
"2011-02-20:12 AM",50.5605
"2011-02-21:12 AM",59.2669
"2011-02-22:12 AM",62.6733
"2011-02-23:12 AM",48.7279
"2011-02-24:12 AM",51.6463
"2011-02-25:12 AM",61.923
"2011-02-26:12 AM",50.7173
"2011-02-27:12 AM",58.9449
"2011-02-28:12 AM",66.0873
"2011-03-01:12 AM",54.1965
"2011-03-02:12 AM",47.7462
"2011-03-03:12 AM",50.0612
"2011-03-04:12 AM",46.701
"2011-03-05:12 AM",55.0674
"2011-03-06:12 AM",57.0088
"2011-03-07:12 AM",44.4445
"2011-03-08:12 AM",47.6631
"2011-03-09:12 AM",56.3254
"2011-03-10:12 AM",55.6518
"2011-03-11:12 AM",44.3671
"2011-03-12:12 AM",48.5872
