"DateTime","(deg F) Mean Temperature (CFSR) at Tennessee, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",29.9925
"2010-01-02:12 AM",21.5515
"2010-01-03:12 AM",18.943
"2010-01-04:12 AM",18.8152
"2010-01-05:12 AM",18.1409
"2010-01-06:12 AM",20.3871
"2010-01-07:12 AM",26.3388
"2010-01-08:12 AM",16.0889
"2010-01-09:12 AM",17.4238
"2010-01-10:12 AM",17.6563
"2010-01-11:12 AM",26.0697
"2010-01-12:12 AM",27.1254
"2010-01-13:12 AM",26.9251
"2010-01-14:12 AM",34.0133
"2010-01-15:12 AM",37.8405
"2010-01-16:12 AM",42.9111
"2010-01-17:12 AM",45.3369
"2010-01-18:12 AM",43.3593
"2010-01-19:12 AM",49.2294
"2010-01-20:12 AM",52.6539
"2010-01-21:12 AM",52.7076
"2010-01-22:12 AM",45.5513
"2010-01-23:12 AM",45.3481
"2010-01-24:12 AM",49.8895
"2010-01-25:12 AM",39.0501
"2010-01-26:12 AM",31.2879
"2010-01-27:12 AM",31.8825
"2010-01-28:12 AM",36.765
"2010-01-29:12 AM",27.9952
"2010-01-30:12 AM",28.2085
"2010-01-31:12 AM",26.8632
"2010-02-01:12 AM",32.7598
"2010-02-02:12 AM",36.849
"2010-02-03:12 AM",34.3839
"2010-02-04:12 AM",36.3691
"2010-02-05:12 AM",40.1688
"2010-02-06:12 AM",34.2774
"2010-02-07:12 AM",30.3091
"2010-02-08:12 AM",31.2708
"2010-02-09:12 AM",33.7307
"2010-02-10:12 AM",26.0868
"2010-02-11:12 AM",28.6515
"2010-02-12:12 AM",29.5725
"2010-02-13:12 AM",28.8
"2010-02-14:12 AM",33.1828
"2010-02-15:12 AM",28.6999
"2010-02-16:12 AM",25.6674
"2010-02-17:12 AM",27.5958
"2010-02-18:12 AM",30.6666
"2010-02-19:12 AM",34.2381
"2010-02-20:12 AM",39.3229
"2010-02-21:12 AM",46.6048
"2010-02-22:12 AM",45.8337
"2010-02-23:12 AM",37.1874
"2010-02-24:12 AM",31.1715
"2010-02-25:12 AM",26.8934
"2010-02-26:12 AM",29.7946
"2010-02-27:12 AM",31.7516
"2010-02-28:12 AM",33.5889
"2010-03-01:12 AM",34.8071
"2010-03-02:12 AM",35.7312
"2010-03-03:12 AM",34.4421
"2010-03-04:12 AM",34.1782
"2010-03-05:12 AM",34.961
"2010-03-06:12 AM",36.4986
"2010-03-07:12 AM",40.0717
"2010-03-08:12 AM",49.0159
"2010-03-09:12 AM",51.6108
"2010-03-10:12 AM",56.0158
"2010-03-11:12 AM",56.59
"2010-03-12:12 AM",51.2852
"2010-03-13:12 AM",43.6554
"2010-03-14:12 AM",43.099
"2010-03-15:12 AM",43.4394
"2010-03-16:12 AM",44.9771
"2010-03-17:12 AM",46.6257
"2010-03-18:12 AM",49.0444
"2010-03-19:12 AM",49.1113
"2010-03-20:12 AM",53.8819
"2010-03-21:12 AM",51.1093
"2010-03-22:12 AM",38.9721
"2010-03-23:12 AM",46.2198
"2010-03-24:12 AM",53.9748
"2010-03-25:12 AM",54.3724
