"DateTime","(deg F) Mean Temperature (CFSR) at Utah, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",26.2333
"2010-01-02:12 AM",28.7071
"2010-01-03:12 AM",25.4448
"2010-01-04:12 AM",24.5314
"2010-01-05:12 AM",27.0522
"2010-01-06:12 AM",31.0176
"2010-01-07:12 AM",25.3033
"2010-01-08:12 AM",18.5326
"2010-01-09:12 AM",22.9194
"2010-01-10:12 AM",24.535
"2010-01-11:12 AM",26.2366
"2010-01-12:12 AM",28.6677
"2010-01-13:12 AM",30.2335
"2010-01-14:12 AM",30.7251
"2010-01-15:12 AM",28.4819
"2010-01-16:12 AM",29.9102
"2010-01-17:12 AM",30.5226
"2010-01-18:12 AM",31.512
"2010-01-19:12 AM",33.2479
"2010-01-20:12 AM",31.2172
"2010-01-21:12 AM",30.7915
"2010-01-22:12 AM",31.2685
"2010-01-23:12 AM",27.0291
"2010-01-24:12 AM",24.1839
"2010-01-25:12 AM",25.5268
"2010-01-26:12 AM",28.8837
"2010-01-27:12 AM",28.4842
"2010-01-28:12 AM",29.3308
"2010-01-29:12 AM",28.4349
"2010-01-30:12 AM",27.5565
"2010-01-31:12 AM",28.5341
"2010-02-01:12 AM",27.4447
"2010-02-02:12 AM",28.3984
"2010-02-03:12 AM",29.6557
"2010-02-04:12 AM",29.2372
"2010-02-05:12 AM",31.231
"2010-02-06:12 AM",33.4585
"2010-02-07:12 AM",32.1998
"2010-02-08:12 AM",28.0445
"2010-02-09:12 AM",25.9142
"2010-02-10:12 AM",27.8935
"2010-02-11:12 AM",29.1006
"2010-02-12:12 AM",31.0446
"2010-02-13:12 AM",32.7862
"2010-02-14:12 AM",32.3337
"2010-02-15:12 AM",33.6063
"2010-02-16:12 AM",32.9047
"2010-02-17:12 AM",33.5268
"2010-02-18:12 AM",32.986
"2010-02-19:12 AM",32.0643
"2010-02-20:12 AM",30.0546
"2010-02-21:12 AM",27.0239
"2010-02-22:12 AM",24.0791
"2010-02-23:12 AM",25.4775
"2010-02-24:12 AM",29.7102
"2010-02-25:12 AM",32.2972
"2010-02-26:12 AM",31.4195
"2010-02-27:12 AM",33.3399
"2010-02-28:12 AM",34.716
"2010-03-01:12 AM",35.6889
"2010-03-02:12 AM",36.255
"2010-03-03:12 AM",37.8181
"2010-03-04:12 AM",35.3655
"2010-03-05:12 AM",34.8499
"2010-03-06:12 AM",35.6351
"2010-03-07:12 AM",36.6042
"2010-03-08:12 AM",36.4215
"2010-03-09:12 AM",34.8337
"2010-03-10:12 AM",30.5227
"2010-03-11:12 AM",29.7156
"2010-03-12:12 AM",33.8018
"2010-03-13:12 AM",34.0425
"2010-03-14:12 AM",33.7361
"2010-03-15:12 AM",38.1594
"2010-03-16:12 AM",41.4162
"2010-03-17:12 AM",45.0363
"2010-03-18:12 AM",44.5219
"2010-03-19:12 AM",37.6804
"2010-03-20:12 AM",35.0829
"2010-03-21:12 AM",40.5774
"2010-03-22:12 AM",43.5839
"2010-03-23:12 AM",37.7971
"2010-03-24:12 AM",37.4979
"2010-03-25:12 AM",40.9127
"2010-03-26:12 AM",37.9011
"2010-03-27:12 AM",35.9659
"2010-03-28:12 AM",40.125
"2010-03-29:12 AM",48.0524
"2010-03-30:12 AM",51.9024
"2010-03-31:12 AM",43.9245
"2010-04-01:12 AM",34.952
"2010-04-02:12 AM",33.204
"2010-04-03:12 AM",38.0466
"2010-04-04:12 AM",39.8898
"2010-04-05:12 AM",41.7227
"2010-04-06:12 AM",33.3469
"2010-04-07:12 AM",34.792
"2010-04-08:12 AM",40.867
"2010-04-09:12 AM",43.9259
"2010-04-10:12 AM",46.2565
"2010-04-11:12 AM",51.876
"2010-04-12:12 AM",49.3457
"2010-04-13:12 AM",41.0758
"2010-04-14:12 AM",43.6829
"2010-04-15:12 AM",50.2556
"2010-04-16:12 AM",54.194
"2010-04-17:12 AM",55.2272
"2010-04-18:12 AM",55.7285
"2010-04-19:12 AM",57.2792
"2010-04-20:12 AM",57.1415
"2010-04-21:12 AM",50.7324
"2010-04-22:12 AM",40.9701
"2010-04-23:12 AM",40.3137
"2010-04-24:12 AM",46.5017
"2010-04-25:12 AM",48.4925
"2010-04-26:12 AM",49.1031
"2010-04-27:12 AM",54.3337
"2010-04-28:12 AM",51.0237
"2010-04-29:12 AM",37.2677
"2010-04-30:12 AM",36.6643
"2010-05-01:12 AM",39.7929
"2010-05-02:12 AM",40.2879
"2010-05-03:12 AM",46.051
"2010-05-04:12 AM",50.8471
"2010-05-05:12 AM",51.2431
"2010-05-06:12 AM",44.8952
"2010-05-07:12 AM",41.4005
"2010-05-08:12 AM",50.2023
"2010-05-09:12 AM",54.0365
"2010-05-10:12 AM",51.0026
"2010-05-11:12 AM",43.5657
"2010-05-12:12 AM",42.9985
"2010-05-13:12 AM",44.33
"2010-05-14:12 AM",48.1849
"2010-05-15:12 AM",50.898
"2010-05-16:12 AM",56.0455
"2010-05-17:12 AM",60.1662
"2010-05-18:12 AM",54.5209
"2010-05-19:12 AM",52.6156
"2010-05-20:12 AM",55.8419
"2010-05-21:12 AM",57.7593
"2010-05-22:12 AM",52.1346
"2010-05-23:12 AM",46.3629
"2010-05-24:12 AM",44.8957
"2010-05-25:12 AM",49.449
"2010-05-26:12 AM",56.6352
"2010-05-27:12 AM",60.7644
"2010-05-28:12 AM",60.0336
"2010-05-29:12 AM",51.7989
"2010-05-30:12 AM",52.844
"2010-05-31:12 AM",59.7339
"2010-06-01:12 AM",59.7745
"2010-06-02:12 AM",63.0444
"2010-06-03:12 AM",66.5298
"2010-06-04:12 AM",68.5796
"2010-06-05:12 AM",70.6424
"2010-06-06:12 AM",74.5516
"2010-06-07:12 AM",73.4259
"2010-06-08:12 AM",69.1725
"2010-06-09:12 AM",71.9155
"2010-06-10:12 AM",68.8892
"2010-06-11:12 AM",56.6299
"2010-06-12:12 AM",53.062
"2010-06-13:12 AM",52.3027
"2010-06-14:12 AM",56.7745
"2010-06-15:12 AM",63.0154
"2010-06-16:12 AM",63.9279
"2010-06-17:12 AM",56.8281
"2010-06-18:12 AM",62.6797
"2010-06-19:12 AM",67.3729
"2010-06-20:12 AM",67.0375
"2010-06-21:12 AM",64.791
"2010-06-22:12 AM",65.5245
"2010-06-23:12 AM",68.7735
"2010-06-24:12 AM",72.837
"2010-06-25:12 AM",72.6642
"2010-06-26:12 AM",71.5503
"2010-06-27:12 AM",71.2834
"2010-06-28:12 AM",74.0649
"2010-06-29:12 AM",76.2888
"2010-06-30:12 AM",76.0194
"2010-07-01:12 AM",75.1356
"2010-07-02:12 AM",74.5212
"2010-07-03:12 AM",69.7899
"2010-07-04:12 AM",64.6801
"2010-07-05:12 AM",65.9946
"2010-07-06:12 AM",69.688
"2010-07-07:12 AM",70.3134
"2010-07-08:12 AM",71.647
"2010-07-09:12 AM",71.922
"2010-07-10:12 AM",72.7392
"2010-07-11:12 AM",74.0602
"2010-07-12:12 AM",76.5511
"2010-07-13:12 AM",76.9467
"2010-07-14:12 AM",76.341
"2010-07-15:12 AM",76.5995
"2010-07-16:12 AM",79.7855
"2010-07-17:12 AM",80.8785
"2010-07-18:12 AM",80.4123
"2010-07-19:12 AM",80.8412
"2010-07-20:12 AM",78.4492
"2010-07-21:12 AM",78.9091
"2010-07-22:12 AM",76.6207
"2010-07-23:12 AM",76.4092
"2010-07-24:12 AM",76.1907
"2010-07-25:12 AM",78.1029
"2010-07-26:12 AM",77.9425
"2010-07-27:12 AM",73.9593
"2010-07-28:12 AM",75.9708
"2010-07-29:12 AM",75
"2010-07-30:12 AM",76.4582
"2010-07-31:12 AM",76.0532
"2010-08-01:12 AM",74.3788
"2010-08-02:12 AM",74.7358
"2010-08-03:12 AM",75.6676
"2010-08-04:12 AM",74.8537
"2010-08-05:12 AM",74.6616
"2010-08-06:12 AM",75.1773
"2010-08-07:12 AM",72.0513
"2010-08-08:12 AM",68.0068
"2010-08-09:12 AM",69.2442
"2010-08-10:12 AM",69.1221
"2010-08-11:12 AM",71.8709
"2010-08-12:12 AM",69.3142
