"DateTime","(deg F) Mean Temperature (CFSR) at Vermont, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",25.295
"2010-01-02:12 AM",22.0311
"2010-01-03:12 AM",14.8298
"2010-01-04:12 AM",17.7571
"2010-01-05:12 AM",17.3833
"2010-01-06:12 AM",19.0515
"2010-01-07:12 AM",19.5899
"2010-01-08:12 AM",17.2332
"2010-01-09:12 AM",10.5957
"2010-01-10:12 AM",7.6341
"2010-01-11:12 AM",18.5974
"2010-01-12:12 AM",15.1345
"2010-01-13:12 AM",10.544
"2010-01-14:12 AM",19.3183
"2010-01-15:12 AM",31.1574
"2010-01-16:12 AM",30.3613
"2010-01-17:12 AM",29.4823
"2010-01-18:12 AM",29.5162
"2010-01-19:12 AM",29.6528
"2010-01-20:12 AM",27.1281
"2010-01-21:12 AM",24.6547
"2010-01-22:12 AM",20.8198
"2010-01-23:12 AM",18.0865
"2010-01-24:12 AM",24.3023
"2010-01-25:12 AM",40.397
"2010-01-26:12 AM",31.0284
"2010-01-27:12 AM",28.1878
"2010-01-28:12 AM",23.5677
"2010-01-29:12 AM",2.6578
"2010-01-30:12 AM",-0.1017
"2010-01-31:12 AM",7.1544
"2010-02-01:12 AM",15.2746
"2010-02-02:12 AM",15.4969
"2010-02-03:12 AM",20.3821
"2010-02-04:12 AM",16.0558
"2010-02-05:12 AM",16.0255
"2010-02-06:12 AM",9.5365
"2010-02-07:12 AM",11.3398
"2010-02-08:12 AM",14.2914
"2010-02-09:12 AM",17.1676
"2010-02-10:12 AM",22.7842
"2010-02-11:12 AM",22.4272
"2010-02-12:12 AM",16.6917
"2010-02-13:12 AM",16.4986
"2010-02-14:12 AM",20.2145
"2010-02-15:12 AM",22.5178
"2010-02-16:12 AM",22.3351
"2010-02-17:12 AM",24.9645
"2010-02-18:12 AM",27.1254
"2010-02-19:12 AM",24.3257
"2010-02-20:12 AM",27.9761
"2010-02-21:12 AM",24.2838
"2010-02-22:12 AM",25.9117
"2010-02-23:12 AM",30.9434
