"DateTime","(deg F) Mean Temperature (CFSR) at Washington, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",37.4346
"2010-01-02:12 AM",37.5503
"2010-01-03:12 AM",35.2607
"2010-01-04:12 AM",35.3925
"2010-01-05:12 AM",37.6686
"2010-01-06:12 AM",30.3564
"2010-01-07:12 AM",25.4754
"2010-01-08:12 AM",28.0722
"2010-01-09:12 AM",32.6781
"2010-01-10:12 AM",34.273
"2010-01-11:12 AM",37.6684
"2010-01-12:12 AM",40.5565
"2010-01-13:12 AM",40.0662
"2010-01-14:12 AM",38.9802
"2010-01-15:12 AM",39.5922
"2010-01-16:12 AM",36.5225
"2010-01-17:12 AM",38.2998
"2010-01-18:12 AM",39.9169
"2010-01-19:12 AM",39.8309
"2010-01-20:12 AM",38.712
"2010-01-21:12 AM",38.4922
"2010-01-22:12 AM",36.4719
"2010-01-23:12 AM",36.6422
"2010-01-24:12 AM",34.196
"2010-01-25:12 AM",36.5985
"2010-01-26:12 AM",35.6686
"2010-01-27:12 AM",34.4739
"2010-01-28:12 AM",35.0512
"2010-01-29:12 AM",36.1278
"2010-01-30:12 AM",36.6733
"2010-01-31:12 AM",36.8528
"2010-02-01:12 AM",35.6931
"2010-02-02:12 AM",36.9106
"2010-02-03:12 AM",36.6192
"2010-02-04:12 AM",37.5836
"2010-02-05:12 AM",39.2284
"2010-02-06:12 AM",36.8811
"2010-02-07:12 AM",36.6807
"2010-02-08:12 AM",37.0054
"2010-02-09:12 AM",35.5528
"2010-02-10:12 AM",34.4925
"2010-02-11:12 AM",38.4804
"2010-02-12:12 AM",40.2913
"2010-02-13:12 AM",39.5006
"2010-02-14:12 AM",40.6692
"2010-02-15:12 AM",37.5517
"2010-02-16:12 AM",40.1259
"2010-02-17:12 AM",37.2223
"2010-02-18:12 AM",36.2786
"2010-02-19:12 AM",35.6004
"2010-02-20:12 AM",34.2403
"2010-02-21:12 AM",33.5152
"2010-02-22:12 AM",33.8866
"2010-02-23:12 AM",33.5574
"2010-02-24:12 AM",36.7027
"2010-02-25:12 AM",39.2018
"2010-02-26:12 AM",39.1201
"2010-02-27:12 AM",41.7193
"2010-02-28:12 AM",40.0899
"2010-03-01:12 AM",42.3838
"2010-03-02:12 AM",43.4071
"2010-03-03:12 AM",41.632
"2010-03-04:12 AM",39.4342
"2010-03-05:12 AM",39.459
"2010-03-06:12 AM",39.2018
"2010-03-07:12 AM",39.7116
"2010-03-08:12 AM",36.2991
"2010-03-09:12 AM",30.4327
"2010-03-10:12 AM",33.1372
"2010-03-11:12 AM",34.5358
"2010-03-12:12 AM",38.7482
"2010-03-13:12 AM",35.5888
"2010-03-14:12 AM",35.3806
"2010-03-15:12 AM",40.5955
"2010-03-16:12 AM",44.1261
"2010-03-17:12 AM",40.1218
"2010-03-18:12 AM",36.6719
"2010-03-19:12 AM",38.3173
"2010-03-20:12 AM",40.8423
"2010-03-21:12 AM",43.2127
"2010-03-22:12 AM",39.7996
"2010-03-23:12 AM",39.3829
"2010-03-24:12 AM",42.5298
"2010-03-25:12 AM",41.756
"2010-03-26:12 AM",39.4975
"2010-03-27:12 AM",40.4191
"2010-03-28:12 AM",42.3342
"2010-03-29:12 AM",41.9671
"2010-03-30:12 AM",36.8976
"2010-03-31:12 AM",35.9982
"2010-04-01:12 AM",35.2335
"2010-04-02:12 AM",34.6575
"2010-04-03:12 AM",35.0953
"2010-04-04:12 AM",36.2664
"2010-04-05:12 AM",36.7799
"2010-04-06:12 AM",37.6813
"2010-04-07:12 AM",39.3404
"2010-04-08:12 AM",37.6862
"2010-04-09:12 AM",34.9281
"2010-04-10:12 AM",35.6905
"2010-04-11:12 AM",40.1826
"2010-04-12:12 AM",41.6334
"2010-04-13:12 AM",42.4359
"2010-04-14:12 AM",42.0838
"2010-04-15:12 AM",45.0549
"2010-04-16:12 AM",48.6268
"2010-04-17:12 AM",49.3126
"2010-04-18:12 AM",49.9228
"2010-04-19:12 AM",51.4785
"2010-04-20:12 AM",50.8183
"2010-04-21:12 AM",45.4937
"2010-04-22:12 AM",44.2639
"2010-04-23:12 AM",43.4077
"2010-04-24:12 AM",42.2355
"2010-04-25:12 AM",43.3897
"2010-04-26:12 AM",46.3962
"2010-04-27:12 AM",46.8234
"2010-04-28:12 AM",42.3554
"2010-04-29:12 AM",41.4739
"2010-04-30:12 AM",43.5367
"2010-05-01:12 AM",42.5829
"2010-05-02:12 AM",42.1106
"2010-05-03:12 AM",42.7829
"2010-05-04:12 AM",38.4078
"2010-05-05:12 AM",37.4286
"2010-05-06:12 AM",40.4778
"2010-05-07:12 AM",42.8677
"2010-05-08:12 AM",45.2692
"2010-05-09:12 AM",45.6813
"2010-05-10:12 AM",45.2147
"2010-05-11:12 AM",48.7404
"2010-05-12:12 AM",48.6599
"2010-05-13:12 AM",50.9112
"2010-05-14:12 AM",53.8349
"2010-05-15:12 AM",55.9965
"2010-05-16:12 AM",57.7231
"2010-05-17:12 AM",58.0249
"2010-05-18:12 AM",52.5924
"2010-05-19:12 AM",51.2287
"2010-05-20:12 AM",44.825
"2010-05-21:12 AM",42.3768
"2010-05-22:12 AM",44.5912
"2010-05-23:12 AM",44.2251
"2010-05-24:12 AM",46.1725
"2010-05-25:12 AM",49.1045
"2010-05-26:12 AM",49.8168
"2010-05-27:12 AM",47.7914
"2010-05-28:12 AM",47.2726
"2010-05-29:12 AM",47.8605
"2010-05-30:12 AM",49.3781
"2010-05-31:12 AM",52.1343
"2010-06-01:12 AM",52.2455
"2010-06-02:12 AM",51.778
"2010-06-03:12 AM",49.8763
"2010-06-04:12 AM",49.4505
"2010-06-05:12 AM",52.018
"2010-06-06:12 AM",52.9313
"2010-06-07:12 AM",54.1735
"2010-06-08:12 AM",54.0396
"2010-06-09:12 AM",53.697
"2010-06-10:12 AM",50.6766
"2010-06-11:12 AM",52.6514
"2010-06-12:12 AM",57.8728
"2010-06-13:12 AM",58.2312
"2010-06-14:12 AM",54.2541
"2010-06-15:12 AM",49.5162
"2010-06-16:12 AM",48.1969
"2010-06-17:12 AM",50.4455
"2010-06-18:12 AM",54.4066
"2010-06-19:12 AM",55.7663
"2010-06-20:12 AM",53.7733
"2010-06-21:12 AM",52.8298
"2010-06-22:12 AM",57.7884
"2010-06-23:12 AM",62.8799
"2010-06-24:12 AM",62.9233
"2010-06-25:12 AM",61.9783
"2010-06-26:12 AM",58.854
"2010-06-27:12 AM",59.4327
"2010-06-28:12 AM",60.7465
"2010-06-29:12 AM",58.2372
"2010-06-30:12 AM",54.6057
"2010-07-01:12 AM",53.0177
