"DateTime","(deg F) Mean Temperature (CFSR) at Wisconsin, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",10.801
"2010-01-02:12 AM",1.6272
"2010-01-03:12 AM",3.556
"2010-01-04:12 AM",7.7328
"2010-01-05:12 AM",10.9947
"2010-01-06:12 AM",15.2739
"2010-01-07:12 AM",18.2518
"2010-01-08:12 AM",13.4629
"2010-01-09:12 AM",8.0213
"2010-01-10:12 AM",10.3339
"2010-01-11:12 AM",17.7388
"2010-01-12:12 AM",16.5679
"2010-01-13:12 AM",24.4951
"2010-01-14:12 AM",30.6903
"2010-01-15:12 AM",24.5277
"2010-01-16:12 AM",24.0283
"2010-01-17:12 AM",27.073
"2010-01-18:12 AM",29.9082
"2010-01-19:12 AM",25.9041
"2010-01-20:12 AM",23.6862
"2010-01-21:12 AM",26.4949
"2010-01-22:12 AM",27.8658
"2010-01-23:12 AM",32.4775
"2010-01-24:12 AM",34.525
"2010-01-25:12 AM",28.6205
"2010-01-26:12 AM",17.5294
"2010-01-27:12 AM",10.3827
"2010-01-28:12 AM",4.0744
"2010-01-29:12 AM",3.0204
"2010-01-30:12 AM",7.7763
"2010-01-31:12 AM",10.5669
"2010-02-01:12 AM",10.9198
"2010-02-02:12 AM",20.8396
"2010-02-03:12 AM",17.1853
"2010-02-04:12 AM",22.2642
"2010-02-05:12 AM",27.7151
"2010-02-06:12 AM",21.5593
"2010-02-07:12 AM",20.2501
"2010-02-08:12 AM",22.9543
"2010-02-09:12 AM",22.5414
"2010-02-10:12 AM",20.1756
"2010-02-11:12 AM",18.4581
"2010-02-12:12 AM",19.0114
"2010-02-13:12 AM",19.2702
"2010-02-14:12 AM",20.5149
"2010-02-15:12 AM",22.9545
"2010-02-16:12 AM",24.7924
"2010-02-17:12 AM",26.7174
"2010-02-18:12 AM",26.5003
"2010-02-19:12 AM",24.7455
"2010-02-20:12 AM",27.1103
"2010-02-21:12 AM",26.278
"2010-02-22:12 AM",27.9667
"2010-02-23:12 AM",23.1085
"2010-02-24:12 AM",18.7619
"2010-02-25:12 AM",17.3221
"2010-02-26:12 AM",19.0402
"2010-02-27:12 AM",25.471
"2010-02-28:12 AM",28.3595
"2010-03-01:12 AM",26.9548
"2010-03-02:12 AM",27.6282
"2010-03-03:12 AM",28.7112
"2010-03-04:12 AM",30.0367
"2010-03-05:12 AM",30.227
"2010-03-06:12 AM",29.3092
"2010-03-07:12 AM",31.1481
"2010-03-08:12 AM",33.4845
"2010-03-09:12 AM",35.9213
"2010-03-10:12 AM",39.5427
"2010-03-11:12 AM",43.2061
"2010-03-12:12 AM",42.2258
"2010-03-13:12 AM",40.624
"2010-03-14:12 AM",41.945
"2010-03-15:12 AM",41.371
"2010-03-16:12 AM",42.0001
"2010-03-17:12 AM",42.7264
"2010-03-18:12 AM",44.1768
"2010-03-19:12 AM",38.0952
"2010-03-20:12 AM",29.5909
"2010-03-21:12 AM",31.111
"2010-03-22:12 AM",34.8514
"2010-03-23:12 AM",37.4149
"2010-03-24:12 AM",39.3645
"2010-03-25:12 AM",29.9259
"2010-03-26:12 AM",26.9208
"2010-03-27:12 AM",35.8173
"2010-03-28:12 AM",36.088
"2010-03-29:12 AM",35.1824
"2010-03-30:12 AM",44.537
"2010-03-31:12 AM",53.9816
"2010-04-01:12 AM",54.7399
"2010-04-02:12 AM",58.6884
"2010-04-03:12 AM",46.7101
"2010-04-04:12 AM",48.0096
"2010-04-05:12 AM",47.4699
"2010-04-06:12 AM",44.8236
"2010-04-07:12 AM",40.9932
"2010-04-08:12 AM",33.5046
"2010-04-09:12 AM",36.896
"2010-04-10:12 AM",46.3838
"2010-04-11:12 AM",46.5489
"2010-04-12:12 AM",45.835
"2010-04-13:12 AM",45.7122
"2010-04-14:12 AM",52.1062
"2010-04-15:12 AM",60.9051
"2010-04-16:12 AM",46.8282
"2010-04-17:12 AM",42.9152
"2010-04-18:12 AM",42.647
"2010-04-19:12 AM",46.0567
"2010-04-20:12 AM",50.178
"2010-04-21:12 AM",44.1181
"2010-04-22:12 AM",42.3986
"2010-04-23:12 AM",48.1446
"2010-04-24:12 AM",48.4911
"2010-04-25:12 AM",44.7082
"2010-04-26:12 AM",43.6941
"2010-04-27:12 AM",41.6548
"2010-04-28:12 AM",44.991
"2010-04-29:12 AM",52.2313
"2010-04-30:12 AM",60.4929
"2010-05-01:12 AM",55.9679
"2010-05-02:12 AM",54.4075
"2010-05-03:12 AM",49.8533
"2010-05-04:12 AM",53.0843
"2010-05-05:12 AM",50.6179
"2010-05-06:12 AM",45.1875
"2010-05-07:12 AM",40.3889
"2010-05-08:12 AM",38.5111
"2010-05-09:12 AM",42.2614
"2010-05-10:12 AM",44.5131
"2010-05-11:12 AM",40.6116
"2010-05-12:12 AM",42.8187
"2010-05-13:12 AM",46.6824
"2010-05-14:12 AM",49.8069
"2010-05-15:12 AM",53.0834
"2010-05-16:12 AM",54.2259
"2010-05-17:12 AM",55.8099
"2010-05-18:12 AM",57.5794
"2010-05-19:12 AM",60.0775
"2010-05-20:12 AM",61.2824
"2010-05-21:12 AM",58.7212
"2010-05-22:12 AM",59.8818
"2010-05-23:12 AM",68.3458
"2010-05-24:12 AM",75.2981
"2010-05-25:12 AM",73.6803
"2010-05-26:12 AM",67.9188
"2010-05-27:12 AM",64.9369
"2010-05-28:12 AM",63.6184
"2010-05-29:12 AM",66.639
"2010-05-30:12 AM",69.8482
"2010-05-31:12 AM",65.2345
"2010-06-01:12 AM",65.9683
"2010-06-02:12 AM",61.4575
"2010-06-03:12 AM",61.4444
"2010-06-04:12 AM",63.0837
"2010-06-05:12 AM",62.141
"2010-06-06:12 AM",57.9742
"2010-06-07:12 AM",57.9153
"2010-06-08:12 AM",56.0176
"2010-06-09:12 AM",62.9238
"2010-06-10:12 AM",59.7925
"2010-06-11:12 AM",63.9588
"2010-06-12:12 AM",60.6036
"2010-06-13:12 AM",61.1902
"2010-06-14:12 AM",60.393
"2010-06-15:12 AM",61.3593
"2010-06-16:12 AM",64.0371
"2010-06-17:12 AM",67.2715
"2010-06-18:12 AM",73.1007
"2010-06-19:12 AM",67.4089
"2010-06-20:12 AM",66.2382
"2010-06-21:12 AM",68.0238
"2010-06-22:12 AM",72.5212
"2010-06-23:12 AM",72.8179
"2010-06-24:12 AM",67.6774
"2010-06-25:12 AM",69.0193
"2010-06-26:12 AM",70.7805
"2010-06-27:12 AM",70.7722
"2010-06-28:12 AM",65.343
"2010-06-29:12 AM",59.7
"2010-06-30:12 AM",60.3239
"2010-07-01:12 AM",64.5413
"2010-07-02:12 AM",68.7636
"2010-07-03:12 AM",72.8137
"2010-07-04:12 AM",72.8965
"2010-07-05:12 AM",71.1648
"2010-07-06:12 AM",73.8594
"2010-07-07:12 AM",72.9208
"2010-07-08:12 AM",72.0615
"2010-07-09:12 AM",71.7017
"2010-07-10:12 AM",71.7548
"2010-07-11:12 AM",71.6263
"2010-07-12:12 AM",67.7025
"2010-07-13:12 AM",69.393
"2010-07-14:12 AM",74.266
"2010-07-15:12 AM",73.5994
"2010-07-16:12 AM",74.3212
"2010-07-17:12 AM",73.8046
"2010-07-18:12 AM",71.94
"2010-07-19:12 AM",70.4246
"2010-07-20:12 AM",69.5914
"2010-07-21:12 AM",71.4673
"2010-07-22:12 AM",68.0328
"2010-07-23:12 AM",72.4559
"2010-07-24:12 AM",70.1618
"2010-07-25:12 AM",69.735
"2010-07-26:12 AM",69.5516
"2010-07-27:12 AM",74.0026
"2010-07-28:12 AM",72.8209
"2010-07-29:12 AM",68.7259
"2010-07-30:12 AM",66.9648
"2010-07-31:12 AM",69.4405
"2010-08-01:12 AM",71.1187
"2010-08-02:12 AM",75.0463
"2010-08-03:12 AM",76.6762
"2010-08-04:12 AM",74.6967
"2010-08-05:12 AM",69.4783
"2010-08-06:12 AM",66.801
"2010-08-07:12 AM",69.4848
"2010-08-08:12 AM",75.7769
"2010-08-09:12 AM",77.8188
"2010-08-10:12 AM",75.5269
"2010-08-11:12 AM",76.5626
"2010-08-12:12 AM",76.9937
"2010-08-13:12 AM",76.9105
"2010-08-14:12 AM",73.8223
"2010-08-15:12 AM",68.6545
"2010-08-16:12 AM",64.6414
"2010-08-17:12 AM",62.3385
"2010-08-18:12 AM",65.9908
"2010-08-19:12 AM",69.6189
"2010-08-20:12 AM",73.063
"2010-08-21:12 AM",70.7085
"2010-08-22:12 AM",69.7253
"2010-08-23:12 AM",70.7995
"2010-08-24:12 AM",68.0596
"2010-08-25:12 AM",61.2849
"2010-08-26:12 AM",59.9077
"2010-08-27:12 AM",68.0459
"2010-08-28:12 AM",71.7161
"2010-08-29:12 AM",73.0521
"2010-08-30:12 AM",77.2426
"2010-08-31:12 AM",75.6237
"2010-09-01:12 AM",69.003
"2010-09-02:12 AM",64.5975
"2010-09-03:12 AM",55.2805
"2010-09-04:12 AM",52.6582
"2010-09-05:12 AM",54.5158
"2010-09-06:12 AM",62.8972
"2010-09-07:12 AM",57.4065
"2010-09-08:12 AM",52.4559
"2010-09-09:12 AM",52.534
"2010-09-10:12 AM",56.8171
"2010-09-11:12 AM",58.6726
"2010-09-12:12 AM",61.2576
"2010-09-13:12 AM",58.6206
"2010-09-14:12 AM",54.6807
"2010-09-15:12 AM",55.3613
"2010-09-16:12 AM",54.2435
"2010-09-17:12 AM",56.2773
"2010-09-18:12 AM",53.5833
"2010-09-19:12 AM",49.8027
"2010-09-20:12 AM",53.8425
"2010-09-21:12 AM",67.7491
"2010-09-22:12 AM",56.52
"2010-09-23:12 AM",65.2111
"2010-09-24:12 AM",56.2699
"2010-09-25:12 AM",48.1046
"2010-09-26:12 AM",46.4412
"2010-09-27:12 AM",50.0716
"2010-09-28:12 AM",54.2914
"2010-09-29:12 AM",56.6157
"2010-09-30:12 AM",55.539
"2010-10-01:12 AM",51.3617
"2010-10-02:12 AM",44.5048
"2010-10-03:12 AM",41.8777
"2010-10-04:12 AM",44.4569
"2010-10-05:12 AM",49.6477
"2010-10-06:12 AM",55.7926
"2010-10-07:12 AM",55.6504
"2010-10-08:12 AM",59.5391
"2010-10-09:12 AM",61.0425
"2010-10-10:12 AM",61.1292
"2010-10-11:12 AM",59.0198
"2010-10-12:12 AM",58.4164
"2010-10-13:12 AM",52.8762
"2010-10-14:12 AM",51.0211
"2010-10-15:12 AM",48.3282
"2010-10-16:12 AM",49.8272
"2010-10-17:12 AM",46.2106
"2010-10-18:12 AM",44.0989
"2010-10-19:12 AM",43.3459
"2010-10-20:12 AM",48.3183
"2010-10-21:12 AM",41.9956
"2010-10-22:12 AM",43.2991
"2010-10-23:12 AM",51.123
"2010-10-24:12 AM",54.5475
"2010-10-25:12 AM",56.0116
"2010-10-26:12 AM",52.291
"2010-10-27:12 AM",42.1142
"2010-10-28:12 AM",36.775
"2010-10-29:12 AM",34.8643
"2010-10-30:12 AM",42.3936
"2010-10-31:12 AM",35.9404
"2010-11-01:12 AM",36.2471
"2010-11-02:12 AM",39.0295
"2010-11-03:12 AM",43.0644
"2010-11-04:12 AM",39.9369
"2010-11-05:12 AM",31.5838
"2010-11-06:12 AM",34.4869
"2010-11-07:12 AM",40.7628
"2010-11-08:12 AM",46.6464
"2010-11-09:12 AM",48.8892
"2010-11-10:12 AM",51.4576
"2010-11-11:12 AM",48.1647
"2010-11-12:12 AM",39.4725
"2010-11-13:12 AM",40.0368
"2010-11-14:12 AM",36.0041
"2010-11-15:12 AM",33.0042
"2010-11-16:12 AM",35.7017
"2010-11-17:12 AM",35.3763
"2010-11-18:12 AM",29.0791
"2010-11-19:12 AM",31.5997
"2010-11-20:12 AM",23.9952
"2010-11-21:12 AM",35.2314
"2010-11-22:12 AM",36.6895
"2010-11-23:12 AM",21.724
"2010-11-24:12 AM",26.5408
"2010-11-25:12 AM",24.6457
"2010-11-26:12 AM",18.0365
"2010-11-27:12 AM",19.9762
"2010-11-28:12 AM",28.2864
"2010-11-29:12 AM",35.9029
"2010-11-30:12 AM",32.9977
"2010-12-01:12 AM",22.9795
"2010-12-02:12 AM",20.4001
"2010-12-03:12 AM",18.432
"2010-12-04:12 AM",24.6492
"2010-12-05:12 AM",18.7579
"2010-12-06:12 AM",15.8173
"2010-12-07:12 AM",12.6072
"2010-12-08:12 AM",12.4801
"2010-12-09:12 AM",18.0651
"2010-12-10:12 AM",26.1808
"2010-12-11:12 AM",25.1143
"2010-12-12:12 AM",15.9435
"2010-12-13:12 AM",7.6861
"2010-12-14:12 AM",6.9345
"2010-12-15:12 AM",8.5496
"2010-12-16:12 AM",15.6349
"2010-12-17:12 AM",14.587
"2010-12-18:12 AM",14.6113
"2010-12-19:12 AM",14.6136
"2010-12-20:12 AM",15.9649
"2010-12-21:12 AM",27.5463
"2010-12-22:12 AM",28.1124
"2010-12-23:12 AM",23.0578
"2010-12-24:12 AM",24.4339
"2010-12-25:12 AM",24.4902
"2010-12-26:12 AM",19.7789
"2010-12-27:12 AM",15.7305
"2010-12-28:12 AM",23.3096
"2010-12-29:12 AM",29.1457
"2010-12-30:12 AM",36.1234
"2010-12-31:12 AM",34.2887
"2011-01-01:12 AM",15.5624
"2011-01-02:12 AM",9.2365
"2011-01-03:12 AM",16.2583
"2011-01-04:12 AM",10.4932
"2011-01-05:12 AM",11.6339
"2011-01-06:12 AM",12.9115
"2011-01-07:12 AM",8.0737
"2011-01-08:12 AM",9.1202
"2011-01-09:12 AM",6.8392
"2011-01-10:12 AM",15.1633
"2011-01-11:12 AM",21.8766
"2011-01-12:12 AM",19.3685
"2011-01-13:12 AM",14.4984
"2011-01-14:12 AM",15.6403
"2011-01-15:12 AM",14.0401
"2011-01-16:12 AM",3.0351
"2011-01-17:12 AM",18.9446
"2011-01-18:12 AM",14.6853
"2011-01-19:12 AM",8.2625
"2011-01-20:12 AM",3.6063
"2011-01-21:12 AM",-9.5458
"2011-01-22:12 AM",-0.4923
"2011-01-23:12 AM",-0.2459
"2011-01-24:12 AM",15.3381
"2011-01-25:12 AM",17.7426
"2011-01-26:12 AM",17.092
"2011-01-27:12 AM",20.3067
"2011-01-28:12 AM",19.4635
"2011-01-29:12 AM",22.689
"2011-01-30:12 AM",14.7049
"2011-01-31:12 AM",14.815
"2011-02-01:12 AM",14.1346
"2011-02-02:12 AM",9.4777
"2011-02-03:12 AM",6.7678
"2011-02-04:12 AM",21.2216
"2011-02-05:12 AM",28.4943
"2011-02-06:12 AM",25.2576
"2011-02-07:12 AM",14.0218
"2011-02-08:12 AM",-1.0658
