"DateTime","(deg F) Mean Temperature (CFSR) at Wyoming, 2010-01-01 to 2019-03-14"
"2010-01-01:12 AM",20.2588
"2010-01-02:12 AM",25.6732
"2010-01-03:12 AM",20.1452
"2010-01-04:12 AM",17.0026
"2010-01-05:12 AM",23.596
"2010-01-06:12 AM",14.9995
"2010-01-07:12 AM",-3.1729
"2010-01-08:12 AM",6.7764
"2010-01-09:12 AM",16.6627
"2010-01-10:12 AM",20.0944
"2010-01-11:12 AM",22.1446
"2010-01-12:12 AM",24.962
"2010-01-13:12 AM",26.0074
"2010-01-14:12 AM",24.6958
"2010-01-15:12 AM",23.5254
"2010-01-16:12 AM",26.1342
"2010-01-17:12 AM",26.2395
"2010-01-18:12 AM",26.1257
"2010-01-19:12 AM",26.9339
"2010-01-20:12 AM",22.9188
"2010-01-21:12 AM",23.4964
"2010-01-22:12 AM",25.374
"2010-01-23:12 AM",21.8379
"2010-01-24:12 AM",18.3373
"2010-01-25:12 AM",16.0272
"2010-01-26:12 AM",18.9655
"2010-01-27:12 AM",19.6709
"2010-01-28:12 AM",17.8012
"2010-01-29:12 AM",17.3687
"2010-01-30:12 AM",19.989
"2010-01-31:12 AM",20.2651
"2010-02-01:12 AM",22.2195
"2010-02-02:12 AM",19.3721
"2010-02-03:12 AM",21.7542
"2010-02-04:12 AM",24.3918
"2010-02-05:12 AM",22.3677
"2010-02-06:12 AM",24.1574
"2010-02-07:12 AM",21.0425
"2010-02-08:12 AM",12.8498
"2010-02-09:12 AM",10.9936
"2010-02-10:12 AM",15.9456
"2010-02-11:12 AM",19.6956
"2010-02-12:12 AM",23.8779
"2010-02-13:12 AM",25.9698
"2010-02-14:12 AM",15.8524
"2010-02-15:12 AM",17.5399
"2010-02-16:12 AM",21.6432
"2010-02-17:12 AM",25.6996
"2010-02-18:12 AM",23.288
"2010-02-19:12 AM",17.7505
"2010-02-20:12 AM",14.9967
"2010-02-21:12 AM",14.4063
"2010-02-22:12 AM",11.561
"2010-02-23:12 AM",17.9397
"2010-02-24:12 AM",22.9231
"2010-02-25:12 AM",26.7183
"2010-02-26:12 AM",23.9131
"2010-02-27:12 AM",26.2908
"2010-02-28:12 AM",28.2427
"2010-03-01:12 AM",28.6605
"2010-03-02:12 AM",29.4316
"2010-03-03:12 AM",32.0637
"2010-03-04:12 AM",32.5161
"2010-03-05:12 AM",31.7343
"2010-03-06:12 AM",31.899
"2010-03-07:12 AM",31.6828
"2010-03-08:12 AM",33.2949
"2010-03-09:12 AM",31.4377
"2010-03-10:12 AM",26.6967
"2010-03-11:12 AM",25.7625
"2010-03-12:12 AM",28.4241
"2010-03-13:12 AM",33.0573
"2010-03-14:12 AM",31.5617
"2010-03-15:12 AM",33.1385
"2010-03-16:12 AM",36.0928
"2010-03-17:12 AM",38.9554
"2010-03-18:12 AM",36.1461
"2010-03-19:12 AM",24.7327
"2010-03-20:12 AM",24.6043
"2010-03-21:12 AM",30.8388
"2010-03-22:12 AM",35.2269
"2010-03-23:12 AM",30.555
"2010-03-24:12 AM",29.7774
"2010-03-25:12 AM",31.7502
"2010-03-26:12 AM",31.3565
"2010-03-27:12 AM",31.2913
"2010-03-28:12 AM",33.4855
"2010-03-29:12 AM",39.4441
"2010-03-30:12 AM",42.0656
"2010-03-31:12 AM",34.2633
"2010-04-01:12 AM",30.3588
"2010-04-02:12 AM",26.9643
"2010-04-03:12 AM",27.9779
"2010-04-04:12 AM",26.985
"2010-04-05:12 AM",32.9772
"2010-04-06:12 AM",29.7914
"2010-04-07:12 AM",30.1933
"2010-04-08:12 AM",32.5411
"2010-04-09:12 AM",33.0033
"2010-04-10:12 AM",32.8078
"2010-04-11:12 AM",41.817
"2010-04-12:12 AM",46.2727
"2010-04-13:12 AM",40.2676
"2010-04-14:12 AM",38.6735
"2010-04-15:12 AM",42.0955
"2010-04-16:12 AM",43.5119
"2010-04-17:12 AM",46.0303
"2010-04-18:12 AM",48.3649
"2010-04-19:12 AM",50.6415
"2010-04-20:12 AM",51.6304
"2010-04-21:12 AM",50.175
"2010-04-22:12 AM",44.694
"2010-04-23:12 AM",40.1128
"2010-04-24:12 AM",40.3817
"2010-04-25:12 AM",37.5147
"2010-04-26:12 AM",36.165
"2010-04-27:12 AM",44.4958
"2010-04-28:12 AM",44.0134
"2010-04-29:12 AM",34.8273
"2010-04-30:12 AM",32.8323
"2010-05-01:12 AM",35.6538
"2010-05-02:12 AM",36.9356
"2010-05-03:12 AM",41.1472
"2010-05-04:12 AM",39.2713
"2010-05-05:12 AM",35.5597
"2010-05-06:12 AM",33.0368
"2010-05-07:12 AM",30.976
"2010-05-08:12 AM",36.2104
"2010-05-09:12 AM",44.2134
"2010-05-10:12 AM",40.4811
"2010-05-11:12 AM",36.3398
"2010-05-12:12 AM",34.0772
"2010-05-13:12 AM",37.3021
"2010-05-14:12 AM",42.8023
"2010-05-15:12 AM",45.7687
"2010-05-16:12 AM",49.2139
"2010-05-17:12 AM",54.6147
"2010-05-18:12 AM",54.0405
"2010-05-19:12 AM",48.0501
"2010-05-20:12 AM",49.4681
"2010-05-21:12 AM",46.9951
"2010-05-22:12 AM",46.85
"2010-05-23:12 AM",44.1966
"2010-05-24:12 AM",43.3191
"2010-05-25:12 AM",44.267
"2010-05-26:12 AM",52.3387
"2010-05-27:12 AM",60.1554
"2010-05-28:12 AM",63.0034
"2010-05-29:12 AM",49.9687
"2010-05-30:12 AM",46.6705
"2010-05-31:12 AM",51.6486
"2010-06-01:12 AM",52.1413
"2010-06-02:12 AM",53.121
"2010-06-03:12 AM",57.2005
"2010-06-04:12 AM",57.7546
"2010-06-05:12 AM",57.7256
"2010-06-06:12 AM",58.9779
"2010-06-07:12 AM",59.6966
"2010-06-08:12 AM",56.7471
"2010-06-09:12 AM",57.6876
"2010-06-10:12 AM",57.3073
"2010-06-11:12 AM",48.5587
"2010-06-12:12 AM",41.8982
"2010-06-13:12 AM",43.4334
"2010-06-14:12 AM",49.2456
"2010-06-15:12 AM",56.19
"2010-06-16:12 AM",61.1346
"2010-06-17:12 AM",51.5091
"2010-06-18:12 AM",53.5881
"2010-06-19:12 AM",59.7049
"2010-06-20:12 AM",62.0785
"2010-06-21:12 AM",61.7995
"2010-06-22:12 AM",59.0283
"2010-06-23:12 AM",58.8065
"2010-06-24:12 AM",66.8521
"2010-06-25:12 AM",69.525
"2010-06-26:12 AM",66.6626
"2010-06-27:12 AM",63.4044
"2010-06-28:12 AM",66.9468
"2010-06-29:12 AM",72.1454
"2010-06-30:12 AM",72.963
"2010-07-01:12 AM",71.8686
"2010-07-02:12 AM",72.3382
"2010-07-03:12 AM",65.9428
"2010-07-04:12 AM",57.1496
"2010-07-05:12 AM",58.8238
"2010-07-06:12 AM",56.7613
"2010-07-07:12 AM",55.1343
"2010-07-08:12 AM",61.3386
"2010-07-09:12 AM",66.1073
"2010-07-10:12 AM",67.401
"2010-07-11:12 AM",64.155
"2010-07-12:12 AM",67.6098
"2010-07-13:12 AM",70.9974
"2010-07-14:12 AM",66.6975
"2010-07-15:12 AM",65.8153
"2010-07-16:12 AM",70.8501
"2010-07-17:12 AM",74.1191
"2010-07-18:12 AM",72.5828
"2010-07-19:12 AM",72.0379
"2010-07-20:12 AM",66.5154
"2010-07-21:12 AM",68.4415
"2010-07-22:12 AM",68.1555
"2010-07-23:12 AM",68.5036
"2010-07-24:12 AM",65.7552
"2010-07-25:12 AM",71.6968
"2010-07-26:12 AM",75.0382
"2010-07-27:12 AM",71.5204
"2010-07-28:12 AM",70.3035
"2010-07-29:12 AM",71.7418
"2010-07-30:12 AM",71.6198
"2010-07-31:12 AM",74.0188
"2010-08-01:12 AM",71.82
"2010-08-02:12 AM",71.2206
"2010-08-03:12 AM",70.2586
"2010-08-04:12 AM",67.5851
"2010-08-05:12 AM",67.4865
"2010-08-06:12 AM",69.4537
"2010-08-07:12 AM",70.2522
"2010-08-08:12 AM",69.6929
"2010-08-09:12 AM",68.0842
"2010-08-10:12 AM",67.7629
"2010-08-11:12 AM",70.2768
"2010-08-12:12 AM",67.2409
"2010-08-13:12 AM",61.7286
"2010-08-14:12 AM",58.4802
"2010-08-15:12 AM",60.7534
"2010-08-16:12 AM",63.6282
"2010-08-17:12 AM",67.1392
"2010-08-18:12 AM",72.2444
"2010-08-19:12 AM",68.3548
"2010-08-20:12 AM",67.1083
"2010-08-21:12 AM",71.7156
